season,competition_type,schedule_slug,game_slug,game_number_from_slug,game_number,game_id,event_numeric_id,event_status,schedule_event_status,week,league,start_time_unix,start_time_utc,game_date_utc,venue,venue_location,location,period,clock_minutes,clock_seconds,away_team_id_raw,away_team_name_raw,home_team_id_raw,home_team_name_raw,away_team_id,away_team_name,home_team_id,home_team_name,away_score,home_score,winner_team_id_raw,loser_team_id_raw,winner_team_id,loser_team_id,event_summary_path,team_game_stats_path,player_game_stats_path,round_label
2022,post,playoffs-quarterfinal-1-2022-9-3,playoffs-quarterfinal-1-2022-9-3,,41,2022_ev43,129,3,3.0,12,PLL,1662220800.0,2022-09-03 16:00:00+00:00,2022-09-03,Gillette Stadium,,"Boston, MA",4,0,0,CHA,Chaos,CHR,Chrome,CHA,Chaos,OUT,Outlaws,11.0,3.0,CHA,CHR,CHA,OUT,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_playoffs-quarterfinal-1-2022-9-3/event_summary.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_playoffs-quarterfinal-1-2022-9-3/team_game_stats.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_playoffs-quarterfinal-1-2022-9-3/player_game_stats.json.gz,Quarterfinals
2022,post,playoffs-quarterfinal-2-2022-9-3,playoffs-quarterfinal-2-2022-9-3,,42,2022_ev44,128,3,3.0,12,PLL,1662229800.0,2022-09-03 18:30:00+00:00,2022-09-03,Gillette Stadium,,"Boston, MA",4,0,0,RED,Redwoods,ARC,Archers,RED,Redwoods,ARC,Archers,8.0,13.0,ARC,RED,ARC,RED,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_playoffs-quarterfinal-2-2022-9-3/event_summary.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_playoffs-quarterfinal-2-2022-9-3/team_game_stats.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_playoffs-quarterfinal-2-2022-9-3/player_game_stats.json.gz,Quarterfinals
2022,post,playoffs-quarterfinal-3-2022-9-3,playoffs-quarterfinal-3-2022-9-3,,43,2022_ev45,127,3,3.0,12,PLL,1662239400.0,2022-09-03 21:10:00+00:00,2022-09-03,Gillette Stadium,,"Boston, MA",4,0,0,WAT,Waterdogs,ATL,Atlas,WAT,Waterdogs,ATL,Atlas,19.0,14.0,WAT,ATL,WAT,ATL,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_playoffs-quarterfinal-3-2022-9-3/event_summary.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_playoffs-quarterfinal-3-2022-9-3/team_game_stats.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_playoffs-quarterfinal-3-2022-9-3/player_game_stats.json.gz,Quarterfinals
2022,post,playoffs-semifinal-2-2022-9-11,playoffs-semifinal-2-2022-9-11,,44,2022_ev47,125,3,3.0,13,PLL,1662915600.0,2022-09-11 17:00:00+00:00,2022-09-11,Audi Field,,"Washington, D.C.",4,0,0,WAT,Waterdogs,WHP,Whipsnakes,WAT,Waterdogs,WHP,Whipsnakes,11.0,10.0,WAT,WHP,WAT,WHP,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_playoffs-semifinal-2-2022-9-11/event_summary.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_playoffs-semifinal-2-2022-9-11/team_game_stats.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_playoffs-semifinal-2-2022-9-11/player_game_stats.json.gz,Semifinals
2022,post,playoffs-semifinal-1-2022-9-11,playoffs-semifinal-1-2022-9-11,,45,2022_ev46,126,3,3.0,13,PLL,1662924600.0,2022-09-11 19:30:00+00:00,2022-09-11,Audi Field,,"Washington, D.C.",4,0,0,CHA,Chaos,ARC,Archers,CHA,Chaos,ARC,Archers,9.0,7.0,CHA,ARC,CHA,ARC,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_playoffs-semifinal-1-2022-9-11/event_summary.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_playoffs-semifinal-1-2022-9-11/team_game_stats.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_playoffs-semifinal-1-2022-9-11/player_game_stats.json.gz,Semifinals
2022,post,championship-2022-9-18,championship-2022-9-18,,46,2022_ev48,124,3,3.0,14,PLL,1663527600.0,2022-09-18 19:00:00+00:00,2022-09-18,Subaru Park,,"Philadelphia, PA",4,0,0,CHA,Chaos,WAT,Waterdogs,CHA,Chaos,WAT,Waterdogs,9.0,11.0,WAT,CHA,WAT,CHA,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_championship-2022-9-18/event_summary.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_championship-2022-9-18/team_game_stats.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_championship-2022-9-18/player_game_stats.json.gz,Championship Game
2023,post,playoffs-quarterfinal-3-2023-9-1,playoffs-quarterfinal-3-2023-9-1,,41,2023_ev45,225,3,3.0,12,PLL,1693842300.0,2023-09-04 15:45:00+00:00,2023-09-04,Gillette Stadium,,"Boston, MA",4,0,0,CHA,Chaos,RED,Redwoods,CHA,Chaos,RED,Redwoods,9.0,15.0,RED,CHA,RED,CHA,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2023/game_playoffs-quarterfinal-3-2023-9-1/event_summary.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2023/game_playoffs-quarterfinal-3-2023-9-1/team_game_stats.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2023/game_playoffs-quarterfinal-3-2023-9-1/player_game_stats.json.gz,Quarterfinal
2023,post,playoffs-quarterfinal-2-2023-9-1,playoffs-quarterfinal-2-2023-9-1,,42,2023_ev44,224,2,2.0,12,PLL,1693851600.0,2023-09-04 18:20:00+00:00,2023-09-04,Gillette Stadium,,"Boston, MA",4,0,0,WHP,Whipsnakes,WAT,Waterdogs,WHP,Whipsnakes,WAT,Waterdogs,12.0,15.0,WAT,WHP,WAT,WHP,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2023/game_playoffs-quarterfinal-2-2023-9-1/event_summary.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2023/game_playoffs-quarterfinal-2-2023-9-1/team_game_stats.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2023/game_playoffs-quarterfinal-2-2023-9-1/player_game_stats.json.gz,Quarterfinal
2023,post,playoffs-quarterfinal-1-2023-9-1,playoffs-quarterfinal-1-2023-9-1,,43,2023_ev43,223,3,3.0,12,PLL,1693861200.0,2023-09-04 21:00:00+00:00,2023-09-04,Gillette Stadium,,"Boston, MA",4,0,0,ATL,Atlas,CAN,Cannons,ATL,Atlas,CAN,Cannons,11.0,20.0,CAN,ATL,CAN,ATL,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2023/game_playoffs-quarterfinal-1-2023-9-1/event_summary.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2023/game_playoffs-quarterfinal-1-2023-9-1/team_game_stats.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2023/game_playoffs-quarterfinal-1-2023-9-1/player_game_stats.json.gz,Quarterfinal
2023,post,playoffs-semifinal-2-2023-9-8,playoffs-semifinal-2-2023-9-8,,44,2023_ev47,227,3,3.0,13,PLL,1694372400.0,2023-09-10 19:00:00+00:00,2023-09-10,Shuart Stadium,,"Long Island, NY",4,0,0,RED,Redwoods,ARC,Archers,RED,Redwoods,ARC,Archers,6.0,14.0,ARC,RED,ARC,RED,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2023/game_playoffs-semifinal-2-2023-9-8/event_summary.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2023/game_playoffs-semifinal-2-2023-9-8/team_game_stats.json.gz,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2023/game_playoffs-semifinal-2-2023-9-8/player_game_stats.json.gz,Semifinal
