season,player_id,full_name,position,position_name,split_type,games,first_game_date,last_game_date,opponents,teams,points,scoring_points,one_point_goals,two_point_goals,goals,assists,shots,shots_on_goal,two_point_shots,saves,clean_saves,messy_saves,scores_against,saa,ground_balls,turnovers,caused_turnovers,faceoffs_won,faceoffs_lost,faceoffs,goals_against,two_point_goals_against,num_penalties,pim,assist_opportunities,touches,total_passes,shot_pct_calc,shots_on_goal_rate_calc,faceoff_pct_calc,save_pct_calc,clean_save_pct,clean_save_rate,assist_conv_rate,two_pt_conversion,points_per_game,scoring_points_per_game,one_point_goals_per_game,two_point_goals_per_game,goals_per_game,assists_per_game,shots_per_game,shots_on_goal_per_game,two_point_shots_per_game,saves_per_game,clean_saves_per_game,messy_saves_per_game,scores_against_per_game,saa_per_game,ground_balls_per_game,turnovers_per_game,caused_turnovers_per_game,faceoffs_won_per_game,faceoffs_lost_per_game,faceoffs_per_game,goals_against_per_game,two_point_goals_against_per_game,num_penalties_per_game,pim_per_game,assist_opportunities_per_game,touches_per_game,total_passes_per_game,assist_opp_per_game
2022,000201,Adam Ghitelman,G,Goalie,last_10,10,2022-06-11,2022-09-11,ATL|CAN|CHA|RED|WAT,ARC,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,2.0,108.0,29.0,79.0,102.0,102.02018769578818,31.0,2.0,3.0,0,0,0,98.0,4.0,1.0,1.0,1.0,142.0,138.0,0.0,0.5,,0.5242718446601942,26.851851851851855,0.1407766990291262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2,10.8,2.9,7.9,10.2,10.202018769578817,3.1,0.2,0.3,0.0,0.0,0.0,9.8,0.4,0.1,0.1,0.1,14.2,13.8,0.1
2022,000204,Christian Cuccinello,A,Attack,last_10,2,2022-06-11,2022-07-24,ARC|ATL,CAN,2.0,2.0,2.0,0.0,2.0,0.0,6.0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.3333333333333333,0.6666666666666666,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0
2022,000207,Dominique Alexander,SSDM,Defensive Midfield,last_10,10,2022-06-11,2022-09-11,ATL|CAN|CHA|RED|WAT,ARC,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,9.0,0,0,0,0.0,0.0,3.0,2.0,3.0,75.0,73.0,1.0,1.0,,,,,0.3333333333333333,,0.2,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.3,7.5,7.3,0.3
2022,000211,Ian MacKay,SSDM,Defensive Midfield,last_10,8,2022-06-25,2022-09-18,ARC|ATL|CAN|OUT|WAT|WHP,CHA,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0,1,1,0.0,0.0,2.0,1.5,2.0,40.0,32.0,0.0,0.6,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.125,0.0,0.125,0.125,0.0,0.0,0.25,0.1875,0.25,5.0,4.0,0.25
2022,000213,Jerry Ragonese,FO,Faceoff,last_10,1,2022-07-02,2022-07-02,CAN,CHA,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,6,8,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.25,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2022,000216,Marcus Holman,A,Attack,last_10,10,2022-06-18,2022-09-11,ATL|CAN|CHA|RED|WAT|WHP,ARC,28.0,21.0,17.0,2.0,19.0,7.0,49.0,35,6.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,1.0,0,0,0,0.0,0.0,1.0,0.5,28.0,331.0,269.0,0.3877551020408163,0.7142857142857143,,,,,0.25,0.3333333333333333,2.8,2.1,1.7,0.2,1.9,0.7,4.9,3.5,0.6,0.0,0.0,0.0,0.0,0.0,2.1,1.3,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.05,2.8,33.1,26.9,2.8
2022,000217,Mark McNeill,SSDM,Defensive Midfield,last_10,10,2022-06-11,2022-09-11,ATL|CAN|CHA|RED|WAT|WHP,ARC,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,0,0,0,0.0,0.0,0.0,0.0,1.0,36.0,33.0,,,,,,,1.0,,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.6,3.3,0.1
2022,000218,Matt McMahon,D,Defense,last_10,10,2022-06-18,2022-09-11,ATL|CAN|CHA|RED|WAT|WHP,ARC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,9.0,0,0,0,0.0,0.0,0.0,0.0,0.0,25.0,23.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.3,0.0
2022,000221,Ryan Ambler,M,Midfield,last_10,10,2022-06-18,2022-09-11,ATL|CAN|CHA|RED|WAT|WHP,ARC,15.0,13.0,13.0,0.0,13.0,2.0,43.0,26,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,2.0,0,0,0,0.0,0.0,0.0,0.0,16.0,223.0,173.0,0.3023255813953488,0.6046511627906976,,,,,0.125,0.0,1.5,1.3,1.3,0.0,1.3,0.2,4.3,2.6,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,22.3,17.3,1.6
2022,000222,Stephen Kelly,FO,Faceoff,last_10,9,2022-06-05,2022-08-21,ARC|ATL|CHA|OUT|RED|WAT|WHP,CAN,5.0,4.0,4.0,0.0,4.0,1.0,7.0,6,0.0,0.0,0.0,0.0,0.0,0.0,65.0,8.0,0.0,106,111,217,0.0,0.0,0.0,0.0,4.0,68.0,53.0,0.5714285714285714,0.8571428571428571,0.48847926267281105,,,,0.25,,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.1111111111111111,0.7777777777777778,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,7.222222222222222,0.8888888888888888,0.0,11.777777777777779,12.333333333333334,24.11111111111111,0.0,0.0,0.0,0.0,0.4444444444444444,7.555555555555555,5.888888888888889,0.4444444444444444
