season,team_id,team_name,games,first_game_date,last_game_date,wins,losses,team_scores,scores_allowed,team_goals,goals_allowed,team_one_point_goals,one_point_goals_allowed,team_two_point_goals,two_point_goals_allowed,team_assists,assists_allowed,team_shots,opponent_shots,team_shots_on_goal,opponent_shots_on_goal,opponent_two_point_shots,opponent_two_point_shots_on_goal,team_ground_balls,opponent_ground_balls,team_turnovers,opponent_turnovers,caused_turnovers_for,opponent_caused_turnovers,team_faceoffs,opponent_faceoffs,team_faceoffs_won,opponent_faceoffs_won,team_faceoffs_lost,opponent_faceoffs_lost,saves_for,opponent_saves,team_clears,opponent_clears,team_clear_attempts,opponent_clear_attempts,team_touches,opponent_touches,team_total_passes,opponent_total_passes,team_time_in_possession,opponent_time_in_possession,team_offensive_sequence_proxy,opponent_offensive_sequence_proxy,score_margin,team_scores_per_game,scores_allowed_per_game,team_goals_per_game,goals_allowed_per_game,team_one_point_goals_per_game,one_point_goals_allowed_per_game,team_two_point_goals_per_game,two_point_goals_allowed_per_game,team_assists_per_game,assists_allowed_per_game,team_shots_per_game,opponent_shots_per_game,team_shots_on_goal_per_game,opponent_shots_on_goal_per_game,opponent_two_point_shots_per_game,opponent_two_point_shots_on_goal_per_game,team_ground_balls_per_game,opponent_ground_balls_per_game,team_turnovers_per_game,opponent_turnovers_per_game,caused_turnovers_for_per_game,opponent_caused_turnovers_per_game,team_faceoffs_per_game,opponent_faceoffs_per_game,team_faceoffs_won_per_game,opponent_faceoffs_won_per_game,team_faceoffs_lost_per_game,opponent_faceoffs_lost_per_game,saves_for_per_game,opponent_saves_per_game,team_clears_per_game,opponent_clears_per_game,team_clear_attempts_per_game,opponent_clear_attempts_per_game,team_touches_per_game,opponent_touches_per_game,team_total_passes_per_game,opponent_total_passes_per_game,team_time_in_possession_per_game,opponent_time_in_possession_per_game,team_offensive_sequence_proxy_per_game,opponent_offensive_sequence_proxy_per_game,score_margin_per_game,win_pct,opponent_goal_pct,opponent_sog_rate,opponent_sog_goal_pct,save_pct_proxy,ct_per_opponent_turnover,opponent_scores_per_offensive_sequence_proxy,opponent_goals_per_shot
2022,WHP,Whipsnakes,11,2022-06-04,2022-09-11,9.0,2.0,128.0,109.0,121.0,101.0,114.0,93.0,7.0,8.0,63.0,56.0,462.0,399.0,282.0,246.0,47.0,29.0,355.0,277.0,191.0,168.0,72.0,79.0,266.0,266.0,165.0,100.0,100.0,165.0,133.0,142.0,311.0,301.0,318.0,306.0,2820.0,2694.0,2167.0,2127.0,15626.0,13899.0,684.0,585.0,19.0,11.636363636363637,9.909090909090908,11.0,9.181818181818182,10.363636363636363,8.454545454545455,0.6363636363636364,0.7272727272727273,5.7272727272727275,5.090909090909091,42.0,36.27272727272727,25.636363636363637,22.363636363636363,4.2727272727272725,2.6363636363636362,32.27272727272727,25.181818181818183,17.363636363636363,15.272727272727273,6.545454545454546,7.181818181818182,24.181818181818183,24.181818181818183,15.0,9.090909090909092,9.090909090909092,15.0,12.090909090909092,12.909090909090908,28.272727272727273,27.363636363636363,28.90909090909091,27.818181818181817,256.3636363636364,244.9090909090909,197.0,193.36363636363637,1420.5454545454545,1263.5454545454545,62.18181818181818,53.18181818181818,1.7272727272727273,0.8181818181818182,0.2531328320802005,0.6165413533834586,0.4105691056910569,0.5683760683760684,0.42857142857142855,0.18632478632478633,0.2531328320802005
2022,OUT,Outlaws,11,2022-06-05,2022-09-03,7.0,4.0,123.0,113.0,120.0,107.0,117.0,101.0,3.0,6.0,72.0,64.0,406.0,389.0,264.0,253.0,47.0,23.0,351.0,295.0,183.0,177.0,74.0,71.0,270.0,270.0,146.0,123.0,123.0,146.0,127.0,123.0,316.0,303.0,320.0,307.0,3150.0,2708.0,2561.0,2142.0,15671.0,14083.0,615.0,594.0,10.0,11.181818181818182,10.272727272727273,10.909090909090908,9.727272727272727,10.636363636363637,9.181818181818182,0.2727272727272727,0.5454545454545454,6.545454545454546,5.818181818181818,36.90909090909091,35.36363636363637,24.0,23.0,4.2727272727272725,2.090909090909091,31.90909090909091,26.818181818181817,16.636363636363637,16.09090909090909,6.7272727272727275,6.454545454545454,24.545454545454547,24.545454545454547,13.272727272727273,11.181818181818182,11.181818181818182,13.272727272727273,11.545454545454545,11.181818181818182,28.727272727272727,27.545454545454547,29.09090909090909,27.90909090909091,286.3636363636364,246.1818181818182,232.8181818181818,194.72727272727272,1424.6363636363637,1280.2727272727273,55.90909090909091,54.0,0.9090909090909091,0.6363636363636364,0.2750642673521851,0.6503856041131105,0.42292490118577075,0.5427350427350427,0.4180790960451977,0.19023569023569023,0.2750642673521851
2022,ARC,Archers,12,2022-06-05,2022-09-11,7.0,5.0,150.0,127.0,143.0,122.0,136.0,117.0,7.0,5.0,85.0,66.0,463.0,460.0,313.0,282.0,49.0,24.0,352.0,388.0,172.0,226.0,93.0,66.0,311.0,311.0,118.0,191.0,191.0,118.0,130.0,153.0,338.0,323.0,340.0,333.0,3323.0,3118.0,2688.0,2432.0,15581.0,16285.0,657.0,709.0,23.0,12.5,10.583333333333334,11.916666666666666,10.166666666666666,11.333333333333334,9.75,0.5833333333333334,0.4166666666666667,7.083333333333333,5.5,38.583333333333336,38.333333333333336,26.083333333333332,23.5,4.083333333333333,2.0,29.333333333333332,32.333333333333336,14.333333333333334,18.833333333333332,7.75,5.5,25.916666666666668,25.916666666666668,9.833333333333334,15.916666666666666,15.916666666666666,9.833333333333334,10.833333333333334,12.75,28.166666666666668,26.916666666666668,28.333333333333332,27.75,276.9166666666667,259.8333333333333,224.0,202.66666666666666,1298.4166666666667,1357.0833333333333,54.75,59.083333333333336,1.9166666666666667,0.5833333333333334,0.26521739130434785,0.6130434782608696,0.4326241134751773,0.5158730158730159,0.41150442477876104,0.17912552891396333,0.26521739130434785
2022,CHA,Chaos,13,2022-06-04,2022-09-18,4.0,9.0,130.0,147.0,125.0,139.0,120.0,131.0,5.0,8.0,72.0,68.0,432.0,544.0,273.0,338.0,46.0,31.0,343.0,404.0,228.0,184.0,66.0,85.0,315.0,315.0,142.0,172.0,172.0,142.0,182.0,131.0,354.0,370.0,363.0,375.0,3247.0,3540.0,2587.0,2812.0,16007.0,18940.0,691.0,759.0,-17.0,10.0,11.307692307692308,9.615384615384615,10.692307692307692,9.23076923076923,10.076923076923077,0.38461538461538464,0.6153846153846154,5.538461538461538,5.230769230769231,33.23076923076923,41.84615384615385,21.0,26.0,3.5384615384615383,2.3846153846153846,26.384615384615383,31.076923076923077,17.53846153846154,14.153846153846153,5.076923076923077,6.538461538461538,24.23076923076923,24.23076923076923,10.923076923076923,13.23076923076923,13.23076923076923,10.923076923076923,14.0,10.076923076923077,27.23076923076923,28.46153846153846,27.923076923076923,28.846153846153847,249.76923076923077,272.3076923076923,199.0,216.30769230769232,1231.3076923076924,1456.923076923077,53.15384615384615,58.38461538461539,-1.3076923076923077,0.3076923076923077,0.2555147058823529,0.6213235294117647,0.41124260355029585,0.5669781931464174,0.358695652173913,0.19367588932806323,0.2555147058823529
2022,RED,Redwoods,11,2022-06-04,2022-09-03,4.0,7.0,122.0,137.0,113.0,132.0,104.0,127.0,9.0,5.0,58.0,88.0,412.0,393.0,257.0,255.0,36.0,20.0,309.0,340.0,183.0,191.0,78.0,74.0,288.0,288.0,151.0,134.0,134.0,151.0,102.0,132.0,284.0,281.0,293.0,287.0,2680.0,2843.0,2085.0,2259.0,14157.0,15099.0,625.0,606.0,-15.0,11.090909090909092,12.454545454545455,10.272727272727273,12.0,9.454545454545455,11.545454545454545,0.8181818181818182,0.45454545454545453,5.2727272727272725,8.0,37.45454545454545,35.72727272727273,23.363636363636363,23.181818181818183,3.272727272727273,1.8181818181818181,28.09090909090909,30.90909090909091,16.636363636363637,17.363636363636363,7.090909090909091,6.7272727272727275,26.181818181818183,26.181818181818183,13.727272727272727,12.181818181818182,12.181818181818182,13.727272727272727,9.272727272727273,12.0,25.818181818181817,25.545454545454547,26.636363636363637,26.09090909090909,243.63636363636363,258.45454545454544,189.54545454545453,205.36363636363637,1287.0,1372.6363636363637,56.81818181818182,55.09090909090909,-1.3636363636363635,0.36363636363636365,0.33587786259541985,0.648854961832061,0.5176470588235295,0.4358974358974359,0.4083769633507853,0.22607260726072606,0.33587786259541985
2022,ATL,Atlas,11,2022-06-04,2022-09-03,6.0,5.0,142.0,138.0,127.0,126.0,112.0,114.0,15.0,12.0,79.0,69.0,445.0,424.0,277.0,280.0,45.0,30.0,357.0,310.0,193.0,182.0,72.0,85.0,296.0,296.0,182.0,114.0,114.0,182.0,137.0,129.0,307.0,290.0,314.0,294.0,2868.0,2746.0,2230.0,2140.0,15253.0,13984.0,664.0,628.0,4.0,12.909090909090908,12.545454545454545,11.545454545454545,11.454545454545455,10.181818181818182,10.363636363636363,1.3636363636363635,1.0909090909090908,7.181818181818182,6.2727272727272725,40.45454545454545,38.54545454545455,25.181818181818183,25.454545454545453,4.090909090909091,2.727272727272727,32.45454545454545,28.181818181818183,17.545454545454547,16.545454545454547,6.545454545454546,7.7272727272727275,26.90909090909091,26.90909090909091,16.545454545454547,10.363636363636363,10.363636363636363,16.545454545454547,12.454545454545455,11.727272727272727,27.90909090909091,26.363636363636363,28.545454545454547,26.727272727272727,260.72727272727275,249.63636363636363,202.72727272727272,194.54545454545453,1386.6363636363637,1271.2727272727273,60.36363636363637,57.09090909090909,0.36363636363636365,0.5454545454545454,0.2971698113207547,0.660377358490566,0.45,0.5209125475285171,0.3956043956043956,0.2197452229299363,0.2971698113207547
2022,WAT,Waterdogs,13,2022-06-05,2022-09-18,8.0,5.0,171.0,166.0,161.0,159.0,151.0,152.0,10.0,7.0,93.0,92.0,545.0,519.0,347.0,335.0,65.0,37.0,423.0,428.0,209.0,233.0,103.0,90.0,371.0,371.0,160.0,207.0,207.0,160.0,162.0,168.0,363.0,391.0,371.0,401.0,3242.0,3457.0,2488.0,2705.0,18056.0,16924.0,773.0,784.0,5.0,13.153846153846153,12.76923076923077,12.384615384615385,12.23076923076923,11.615384615384615,11.692307692307692,0.7692307692307693,0.5384615384615384,7.153846153846154,7.076923076923077,41.92307692307692,39.92307692307692,26.692307692307693,25.76923076923077,5.0,2.8461538461538463,32.53846153846154,32.92307692307692,16.076923076923077,17.923076923076923,7.923076923076923,6.923076923076923,28.53846153846154,28.53846153846154,12.307692307692308,15.923076923076923,15.923076923076923,12.307692307692308,12.461538461538462,12.923076923076923,27.923076923076923,30.076923076923077,28.53846153846154,30.846153846153847,249.3846153846154,265.9230769230769,191.3846153846154,208.07692307692307,1388.923076923077,1301.8461538461538,59.46153846153846,60.30769230769231,0.38461538461538464,0.6153846153846154,0.3063583815028902,0.6454720616570327,0.4746268656716418,0.5046728971962616,0.44206008583690987,0.21173469387755103,0.3063583815028902
2022,CAN,Cannons,10,2022-06-05,2022-08-21,1.0,9.0,111.0,140.0,109.0,133.0,107.0,126.0,2.0,7.0,55.0,74.0,394.0,431.0,255.0,279.0,37.0,21.0,301.0,349.0,161.0,159.0,64.0,72.0,281.0,281.0,129.0,152.0,152.0,129.0,132.0,127.0,283.0,297.0,288.0,304.0,2479.0,2703.0,1924.0,2113.0,12836.0,13973.0,567.0,611.0,-29.0,11.1,14.0,10.9,13.3,10.7,12.6,0.2,0.7,5.5,7.4,39.4,43.1,25.5,27.9,3.7,2.1,30.1,34.9,16.1,15.9,6.4,7.2,28.1,28.1,12.9,15.2,15.2,12.9,13.2,12.7,28.3,29.7,28.8,30.4,247.9,270.3,192.4,211.3,1283.6,1397.3,56.7,61.1,-2.9,0.1,0.308584686774942,0.6473317865429234,0.4767025089605735,0.4981132075471698,0.4025157232704403,0.22913256955810146,0.308584686774942
2023,ARC,Archers,12,2023-06-03,2023-09-24,10.0,2.0,167.0,131.0,154.0,120.0,141.0,109.0,13.0,11.0,83.0,70.0,553.0,486.0,333.0,307.0,74.0,43.0,467.0,344.0,226.0,192.0,80.0,65.0,322.0,322.0,205.0,114.0,114.0,205.0,173.0,159.0,398.0,349.0,403.0,356.0,3289.0,3078.0,2510.0,2400.0,16606.0,15562.0,831.0,706.0,36.0,13.916666666666666,10.916666666666666,12.833333333333334,10.0,11.75,9.083333333333334,1.0833333333333333,0.9166666666666666,6.916666666666667,5.833333333333333,46.083333333333336,40.5,27.75,25.583333333333332,6.166666666666667,3.5833333333333335,38.916666666666664,28.666666666666668,18.833333333333332,16.0,6.666666666666667,5.416666666666667,26.833333333333332,26.833333333333332,17.083333333333332,9.5,9.5,17.083333333333332,14.416666666666666,13.25,33.166666666666664,29.083333333333332,33.583333333333336,29.666666666666668,274.0833333333333,256.5,209.16666666666666,200.0,1383.8333333333333,1296.8333333333333,69.25,58.833333333333336,3.0,0.8333333333333334,0.24691358024691357,0.6316872427983539,0.39087947882736157,0.590443686006826,0.4166666666666667,0.18555240793201133,0.24691358024691357
2023,WAT,Waterdogs,13,2023-06-04,2023-09-24,9.0,4.0,175.0,151.0,161.0,143.0,147.0,135.0,14.0,8.0,99.0,70.0,566.0,559.0,364.0,353.0,85.0,43.0,407.0,529.0,197.0,267.0,100.0,83.0,356.0,356.0,107.0,246.0,246.0,107.0,186.0,187.0,406.0,455.0,415.0,458.0,3525.0,3474.0,2762.0,2648.0,15498.0,16937.0,792.0,881.0,24.0,13.461538461538462,11.615384615384615,12.384615384615385,11.0,11.307692307692308,10.384615384615385,1.0769230769230769,0.6153846153846154,7.615384615384615,5.384615384615385,43.53846153846154,43.0,28.0,27.153846153846153,6.538461538461538,3.3076923076923075,31.307692307692307,40.69230769230769,15.153846153846153,20.53846153846154,7.6923076923076925,6.384615384615385,27.384615384615383,27.384615384615383,8.23076923076923,18.923076923076923,18.923076923076923,8.23076923076923,14.307692307692308,14.384615384615385,31.23076923076923,35.0,31.923076923076923,35.23076923076923,271.15384615384613,267.2307692307692,212.46153846153845,203.69230769230768,1192.1538461538462,1302.8461538461538,60.92307692307692,67.76923076923077,1.8461538461538463,0.6923076923076923,0.2558139534883721,0.631484794275492,0.40509915014164305,0.5653495440729484,0.37453183520599254,0.1713961407491487,0.2558139534883721
