season,team_id,team_name,games,first_game_date,last_game_date,wins,losses,team_scores,scores_allowed,team_goals,goals_allowed,team_one_point_goals,one_point_goals_allowed,team_two_point_goals,two_point_goals_allowed,team_assists,assists_allowed,team_shots,opponent_shots,team_shots_on_goal,opponent_shots_on_goal,opponent_two_point_shots,opponent_two_point_shots_on_goal,team_ground_balls,opponent_ground_balls,team_turnovers,opponent_turnovers,caused_turnovers_for,opponent_caused_turnovers,team_faceoffs,opponent_faceoffs,team_faceoffs_won,opponent_faceoffs_won,team_faceoffs_lost,opponent_faceoffs_lost,saves_for,opponent_saves,team_clears,opponent_clears,team_clear_attempts,opponent_clear_attempts,team_touches,opponent_touches,team_total_passes,opponent_total_passes,team_time_in_possession,opponent_time_in_possession,team_offensive_sequence_proxy,opponent_offensive_sequence_proxy,score_margin,team_scores_per_game,scores_allowed_per_game,team_goals_per_game,goals_allowed_per_game,team_one_point_goals_per_game,one_point_goals_allowed_per_game,team_two_point_goals_per_game,two_point_goals_allowed_per_game,team_assists_per_game,assists_allowed_per_game,team_shots_per_game,opponent_shots_per_game,team_shots_on_goal_per_game,opponent_shots_on_goal_per_game,opponent_two_point_shots_per_game,opponent_two_point_shots_on_goal_per_game,team_ground_balls_per_game,opponent_ground_balls_per_game,team_turnovers_per_game,opponent_turnovers_per_game,caused_turnovers_for_per_game,opponent_caused_turnovers_per_game,team_faceoffs_per_game,opponent_faceoffs_per_game,team_faceoffs_won_per_game,opponent_faceoffs_won_per_game,team_faceoffs_lost_per_game,opponent_faceoffs_lost_per_game,saves_for_per_game,opponent_saves_per_game,team_clears_per_game,opponent_clears_per_game,team_clear_attempts_per_game,opponent_clear_attempts_per_game,team_touches_per_game,opponent_touches_per_game,team_total_passes_per_game,opponent_total_passes_per_game,team_time_in_possession_per_game,opponent_time_in_possession_per_game,team_offensive_sequence_proxy_per_game,opponent_offensive_sequence_proxy_per_game,score_margin_per_game,win_pct,opponent_goal_pct,opponent_sog_rate,opponent_sog_goal_pct,save_pct_proxy,ct_per_opponent_turnover,opponent_scores_per_offensive_sequence_proxy,opponent_goals_per_shot
2022,CHA,Chaos,3,2022-09-03,2022-09-18,2.0,1.0,29.0,21.0,28.0,21.0,27.0,21.0,1.0,0.0,14.0,8.0,116.0,116.0,68.0,68.0,15.0,8.0,80.0,96.0,52.0,45.0,13.0,22.0,61.0,61.0,34.0,27.0,27.0,34.0,45.0,39.0,88.0,83.0,91.0,85.0,726.0,791.0,558.0,630.0,3782.0,4340.0,175.0,172.0,8.0,9.666666666666666,7.0,9.333333333333334,7.0,9.0,7.0,0.3333333333333333,0.0,4.666666666666667,2.6666666666666665,38.666666666666664,38.666666666666664,22.666666666666668,22.666666666666668,5.0,2.6666666666666665,26.666666666666668,32.0,17.333333333333332,15.0,4.333333333333333,7.333333333333333,20.333333333333332,20.333333333333332,11.333333333333334,9.0,9.0,11.333333333333334,15.0,13.0,29.333333333333332,27.666666666666668,30.333333333333332,28.333333333333332,242.0,263.6666666666667,186.0,210.0,1260.6666666666667,1446.6666666666667,58.333333333333336,57.333333333333336,2.6666666666666665,0.6666666666666666,0.1810344827586207,0.5862068965517241,0.3088235294117647,0.6818181818181818,0.28888888888888886,0.12209302325581395,0.1810344827586207
2022,ARC,Archers,2,2022-09-03,2022-09-11,1.0,1.0,20.0,17.0,20.0,17.0,20.0,17.0,0.0,0.0,10.0,5.0,77.0,77.0,45.0,42.0,8.0,6.0,63.0,57.0,26.0,36.0,17.0,5.0,45.0,45.0,17.0,28.0,28.0,17.0,24.0,23.0,55.0,53.0,55.0,56.0,532.0,448.0,429.0,335.0,2639.0,2672.0,109.0,118.0,3.0,10.0,8.5,10.0,8.5,10.0,8.5,0.0,0.0,5.0,2.5,38.5,38.5,22.5,21.0,4.0,3.0,31.5,28.5,13.0,18.0,8.5,2.5,22.5,22.5,8.5,14.0,14.0,8.5,12.0,11.5,27.5,26.5,27.5,28.0,266.0,224.0,214.5,167.5,1319.5,1336.0,54.5,59.0,1.5,0.5,0.22077922077922077,0.5454545454545454,0.40476190476190477,0.5853658536585366,0.4722222222222222,0.1440677966101695,0.22077922077922077
2022,OUT,Outlaws,1,2022-09-03,2022-09-03,0.0,1.0,3.0,11.0,3.0,11.0,3.0,11.0,0.0,0.0,2.0,7.0,35.0,38.0,19.0,27.0,3.0,2.0,21.0,23.0,15.0,14.0,3.0,5.0,18.0,18.0,7.0,11.0,11.0,7.0,15.0,15.0,28.0,29.0,28.0,29.0,289.0,264.0,239.0,212.0,1391.0,1311.0,53.0,53.0,-8.0,3.0,11.0,3.0,11.0,3.0,11.0,0.0,0.0,2.0,7.0,35.0,38.0,19.0,27.0,3.0,2.0,21.0,23.0,15.0,14.0,3.0,5.0,18.0,18.0,7.0,11.0,11.0,7.0,15.0,15.0,28.0,29.0,28.0,29.0,289.0,264.0,239.0,212.0,1391.0,1311.0,53.0,53.0,-8.0,0.0,0.2894736842105263,0.7105263157894737,0.4074074074074074,0.5769230769230769,0.21428571428571427,0.20754716981132076,0.2894736842105263
2022,WAT,Waterdogs,3,2022-09-03,2022-09-18,3.0,0.0,41.0,33.0,39.0,30.0,37.0,27.0,2.0,3.0,20.0,16.0,105.0,131.0,72.0,74.0,29.0,14.0,109.0,99.0,59.0,49.0,25.0,31.0,81.0,81.0,41.0,40.0,40.0,41.0,43.0,30.0,83.0,97.0,87.0,99.0,698.0,761.0,534.0,581.0,4314.0,3564.0,173.0,185.0,8.0,13.666666666666666,11.0,13.0,10.0,12.333333333333334,9.0,0.6666666666666666,1.0,6.666666666666667,5.333333333333333,35.0,43.666666666666664,24.0,24.666666666666668,9.666666666666666,4.666666666666667,36.333333333333336,33.0,19.666666666666668,16.333333333333332,8.333333333333334,10.333333333333334,27.0,27.0,13.666666666666666,13.333333333333334,13.333333333333334,13.666666666666666,14.333333333333334,10.0,27.666666666666668,32.333333333333336,29.0,33.0,232.66666666666666,253.66666666666666,178.0,193.66666666666666,1438.0,1188.0,57.666666666666664,61.666666666666664,2.6666666666666665,1.0,0.22900763358778625,0.5648854961832062,0.40540540540540543,0.589041095890411,0.5102040816326531,0.1783783783783784,0.22900763358778625
2022,WHP,Whipsnakes,1,2022-09-11,2022-09-11,0.0,1.0,10.0,11.0,10.0,11.0,10.0,11.0,0.0,0.0,4.0,6.0,43.0,31.0,28.0,21.0,1.0,1.0,37.0,30.0,15.0,20.0,15.0,7.0,25.0,25.0,14.0,11.0,11.0,14.0,8.0,17.0,31.0,26.0,32.0,26.0,264.0,214.0,206.0,163.0,1394.0,1232.0,59.0,52.0,-1.0,10.0,11.0,10.0,11.0,10.0,11.0,0.0,0.0,4.0,6.0,43.0,31.0,28.0,21.0,1.0,1.0,37.0,30.0,15.0,20.0,15.0,7.0,25.0,25.0,14.0,11.0,11.0,14.0,8.0,17.0,31.0,26.0,32.0,26.0,264.0,214.0,206.0,163.0,1394.0,1232.0,59.0,52.0,-1.0,0.0,0.3548387096774194,0.6774193548387096,0.5238095238095238,0.42105263157894735,0.75,0.21153846153846154,0.3548387096774194
2022,RED,Redwoods,1,2022-09-03,2022-09-03,0.0,1.0,8.0,13.0,8.0,13.0,8.0,13.0,0.0,0.0,3.0,8.0,37.0,37.0,22.0,24.0,3.0,1.0,28.0,31.0,16.0,15.0,3.0,8.0,25.0,25.0,15.0,10.0,10.0,15.0,10.0,13.0,26.0,28.0,26.0,28.0,198.0,285.0,145.0,233.0,1177.0,1403.0,55.0,55.0,-5.0,8.0,13.0,8.0,13.0,8.0,13.0,0.0,0.0,3.0,8.0,37.0,37.0,22.0,24.0,3.0,1.0,28.0,31.0,16.0,15.0,3.0,8.0,25.0,25.0,15.0,10.0,10.0,15.0,10.0,13.0,26.0,28.0,26.0,28.0,198.0,285.0,145.0,233.0,1177.0,1403.0,55.0,55.0,-5.0,0.0,0.35135135135135137,0.6486486486486487,0.5416666666666666,0.43478260869565216,0.2,0.23636363636363636,0.35135135135135137
2022,ATL,Atlas,1,2022-09-03,2022-09-03,0.0,1.0,14.0,19.0,12.0,17.0,10.0,15.0,2.0,2.0,7.0,10.0,50.0,33.0,25.0,23.0,4.0,3.0,34.0,36.0,16.0,20.0,10.0,8.0,33.0,33.0,16.0,17.0,17.0,16.0,5.0,13.0,34.0,29.0,35.0,31.0,285.0,229.0,219.0,176.0,1194.0,1369.0,67.0,56.0,-5.0,14.0,19.0,12.0,17.0,10.0,15.0,2.0,2.0,7.0,10.0,50.0,33.0,25.0,23.0,4.0,3.0,34.0,36.0,16.0,20.0,10.0,8.0,33.0,33.0,16.0,17.0,17.0,16.0,5.0,13.0,34.0,29.0,35.0,31.0,285.0,229.0,219.0,176.0,1194.0,1369.0,67.0,56.0,-5.0,0.0,0.5151515151515151,0.696969696969697,0.7391304347826086,0.22727272727272727,0.5,0.3392857142857143,0.5151515151515151
2023,ARC,Archers,2,2023-09-10,2023-09-24,2.0,0.0,29.0,20.0,26.0,18.0,23.0,16.0,3.0,2.0,16.0,9.0,79.0,90.0,45.0,54.0,18.0,13.0,78.0,57.0,46.0,26.0,9.0,16.0,52.0,52.0,29.0,23.0,23.0,29.0,36.0,18.0,75.0,60.0,75.0,61.0,488.0,506.0,363.0,390.0,2662.0,2755.0,134.0,121.0,9.0,14.5,10.0,13.0,9.0,11.5,8.0,1.5,1.0,8.0,4.5,39.5,45.0,22.5,27.0,9.0,6.5,39.0,28.5,23.0,13.0,4.5,8.0,26.0,26.0,14.5,11.5,11.5,14.5,18.0,9.0,37.5,30.0,37.5,30.5,244.0,253.0,181.5,195.0,1331.0,1377.5,67.0,60.5,4.5,1.0,0.2,0.6,0.3333333333333333,0.6666666666666666,0.34615384615384615,0.1652892561983471,0.2
2023,WAT,Waterdogs,3,2023-09-04,2023-09-24,2.0,1.0,46.0,33.0,44.0,31.0,42.0,29.0,2.0,2.0,25.0,13.0,134.0,114.0,83.0,76.0,23.0,12.0,93.0,106.0,48.0,61.0,20.0,18.0,87.0,87.0,35.0,50.0,50.0,35.0,43.0,38.0,98.0,103.0,100.0,104.0,854.0,711.0,672.0,536.0,4193.0,3878.0,195.0,188.0,13.0,15.333333333333334,11.0,14.666666666666666,10.333333333333334,14.0,9.666666666666666,0.6666666666666666,0.6666666666666666,8.333333333333334,4.333333333333333,44.666666666666664,38.0,27.666666666666668,25.333333333333332,7.666666666666667,4.0,31.0,35.333333333333336,16.0,20.333333333333332,6.666666666666667,6.0,29.0,29.0,11.666666666666666,16.666666666666668,16.666666666666668,11.666666666666666,14.333333333333334,12.666666666666666,32.666666666666664,34.333333333333336,33.333333333333336,34.666666666666664,284.6666666666667,237.0,224.0,178.66666666666666,1397.6666666666667,1292.6666666666667,65.0,62.666666666666664,4.333333333333333,0.6666666666666666,0.2719298245614035,0.6666666666666666,0.40789473684210525,0.581081081081081,0.32786885245901637,0.17553191489361702,0.2719298245614035
2023,RED,Redwoods,2,2023-09-04,2023-09-10,1.0,1.0,21.0,23.0,19.0,21.0,17.0,19.0,2.0,2.0,11.0,14.0,91.0,88.0,53.0,50.0,19.0,11.0,57.0,70.0,32.0,33.0,15.0,11.0,48.0,48.0,24.0,24.0,24.0,24.0,29.0,34.0,59.0,67.0,59.0,68.0,525.0,490.0,402.0,369.0,2632.0,2760.0,131.0,126.0,-2.0,10.5,11.5,9.5,10.5,8.5,9.5,1.0,1.0,5.5,7.0,45.5,44.0,26.5,25.0,9.5,5.5,28.5,35.0,16.0,16.5,7.5,5.5,24.0,24.0,12.0,12.0,12.0,12.0,14.5,17.0,29.5,33.5,29.5,34.0,262.5,245.0,201.0,184.5,1316.0,1380.0,65.5,63.0,-1.0,0.5,0.23863636363636365,0.5681818181818182,0.42,0.58,0.45454545454545453,0.18253968253968253,0.23863636363636365
