season,competition_type,game_id,schedule_slug,game_slug,game_number,week,game_date_utc,team_id,team_name,opponent_team_id,opponent_team_name,is_home,team_scores,team_goals,team_one_point_goals,team_two_point_goals,team_assists,team_shots,team_shots_on_goal,team_ground_balls,team_turnovers,caused_turnovers_for,team_faceoffs,team_faceoffs_won,team_faceoffs_lost,saves_for,team_clears,team_clear_attempts,team_touches,team_total_passes,team_time_in_possession,team_offensive_sequence_proxy,scores_allowed,goals_allowed,one_point_goals_allowed,two_point_goals_allowed,assists_allowed,opponent_shots,opponent_shots_on_goal,opponent_two_point_shots,opponent_two_point_shots_on_goal,opponent_ground_balls,opponent_turnovers,opponent_caused_turnovers,opponent_faceoffs,opponent_faceoffs_won,opponent_faceoffs_lost,opponent_saves,opponent_clears,opponent_clear_attempts,opponent_touches,opponent_total_passes,opponent_time_in_possession,opponent_offensive_sequence_proxy,opponent_scores_check,opponent_goals_check,score_margin,win_flag,loss_flag,opponent_goal_pct,opponent_sog_rate,opponent_sog_goal_pct,save_pct_proxy,ct_per_opponent_turnover,opponent_scores_per_offensive_sequence_proxy,opponent_goals_per_shot
2022,regular,2022_ev1,whipsnakes-chaos-2022-6-04,whipsnakes-chaos-2022-6-04,1,1,2022-06-04,CHA,Chaos,WHP,Whipsnakes,1,8.0,7.0,6.0,1.0,4.0,21.0,16.0,23.0,16.0,3.0,20.0,8.0,12.0,13.0,28.0,29.0,240.0,203.0,1174.0,41.0,9.0,9.0,9.0,0.0,2.0,49.0,23.0,2.0,1.0,23.0,10.0,6.0,20.0,12.0,8.0,8.0,26.0,26.0,218.0,159.0,1519.0,62.0,9.0,9.0,-1.0,0.0,1.0,0.1836734693877551,0.46938775510204084,0.391304347826087,0.5909090909090909,0.3,0.14516129032258066,0.1836734693877551
2022,regular,2022_ev1,whipsnakes-chaos-2022-6-04,whipsnakes-chaos-2022-6-04,1,1,2022-06-04,WHP,Whipsnakes,CHA,Chaos,0,9.0,9.0,9.0,0.0,2.0,49.0,23.0,23.0,10.0,6.0,20.0,12.0,8.0,8.0,26.0,26.0,218.0,159.0,1519.0,62.0,8.0,7.0,6.0,1.0,4.0,21.0,16.0,3.0,3.0,23.0,16.0,3.0,20.0,8.0,12.0,13.0,28.0,29.0,240.0,203.0,1174.0,41.0,8.0,7.0,1.0,1.0,0.0,0.3333333333333333,0.7619047619047619,0.4375,0.5333333333333333,0.375,0.1951219512195122,0.3333333333333333
2022,regular,2022_ev2,redwoods-atlas-2022-6-04,redwoods-atlas-2022-6-04,2,1,2022-06-04,ATL,Atlas,RED,Redwoods,1,17.0,16.0,15.0,1.0,13.0,33.0,24.0,28.0,17.0,8.0,30.0,17.0,13.0,11.0,24.0,25.0,239.0,189.0,1350.0,53.0,11.0,10.0,9.0,1.0,6.0,37.0,21.0,5.0,2.0,32.0,19.0,8.0,30.0,13.0,17.0,5.0,20.0,20.0,200.0,144.0,1240.0,59.0,11.0,10.0,6.0,1.0,0.0,0.2702702702702703,0.5675675675675675,0.47619047619047616,0.5238095238095238,0.42105263157894735,0.1864406779661017,0.2702702702702703
2022,regular,2022_ev2,redwoods-atlas-2022-6-04,redwoods-atlas-2022-6-04,2,1,2022-06-04,RED,Redwoods,ATL,Atlas,0,11.0,10.0,9.0,1.0,6.0,37.0,21.0,32.0,19.0,8.0,30.0,13.0,17.0,5.0,20.0,20.0,200.0,144.0,1240.0,59.0,17.0,16.0,15.0,1.0,13.0,33.0,24.0,3.0,3.0,28.0,17.0,8.0,30.0,17.0,13.0,11.0,24.0,25.0,239.0,189.0,1350.0,53.0,17.0,16.0,-6.0,0.0,1.0,0.48484848484848486,0.7272727272727273,0.6666666666666666,0.23809523809523808,0.47058823529411764,0.32075471698113206,0.48484848484848486
2022,regular,2022_ev3,waterdogs-cannons-2022-6-05,waterdogs-cannons-2022-6-05,3,1,2022-06-05,CAN,Cannons,WAT,Waterdogs,1,16.0,16.0,16.0,0.0,8.0,39.0,29.0,31.0,17.0,5.0,30.0,16.0,14.0,19.0,31.0,32.0,232.0,176.0,1149.0,57.0,10.0,10.0,10.0,0.0,4.0,42.0,31.0,4.0,4.0,35.0,14.0,7.0,30.0,14.0,16.0,10.0,29.0,29.0,224.0,168.0,1459.0,56.0,10.0,10.0,6.0,1.0,0.0,0.23809523809523808,0.7380952380952381,0.3225806451612903,0.6551724137931034,0.35714285714285715,0.17857142857142858,0.23809523809523808
2022,regular,2022_ev3,waterdogs-cannons-2022-6-05,waterdogs-cannons-2022-6-05,3,1,2022-06-05,WAT,Waterdogs,CAN,Cannons,0,10.0,10.0,10.0,0.0,4.0,42.0,31.0,35.0,14.0,7.0,30.0,14.0,16.0,10.0,29.0,29.0,224.0,168.0,1459.0,56.0,16.0,16.0,16.0,0.0,8.0,39.0,29.0,2.0,1.0,31.0,17.0,5.0,30.0,16.0,14.0,19.0,31.0,32.0,232.0,176.0,1149.0,57.0,16.0,16.0,-6.0,0.0,1.0,0.41025641025641024,0.7435897435897436,0.5517241379310345,0.38461538461538464,0.4117647058823529,0.2807017543859649,0.41025641025641024
2022,regular,2022_ev4,chrome-archers-2022-6-05,chrome-archers-2022-6-05,4,1,2022-06-05,ARC,Archers,OUT,Outlaws,1,10.0,10.0,10.0,0.0,8.0,40.0,23.0,34.0,13.0,4.0,24.0,10.0,14.0,8.0,30.0,30.0,282.0,229.0,1379.0,55.0,11.0,10.0,9.0,1.0,6.0,37.0,21.0,2.0,1.0,32.0,16.0,7.0,24.0,14.0,10.0,11.0,27.0,27.0,283.0,230.0,1318.0,54.0,11.0,10.0,-1.0,0.0,1.0,0.2702702702702703,0.5675675675675675,0.47619047619047616,0.4444444444444444,0.25,0.2037037037037037,0.2702702702702703
2022,regular,2022_ev4,chrome-archers-2022-6-05,chrome-archers-2022-6-05,4,1,2022-06-05,OUT,Outlaws,ARC,Archers,0,11.0,10.0,9.0,1.0,6.0,37.0,21.0,32.0,16.0,7.0,24.0,14.0,10.0,11.0,27.0,27.0,283.0,230.0,1318.0,54.0,10.0,10.0,10.0,0.0,8.0,40.0,23.0,3.0,1.0,34.0,13.0,4.0,24.0,10.0,14.0,8.0,30.0,30.0,282.0,229.0,1379.0,55.0,10.0,10.0,1.0,1.0,0.0,0.25,0.575,0.43478260869565216,0.5238095238095238,0.5384615384615384,0.18181818181818182,0.25
2022,regular,2022_ev5,chrome-redwoods-2022-6-10,chrome-redwoods-2022-6-10,5,2,2022-06-10,OUT,Outlaws,RED,Redwoods,0,12.0,12.0,12.0,0.0,6.0,39.0,22.0,39.0,15.0,11.0,19.0,12.0,7.0,7.0,25.0,25.0,278.0,224.0,1547.0,58.0,3.0,3.0,3.0,0.0,3.0,23.0,13.0,2.0,1.0,24.0,22.0,4.0,19.0,7.0,12.0,6.0,20.0,20.0,202.0,157.0,1125.0,47.0,3.0,3.0,9.0,1.0,0.0,0.13043478260869565,0.5652173913043478,0.23076923076923078,0.7,0.5,0.06382978723404255,0.13043478260869565
2022,regular,2022_ev5,chrome-redwoods-2022-6-10,chrome-redwoods-2022-6-10,5,2,2022-06-10,RED,Redwoods,OUT,Outlaws,1,3.0,3.0,3.0,0.0,3.0,23.0,13.0,24.0,22.0,4.0,19.0,7.0,12.0,6.0,20.0,20.0,202.0,157.0,1125.0,47.0,12.0,12.0,12.0,0.0,6.0,39.0,22.0,3.0,2.0,39.0,15.0,11.0,19.0,12.0,7.0,7.0,25.0,25.0,278.0,224.0,1547.0,58.0,12.0,12.0,-9.0,0.0,1.0,0.3076923076923077,0.5641025641025641,0.5454545454545454,0.3333333333333333,0.26666666666666666,0.20689655172413793,0.3076923076923077
