season,competition_type,game_id,schedule_slug,game_slug,game_number,week,game_date_utc,team_id,team_name,opponent_team_id,opponent_team_name,is_home,team_scores,team_goals,team_one_point_goals,team_two_point_goals,team_assists,team_shots,team_shots_on_goal,team_ground_balls,team_turnovers,caused_turnovers_for,team_faceoffs,team_faceoffs_won,team_faceoffs_lost,saves_for,team_clears,team_clear_attempts,team_touches,team_total_passes,team_time_in_possession,team_offensive_sequence_proxy,scores_allowed,goals_allowed,one_point_goals_allowed,two_point_goals_allowed,assists_allowed,opponent_shots,opponent_shots_on_goal,opponent_two_point_shots,opponent_two_point_shots_on_goal,opponent_ground_balls,opponent_turnovers,opponent_caused_turnovers,opponent_faceoffs,opponent_faceoffs_won,opponent_faceoffs_lost,opponent_saves,opponent_clears,opponent_clear_attempts,opponent_touches,opponent_total_passes,opponent_time_in_possession,opponent_offensive_sequence_proxy,opponent_scores_check,opponent_goals_check,score_margin,win_flag,loss_flag,opponent_goal_pct,opponent_sog_rate,opponent_sog_goal_pct,save_pct_proxy,ct_per_opponent_turnover,opponent_scores_per_offensive_sequence_proxy,opponent_goals_per_shot
2022,post,2022_ev43,playoffs-quarterfinal-1-2022-9-3,playoffs-quarterfinal-1-2022-9-3,41,12,2022-09-03,CHA,Chaos,OUT,Outlaws,0,11.0,11.0,11.0,0.0,7.0,38.0,27.0,23.0,14.0,5.0,18.0,11.0,7.0,15.0,29.0,29.0,264.0,212.0,1311.0,53.0,3.0,3.0,3.0,0.0,2.0,35.0,19.0,6.0,4.0,21.0,15.0,3.0,18.0,7.0,11.0,15.0,28.0,28.0,289.0,239.0,1391.0,53.0,3.0,3.0,8.0,1.0,0.0,0.08571428571428572,0.5428571428571428,0.15789473684210525,0.8333333333333334,0.3333333333333333,0.05660377358490566,0.08571428571428572
2022,post,2022_ev43,playoffs-quarterfinal-1-2022-9-3,playoffs-quarterfinal-1-2022-9-3,41,12,2022-09-03,OUT,Outlaws,CHA,Chaos,1,3.0,3.0,3.0,0.0,2.0,35.0,19.0,21.0,15.0,3.0,18.0,7.0,11.0,15.0,28.0,28.0,289.0,239.0,1391.0,53.0,11.0,11.0,11.0,0.0,7.0,38.0,27.0,3.0,2.0,23.0,14.0,5.0,18.0,11.0,7.0,15.0,29.0,29.0,264.0,212.0,1311.0,53.0,11.0,11.0,-8.0,0.0,1.0,0.2894736842105263,0.7105263157894737,0.4074074074074074,0.5769230769230769,0.21428571428571427,0.20754716981132076,0.2894736842105263
2022,post,2022_ev44,playoffs-quarterfinal-2-2022-9-3,playoffs-quarterfinal-2-2022-9-3,42,12,2022-09-03,ARC,Archers,RED,Redwoods,1,13.0,13.0,13.0,0.0,8.0,37.0,24.0,31.0,15.0,8.0,25.0,10.0,15.0,13.0,28.0,28.0,285.0,233.0,1403.0,55.0,8.0,8.0,8.0,0.0,3.0,37.0,22.0,5.0,4.0,28.0,16.0,3.0,25.0,15.0,10.0,10.0,26.0,26.0,198.0,145.0,1177.0,55.0,8.0,8.0,5.0,1.0,0.0,0.21621621621621623,0.5945945945945946,0.36363636363636365,0.6190476190476191,0.5,0.14545454545454545,0.21621621621621623
2022,post,2022_ev44,playoffs-quarterfinal-2-2022-9-3,playoffs-quarterfinal-2-2022-9-3,42,12,2022-09-03,RED,Redwoods,ARC,Archers,0,8.0,8.0,8.0,0.0,3.0,37.0,22.0,28.0,16.0,3.0,25.0,15.0,10.0,10.0,26.0,26.0,198.0,145.0,1177.0,55.0,13.0,13.0,13.0,0.0,8.0,37.0,24.0,3.0,1.0,31.0,15.0,8.0,25.0,10.0,15.0,13.0,28.0,28.0,285.0,233.0,1403.0,55.0,13.0,13.0,-5.0,0.0,1.0,0.35135135135135137,0.6486486486486487,0.5416666666666666,0.43478260869565216,0.2,0.23636363636363636,0.35135135135135137
2022,post,2022_ev45,playoffs-quarterfinal-3-2022-9-3,playoffs-quarterfinal-3-2022-9-3,43,12,2022-09-03,ATL,Atlas,WAT,Waterdogs,1,14.0,12.0,10.0,2.0,7.0,50.0,25.0,34.0,16.0,10.0,33.0,16.0,17.0,5.0,34.0,35.0,285.0,219.0,1194.0,67.0,19.0,17.0,15.0,2.0,10.0,33.0,23.0,4.0,3.0,36.0,20.0,8.0,33.0,17.0,16.0,13.0,29.0,31.0,229.0,176.0,1369.0,56.0,19.0,17.0,-5.0,0.0,1.0,0.5151515151515151,0.696969696969697,0.7391304347826086,0.22727272727272727,0.5,0.3392857142857143,0.5151515151515151
2022,post,2022_ev45,playoffs-quarterfinal-3-2022-9-3,playoffs-quarterfinal-3-2022-9-3,43,12,2022-09-03,WAT,Waterdogs,ATL,Atlas,0,19.0,17.0,15.0,2.0,10.0,33.0,23.0,36.0,20.0,8.0,33.0,17.0,16.0,13.0,29.0,31.0,229.0,176.0,1369.0,56.0,14.0,12.0,10.0,2.0,7.0,50.0,25.0,17.0,7.0,34.0,16.0,10.0,33.0,16.0,17.0,5.0,34.0,35.0,285.0,219.0,1194.0,67.0,14.0,12.0,5.0,1.0,0.0,0.24,0.5,0.48,0.52,0.5,0.208955223880597,0.24
2022,post,2022_ev47,playoffs-semifinal-2-2022-9-11,playoffs-semifinal-2-2022-9-11,44,13,2022-09-11,WAT,Waterdogs,WHP,Whipsnakes,0,11.0,11.0,11.0,0.0,6.0,31.0,21.0,30.0,20.0,7.0,25.0,11.0,14.0,17.0,26.0,26.0,214.0,163.0,1232.0,52.0,10.0,10.0,10.0,0.0,4.0,43.0,28.0,6.0,3.0,37.0,15.0,15.0,25.0,14.0,11.0,8.0,31.0,32.0,264.0,206.0,1394.0,59.0,10.0,10.0,1.0,1.0,0.0,0.23255813953488372,0.6511627906976745,0.35714285714285715,0.6296296296296297,0.4666666666666667,0.1694915254237288,0.23255813953488372
2022,post,2022_ev47,playoffs-semifinal-2-2022-9-11,playoffs-semifinal-2-2022-9-11,44,13,2022-09-11,WHP,Whipsnakes,WAT,Waterdogs,1,10.0,10.0,10.0,0.0,4.0,43.0,28.0,37.0,15.0,15.0,25.0,14.0,11.0,8.0,31.0,32.0,264.0,206.0,1394.0,59.0,11.0,11.0,11.0,0.0,6.0,31.0,21.0,1.0,1.0,30.0,20.0,7.0,25.0,11.0,14.0,17.0,26.0,26.0,214.0,163.0,1232.0,52.0,11.0,11.0,-1.0,0.0,1.0,0.3548387096774194,0.6774193548387096,0.5238095238095238,0.42105263157894735,0.75,0.21153846153846154,0.3548387096774194
2022,post,2022_ev46,playoffs-semifinal-1-2022-9-11,playoffs-semifinal-1-2022-9-11,45,13,2022-09-11,ARC,Archers,CHA,Chaos,1,7.0,7.0,7.0,0.0,2.0,40.0,21.0,32.0,11.0,9.0,20.0,7.0,13.0,11.0,27.0,27.0,247.0,196.0,1236.0,54.0,9.0,9.0,9.0,0.0,2.0,40.0,20.0,3.0,2.0,29.0,20.0,2.0,20.0,13.0,7.0,13.0,27.0,30.0,250.0,190.0,1495.0,63.0,9.0,9.0,-2.0,0.0,1.0,0.225,0.5,0.45,0.55,0.45,0.14285714285714285,0.225
2022,post,2022_ev46,playoffs-semifinal-1-2022-9-11,playoffs-semifinal-1-2022-9-11,45,13,2022-09-11,CHA,Chaos,ARC,Archers,0,9.0,9.0,9.0,0.0,2.0,40.0,20.0,29.0,20.0,2.0,20.0,13.0,7.0,13.0,27.0,30.0,250.0,190.0,1495.0,63.0,7.0,7.0,7.0,0.0,2.0,40.0,21.0,5.0,2.0,32.0,11.0,9.0,20.0,7.0,13.0,11.0,27.0,27.0,247.0,196.0,1236.0,54.0,7.0,7.0,2.0,1.0,0.0,0.175,0.525,0.3333333333333333,0.65,0.18181818181818182,0.12962962962962962,0.175
