season,team_id,team_name,split_type,games,first_game_date,last_game_date,opponents,scores,goals,one_point_goals,two_point_goals,assists,shots,shots_on_goal,two_point_shots,two_point_shots_on_goal,ground_balls,turnovers,caused_turnovers,faceoffs,faceoffs_won,faceoffs_lost,saves,clean_saves,messy_saves,scores_against,goals_against,num_penalties,pim,power_play_goals,power_play_shots,power_play_goals_against,times_man_up,times_short_handed,ride_attempts,clear_attempts,clears,shot_clock_expirations,two_point_goals_against,touches,total_passes,time_in_possession,time_in_possession_available_game,official_total_possessions,offensive_sequence_proxy,shot_pct_calc,shots_on_goal_rate_calc,faceoff_pct_calc,clear_pct_calc,scores_per_game,goals_per_game,one_point_goals_per_game,two_point_goals_per_game,assists_per_game,shots_per_game,shots_on_goal_per_game,two_point_shots_per_game,two_point_shots_on_goal_per_game,ground_balls_per_game,turnovers_per_game,caused_turnovers_per_game,faceoffs_per_game,faceoffs_won_per_game,faceoffs_lost_per_game,saves_per_game,clean_saves_per_game,messy_saves_per_game,scores_against_per_game,goals_against_per_game,num_penalties_per_game,pim_per_game,power_play_goals_per_game,power_play_shots_per_game,power_play_goals_against_per_game,times_man_up_per_game,times_short_handed_per_game,ride_attempts_per_game,clear_attempts_per_game,clears_per_game,shot_clock_expirations_per_game,two_point_goals_against_per_game,touches_per_game,total_passes_per_game,time_in_possession_per_game,time_in_possession_available_game_per_game,official_total_possessions_per_game,offensive_sequence_proxy_per_game,passes_per_touch,seconds_possession_per_touch,touches_per_offensive_sequence_proxy,passes_per_offensive_sequence_proxy,time_in_possession_total_display,time_in_possession_per_game_display
2022,ARC,Archers,last_10,10,2022-06-18,2022-09-11,ATL|CAN|CHA|RED|WAT|WHP,123.0,118.0,113.0,5.0,69.0,387.0,264.0,37.0,23.0,296.0,142.0,85.0,259.0,96.0,161.0,111.0,31.0,80.0,104.0,102.0,21.0,16.5,9.0,20.0,6.0,23.0,20.0,277.0,283.0,281.0,19.0,2.0,2795.0,2266.0,12964.0,10,0.0,548.0,0.3049095607235142,0.6821705426356589,0.37065637065637064,0.9929328621908127,12.3,11.8,11.3,0.5,6.9,38.7,26.4,3.7,2.3,29.6,14.2,8.5,25.9,9.6,16.1,11.1,3.1,8.0,10.4,10.2,2.1,1.65,0.9,2.0,0.6,2.3,2.0,27.7,28.3,28.1,1.9,0.2,279.5,226.6,1296.4,1.0,0.0,54.8,0.8107334525939177,4.638282647584973,5.100364963503649,4.135036496350365,3:36:04,21:36
2022,ATL,Atlas,last_10,10,2022-06-11,2022-09-03,ARC|CAN|CHA|OUT|RED|WAT|WHP,125.0,111.0,97.0,14.0,66.0,412.0,253.0,66.0,33.0,329.0,176.0,64.0,266.0,165.0,101.0,126.0,27.0,99.0,127.0,116.0,28.0,20.5,6.0,26.0,9.0,19.0,26.0,274.0,289.0,283.0,23.0,11.0,2629.0,2041.0,13903.0,10,0.0,611.0,0.26941747572815533,0.6140776699029126,0.6203007518796992,0.9792387543252595,12.5,11.1,9.7,1.4,6.6,41.2,25.3,6.6,3.3,32.9,17.6,6.4,26.6,16.5,10.1,12.6,2.7,9.9,12.7,11.6,2.8,2.05,0.6,2.6,0.9,1.9,2.6,27.4,28.9,28.3,2.3,1.1,262.9,204.1,1390.3,1.0,0.0,61.1,0.7763408139977178,5.2883225561049825,4.30278232405892,3.3404255319148937,3:51:43,23:10
2022,CAN,Cannons,last_10,10,2022-06-05,2022-08-21,ARC|ATL|CHA|OUT|RED|WAT|WHP,111.0,109.0,107.0,2.0,55.0,394.0,255.0,29.0,14.0,301.0,161.0,64.0,281.0,129.0,152.0,132.0,49.0,83.0,140.0,133.0,27.0,19.0,3.0,23.0,10.0,23.0,26.0,304.0,288.0,283.0,12.0,7.0,2479.0,1924.0,12836.0,10,0.0,567.0,0.2766497461928934,0.6472081218274112,0.45907473309608543,0.9826388888888888,11.1,10.9,10.7,0.2,5.5,39.4,25.5,2.9,1.4,30.1,16.1,6.4,28.1,12.9,15.2,13.2,4.9,8.3,14.0,13.3,2.7,1.9,0.3,2.3,1.0,2.3,2.6,30.4,28.8,28.3,1.2,0.7,247.9,192.4,1283.6,1.0,0.0,56.7,0.7761194029850746,5.17789431222267,4.372134038800706,3.3932980599647267,3:33:56,21:24
2022,CHA,Chaos,last_10,10,2022-06-25,2022-09-18,ARC|ATL|CAN|OUT|RED|WAT|WHP,103.0,101.0,99.0,2.0,56.0,354.0,219.0,39.0,21.0,267.0,173.0,55.0,246.0,108.0,137.0,143.0,67.0,76.0,110.0,105.0,29.0,23.5,10.0,20.0,10.0,19.0,26.0,294.0,275.0,268.0,20.0,5.0,2467.0,1940.0,12067.0,10,0.0,547.0,0.2853107344632768,0.6186440677966102,0.43902439024390244,0.9745454545454545,10.3,10.1,9.9,0.2,5.6,35.4,21.9,3.9,2.1,26.7,17.3,5.5,24.6,10.8,13.7,14.3,6.7,7.6,11.0,10.5,2.9,2.35,1.0,2.0,1.0,1.9,2.6,29.4,27.5,26.8,2.0,0.5,246.7,194.0,1206.7,1.0,0.0,54.7,0.7863802188893393,4.891366031617349,4.510054844606947,3.546617915904936,3:21:07,20:07
2022,OUT,Outlaws,last_10,10,2022-06-10,2022-09-03,ATL|CAN|CHA|RED|WAT|WHP,112.0,110.0,108.0,2.0,66.0,369.0,243.0,23.0,15.0,319.0,167.0,67.0,246.0,132.0,113.0,116.0,39.0,77.0,103.0,97.0,21.0,17.5,8.0,20.0,4.0,27.0,18.0,277.0,293.0,289.0,25.0,6.0,2867.0,2331.0,14353.0,10,0.0,561.0,0.2981029810298103,0.6585365853658537,0.5365853658536586,0.9863481228668942,11.2,11.0,10.8,0.2,6.6,36.9,24.3,2.3,1.5,31.9,16.7,6.7,24.6,13.2,11.3,11.6,3.9,7.7,10.3,9.7,2.1,1.75,0.8,2.0,0.4,2.7,1.8,27.7,29.3,28.9,2.5,0.6,286.7,233.1,1435.3,1.0,0.0,56.1,0.8130449947680503,5.006278339727938,5.110516934046346,4.1550802139037435,3:59:13,23:55
2022,RED,Redwoods,last_10,10,2022-06-10,2022-09-03,ARC|ATL|CAN|CHA|OUT|WAT|WHP,111.0,103.0,95.0,8.0,52.0,375.0,236.0,48.0,29.0,277.0,164.0,70.0,258.0,138.0,117.0,97.0,39.0,58.0,120.0,116.0,23.0,20.0,9.0,20.0,4.0,23.0,18.0,262.0,273.0,264.0,27.0,4.0,2480.0,1941.0,12917.0,10,0.0,566.0,0.27466666666666667,0.6293333333333333,0.5348837209302325,0.967032967032967,11.1,10.3,9.5,0.8,5.2,37.5,23.6,4.8,2.9,27.7,16.4,7.0,25.8,13.8,11.7,9.7,3.9,5.8,12.0,11.6,2.3,2.0,0.9,2.0,0.4,2.3,1.8,26.2,27.3,26.4,2.7,0.4,248.0,194.1,1291.7,1.0,0.0,56.6,0.7826612903225807,5.2084677419354835,4.381625441696113,3.429328621908127,3:35:17,21:32
2022,WAT,Waterdogs,last_10,10,2022-06-25,2022-09-18,ARC|ATL|CAN|CHA|OUT|RED|WHP,136.0,128.0,120.0,8.0,75.0,428.0,266.0,41.0,23.0,339.0,166.0,83.0,281.0,127.0,151.0,129.0,25.0,104.0,121.0,114.0,26.0,18.5,8.0,19.0,8.0,21.0,24.0,308.0,293.0,285.0,17.0,7.0,2557.0,1963.0,14315.0,10,0.0,611.0,0.29906542056074764,0.6214953271028038,0.45195729537366547,0.9726962457337884,13.6,12.8,12.0,0.8,7.5,42.8,26.6,4.1,2.3,33.9,16.6,8.3,28.1,12.7,15.1,12.9,2.5,10.4,12.1,11.4,2.6,1.85,0.8,1.9,0.8,2.1,2.4,30.8,29.3,28.5,1.7,0.7,255.7,196.3,1431.5,1.0,0.0,61.1,0.7676965193586234,5.598357450136879,4.18494271685761,3.2127659574468086,3:58:35,23:52
2022,WHP,Whipsnakes,last_10,10,2022-06-12,2022-09-11,ARC|ATL|CAN|CHA|OUT|RED|WAT,119.0,112.0,105.0,7.0,61.0,413.0,259.0,45.0,28.0,332.0,181.0,66.0,246.0,153.0,92.0,125.0,40.0,85.0,101.0,94.0,16.0,12.0,7.0,20.0,5.0,18.0,16.0,277.0,292.0,285.0,28.0,7.0,2602.0,2008.0,14107.0,10,0.0,622.0,0.2711864406779661,0.6271186440677966,0.6219512195121951,0.976027397260274,11.9,11.2,10.5,0.7,6.1,41.3,25.9,4.5,2.8,33.2,18.1,6.6,24.6,15.3,9.2,12.5,4.0,8.5,10.1,9.4,1.6,1.2,0.7,2.0,0.5,1.8,1.6,27.7,29.2,28.5,2.8,0.7,260.2,200.8,1410.7,1.0,0.0,62.2,0.7717140661029976,5.421598770176787,4.183279742765273,3.2282958199356915,3:55:07,23:31
2023,ARC,Archers,last_10,10,2023-06-17,2023-09-24,ATL|CHA|OUT|RED|WAT|WHP,139.0,127.0,115.0,12.0,69.0,455.0,277.0,72.0,39.0,387.0,198.0,68.0,268.0,171.0,94.0,139.0,47.0,92.0,111.0,101.0,28.0,20.5,9.0,23.0,9.0,22.0,26.0,300.0,343.0,338.0,42.0,10.0,2672.0,2019.0,13791.0,10,0.0,695.0,0.27912087912087913,0.6087912087912087,0.6380597014925373,0.9854227405247813,13.9,12.7,11.5,1.2,6.9,45.5,27.7,7.2,3.9,38.7,19.8,6.8,26.8,17.1,9.4,13.9,4.7,9.2,11.1,10.1,2.8,2.05,0.9,2.3,0.9,2.2,2.6,30.0,34.3,33.8,4.2,1.0,267.2,201.9,1379.1,1.0,0.0,69.5,0.7556137724550899,5.161302395209581,3.8446043165467625,2.9050359712230214,3:49:51,22:59
2023,ATL,Atlas,last_10,10,2023-06-10,2023-09-04,ARC|CAN|CHA|OUT|RED|WAT|WHP,119.0,113.0,107.0,6.0,71.0,398.0,256.0,57.0,36.0,433.0,216.0,55.0,288.0,226.0,61.0,122.0,20.0,102.0,147.0,135.0,24.0,17.5,7.0,16.0,8.0,14.0,25.0,321.0,337.0,328.0,39.0,12.0,2515.0,1901.0,12461.0,9,0.0,653.0,0.28391959798994976,0.6432160804020101,0.7847222222222222,0.973293768545994,11.9,11.3,10.7,0.6,7.1,39.8,25.6,5.7,3.6,43.3,21.6,5.5,28.8,22.6,6.1,12.2,2.0,10.2,14.7,13.5,2.4,1.75,0.7,1.6,0.8,1.4,2.5,32.1,33.7,32.8,3.9,1.2,251.5,190.1,1384.5555555555557,0.9,0.0,65.3,0.7558648111332008,4.954671968190855,3.8514548238897395,2.911179173047473,3:27:41,23:05
