season,team_id,team_name,split_type,games,first_game_date,last_game_date,opponents,scores,goals,one_point_goals,two_point_goals,assists,shots,shots_on_goal,two_point_shots,two_point_shots_on_goal,ground_balls,turnovers,caused_turnovers,faceoffs,faceoffs_won,faceoffs_lost,saves,clean_saves,messy_saves,scores_against,goals_against,num_penalties,pim,power_play_goals,power_play_shots,power_play_goals_against,times_man_up,times_short_handed,ride_attempts,clear_attempts,clears,shot_clock_expirations,two_point_goals_against,touches,total_passes,time_in_possession,time_in_possession_available_game,official_total_possessions,offensive_sequence_proxy,shot_pct_calc,shots_on_goal_rate_calc,faceoff_pct_calc,clear_pct_calc,scores_per_game,goals_per_game,one_point_goals_per_game,two_point_goals_per_game,assists_per_game,shots_per_game,shots_on_goal_per_game,two_point_shots_per_game,two_point_shots_on_goal_per_game,ground_balls_per_game,turnovers_per_game,caused_turnovers_per_game,faceoffs_per_game,faceoffs_won_per_game,faceoffs_lost_per_game,saves_per_game,clean_saves_per_game,messy_saves_per_game,scores_against_per_game,goals_against_per_game,num_penalties_per_game,pim_per_game,power_play_goals_per_game,power_play_shots_per_game,power_play_goals_against_per_game,times_man_up_per_game,times_short_handed_per_game,ride_attempts_per_game,clear_attempts_per_game,clears_per_game,shot_clock_expirations_per_game,two_point_goals_against_per_game,touches_per_game,total_passes_per_game,time_in_possession_per_game,time_in_possession_available_game_per_game,official_total_possessions_per_game,offensive_sequence_proxy_per_game,passes_per_touch,seconds_possession_per_touch,touches_per_offensive_sequence_proxy,passes_per_offensive_sequence_proxy,time_in_possession_total_display,time_in_possession_per_game_display
2022,ARC,Archers,last_10,2,2022-09-03,2022-09-11,CHA|RED,20.0,20.0,20.0,0.0,10.0,77.0,45.0,8.0,3.0,63.0,26.0,17.0,45.0,17.0,28.0,24.0,10.0,14.0,17.0,17.0,4.0,4.0,0.0,0.0,1.0,1.0,3.0,56.0,55.0,55.0,6.0,0.0,532.0,429.0,2639.0,2,0.0,109.0,0.2597402597402597,0.5844155844155844,0.37777777777777777,1.0,10.0,10.0,10.0,0.0,5.0,38.5,22.5,4.0,1.5,31.5,13.0,8.5,22.5,8.5,14.0,12.0,5.0,7.0,8.5,8.5,2.0,2.0,0.0,0.0,0.5,0.5,1.5,28.0,27.5,27.5,3.0,0.0,266.0,214.5,1319.5,1.0,0.0,54.5,0.806390977443609,4.9605263157894735,4.8807339449541285,3.9357798165137616,43:59,22:00
2022,ATL,Atlas,last_10,1,2022-09-03,2022-09-03,WAT,14.0,12.0,10.0,2.0,7.0,50.0,25.0,17.0,7.0,34.0,16.0,10.0,33.0,16.0,17.0,5.0,0.0,5.0,19.0,17.0,1.0,1.0,0.0,6.0,1.0,4.0,1.0,31.0,35.0,34.0,1.0,2.0,285.0,219.0,1194.0,1,0.0,67.0,0.24,0.5,0.48484848484848486,0.9714285714285714,14.0,12.0,10.0,2.0,7.0,50.0,25.0,17.0,7.0,34.0,16.0,10.0,33.0,16.0,17.0,5.0,0.0,5.0,19.0,17.0,1.0,1.0,0.0,6.0,1.0,4.0,1.0,31.0,35.0,34.0,1.0,2.0,285.0,219.0,1194.0,1.0,0.0,67.0,0.7684210526315789,4.189473684210526,4.253731343283582,3.2686567164179103,19:54,19:54
2022,CHA,Chaos,last_10,3,2022-09-03,2022-09-18,ARC|OUT|WAT,29.0,28.0,27.0,1.0,14.0,116.0,68.0,12.0,8.0,80.0,52.0,13.0,61.0,34.0,27.0,45.0,22.0,23.0,21.0,21.0,8.0,6.5,2.0,4.0,1.0,3.0,7.0,85.0,91.0,88.0,7.0,0.0,726.0,558.0,3782.0,3,0.0,175.0,0.2413793103448276,0.5862068965517241,0.5573770491803278,0.967032967032967,9.666666666666666,9.333333333333334,9.0,0.3333333333333333,4.666666666666667,38.666666666666664,22.666666666666668,4.0,2.6666666666666665,26.666666666666668,17.333333333333332,4.333333333333333,20.333333333333332,11.333333333333334,9.0,15.0,7.333333333333333,7.666666666666667,7.0,7.0,2.6666666666666665,2.1666666666666665,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.0,2.3333333333333335,28.333333333333332,30.333333333333332,29.333333333333332,2.3333333333333335,0.0,242.0,186.0,1260.6666666666667,1.0,0.0,58.333333333333336,0.768595041322314,5.209366391184573,4.148571428571429,3.1885714285714286,1:03:02,21:01
2022,OUT,Outlaws,last_10,1,2022-09-03,2022-09-03,CHA,3.0,3.0,3.0,0.0,2.0,35.0,19.0,6.0,4.0,21.0,15.0,3.0,18.0,7.0,11.0,15.0,4.0,11.0,11.0,11.0,1.0,0.5,1.0,6.0,1.0,4.0,1.0,29.0,28.0,28.0,3.0,0.0,289.0,239.0,1391.0,1,0.0,53.0,0.08571428571428572,0.5428571428571428,0.3888888888888889,1.0,3.0,3.0,3.0,0.0,2.0,35.0,19.0,6.0,4.0,21.0,15.0,3.0,18.0,7.0,11.0,15.0,4.0,11.0,11.0,11.0,1.0,0.5,1.0,6.0,1.0,4.0,1.0,29.0,28.0,28.0,3.0,0.0,289.0,239.0,1391.0,1.0,0.0,53.0,0.8269896193771626,4.813148788927336,5.452830188679245,4.509433962264151,23:11,23:11
2022,RED,Redwoods,last_10,1,2022-09-03,2022-09-03,ARC,8.0,8.0,8.0,0.0,3.0,37.0,22.0,5.0,4.0,28.0,16.0,3.0,25.0,15.0,10.0,10.0,5.0,5.0,13.0,13.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,28.0,26.0,26.0,2.0,0.0,198.0,145.0,1177.0,1,0.0,55.0,0.21621621621621623,0.5945945945945946,0.6,1.0,8.0,8.0,8.0,0.0,3.0,37.0,22.0,5.0,4.0,28.0,16.0,3.0,25.0,15.0,10.0,10.0,5.0,5.0,13.0,13.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,28.0,26.0,26.0,2.0,0.0,198.0,145.0,1177.0,1.0,0.0,55.0,0.7323232323232324,5.944444444444445,3.6,2.6363636363636362,19:37,19:37
2022,WAT,Waterdogs,last_10,3,2022-09-03,2022-09-18,ATL|CHA|WHP,41.0,39.0,37.0,2.0,20.0,105.0,72.0,9.0,6.0,109.0,59.0,25.0,81.0,41.0,40.0,43.0,7.0,36.0,33.0,30.0,8.0,6.5,1.0,4.0,0.0,5.0,7.0,99.0,87.0,83.0,9.0,3.0,698.0,534.0,4314.0,3,0.0,173.0,0.37142857142857144,0.6857142857142857,0.5061728395061729,0.9540229885057471,13.666666666666666,13.0,12.333333333333334,0.6666666666666666,6.666666666666667,35.0,24.0,3.0,2.0,36.333333333333336,19.666666666666668,8.333333333333334,27.0,13.666666666666666,13.333333333333334,14.333333333333334,2.3333333333333335,12.0,11.0,10.0,2.6666666666666665,2.1666666666666665,0.3333333333333333,1.3333333333333333,0.0,1.6666666666666667,2.3333333333333335,33.0,29.0,27.666666666666668,3.0,1.0,232.66666666666666,178.0,1438.0,1.0,0.0,57.666666666666664,0.7650429799426934,6.180515759312321,4.034682080924855,3.086705202312139,1:11:54,23:58
2022,WHP,Whipsnakes,last_10,1,2022-09-11,2022-09-11,WAT,10.0,10.0,10.0,0.0,4.0,43.0,28.0,6.0,3.0,37.0,15.0,15.0,25.0,14.0,11.0,8.0,4.0,4.0,11.0,11.0,1.0,0.5,0.0,2.0,0.0,2.0,1.0,26.0,32.0,31.0,1.0,0.0,264.0,206.0,1394.0,1,0.0,59.0,0.23255813953488372,0.6511627906976745,0.56,0.96875,10.0,10.0,10.0,0.0,4.0,43.0,28.0,6.0,3.0,37.0,15.0,15.0,25.0,14.0,11.0,8.0,4.0,4.0,11.0,11.0,1.0,0.5,0.0,2.0,0.0,2.0,1.0,26.0,32.0,31.0,1.0,0.0,264.0,206.0,1394.0,1.0,0.0,59.0,0.7803030303030303,5.28030303030303,4.47457627118644,3.4915254237288136,23:14,23:14
2023,ARC,Archers,last_10,2,2023-09-10,2023-09-24,RED|WAT,29.0,26.0,23.0,3.0,16.0,79.0,45.0,17.0,8.0,78.0,46.0,9.0,52.0,29.0,23.0,36.0,15.0,21.0,20.0,18.0,4.0,2.5,0.0,1.0,3.0,1.0,4.0,61.0,75.0,75.0,9.0,2.0,488.0,363.0,2662.0,2,0.0,134.0,0.3291139240506329,0.569620253164557,0.5576923076923077,1.0,14.5,13.0,11.5,1.5,8.0,39.5,22.5,8.5,4.0,39.0,23.0,4.5,26.0,14.5,11.5,18.0,7.5,10.5,10.0,9.0,2.0,1.25,0.0,0.5,1.5,0.5,2.0,30.5,37.5,37.5,4.5,1.0,244.0,181.5,1331.0,1.0,0.0,67.0,0.7438524590163934,5.454918032786885,3.6417910447761193,2.708955223880597,44:22,22:11
2023,ATL,Atlas,last_10,1,2023-09-04,2023-09-04,CAN,11.0,11.0,11.0,0.0,7.0,44.0,26.0,5.0,0.0,49.0,27.0,5.0,34.0,33.0,1.0,8.0,2.0,6.0,20.0,19.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,31.0,30.0,29.0,3.0,1.0,217.0,146.0,1281.0,1,0.0,74.0,0.25,0.5909090909090909,0.9705882352941176,0.9666666666666667,11.0,11.0,11.0,0.0,7.0,44.0,26.0,5.0,0.0,49.0,27.0,5.0,34.0,33.0,1.0,8.0,2.0,6.0,20.0,19.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,31.0,30.0,29.0,3.0,1.0,217.0,146.0,1281.0,1.0,0.0,74.0,0.6728110599078341,5.903225806451613,2.9324324324324325,1.972972972972973,21:21,21:21
2023,CAN,Cannons,last_10,2,2023-09-04,2023-09-10,ATL|WAT,26.0,24.0,22.0,2.0,11.0,80.0,51.0,13.0,4.0,64.0,35.0,19.0,59.0,11.0,47.0,26.0,3.0,23.0,28.0,27.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,60.0,61.0,59.0,6.0,1.0,494.0,379.0,2649.0,2,0.0,121.0,0.3,0.6375,0.1864406779661017,0.9672131147540983,13.0,12.0,11.0,1.0,5.5,40.0,25.5,6.5,2.0,32.0,17.5,9.5,29.5,5.5,23.5,13.0,1.5,11.5,14.0,13.5,1.5,1.5,0.5,1.0,0.5,1.5,1.5,30.0,30.5,29.5,3.0,0.5,247.0,189.5,1324.5,1.0,0.0,60.5,0.7672064777327935,5.362348178137652,4.082644628099174,3.1322314049586777,44:09,22:04
