team_id,team_name,games,seasons,wins,losses,ties,score_margin,first_game_date,last_game_date,scores,goals,one_point_goals,two_point_goals,assists,shots,shots_on_goal,two_point_shots,two_point_shots_on_goal,ground_balls,turnovers,caused_turnovers,faceoffs,faceoffs_won,faceoffs_lost,saves,clean_saves,messy_saves,scores_against,goals_against,num_penalties,pim,power_play_goals,power_play_shots,power_play_goals_against,times_man_up,times_short_handed,ride_attempts,clear_attempts,clears,shot_clock_expirations,two_point_goals_against,touches,total_passes,time_in_possession,time_in_possession_available_game,official_total_possessions,offensive_sequence_proxy,win_pct,score_margin_per_game,shot_pct_calc,shots_on_goal_rate_calc,faceoff_pct_calc,clear_pct_calc,scores_per_game,goals_per_game,one_point_goals_per_game,two_point_goals_per_game,assists_per_game,shots_per_game,shots_on_goal_per_game,two_point_shots_per_game,two_point_shots_on_goal_per_game,ground_balls_per_game,turnovers_per_game,caused_turnovers_per_game,faceoffs_per_game,faceoffs_won_per_game,faceoffs_lost_per_game,saves_per_game,clean_saves_per_game,messy_saves_per_game,scores_against_per_game,goals_against_per_game,num_penalties_per_game,pim_per_game,power_play_goals_per_game,power_play_shots_per_game,power_play_goals_against_per_game,times_man_up_per_game,times_short_handed_per_game,ride_attempts_per_game,clear_attempts_per_game,clears_per_game,shot_clock_expirations_per_game,two_point_goals_against_per_game,touches_per_game,total_passes_per_game,time_in_possession_per_game,time_in_possession_available_game_per_game,official_total_possessions_per_game,offensive_sequence_proxy_per_game,passes_per_touch,seconds_possession_per_touch,touches_per_offensive_sequence_proxy,passes_per_offensive_sequence_proxy,time_in_possession_total_display,time_in_possession_per_game_display,scores_allowed_per_game,goals_allowed_per_game,opponent_shots_per_game,opponent_goal_pct,opponent_sog_rate,save_pct_proxy,profile_context_type,profile_context,profile_sort_order,profile_context_sort,offensive_volume_score,offensive_efficiency_score,ball_movement_score,possession_control_score,defensive_suppression_score,pace_tempo_score,team_style_overall_score,overall_score,overall_style,profile_rank,def_scores_allowed_per_game,def_opponent_shots_per_game,def_opponent_goal_pct,def_save_pct_proxy,net_scores_per_game,time_in_possession_per_game_mmss,possession_pg,pace_label,offensive_profile_label,defensive_profile_label,possession_profile_label,style_summary,sample_size_note,season
WHP,Whipsnakes,49,5.0,28.0,21.0,0.0,63.0,2022-06-04,2026-07-25,617.0,576.0,535.0,41.0,288.0,2072.0,1313.0,218.0,113.0,1589.0,855.0,290.0,1288.0,727.0,552.0,627.0,228.0,399.0,554.0,522.0,75.0,55.5,40.0,101.0,23.0,97.0,70.0,1491.0,1566.0,1534.0,203.0,32.0,12977.0,10050.0,64821.0,47,1921.0,3130.0,0.5714285714285714,1.2857142857142858,0.277992277992278,0.6336872586872587,0.5644409937888198,0.979565772669221,12.591836734693878,11.755102040816327,10.918367346938776,0.8367346938775511,5.877551020408164,42.285714285714285,26.79591836734694,4.448979591836735,2.306122448979592,32.42857142857143,17.448979591836736,5.918367346938775,26.285714285714285,14.83673469387755,11.26530612244898,12.795918367346939,4.653061224489796,8.142857142857142,11.306122448979592,10.653061224489797,1.530612244897959,1.1326530612244898,0.8163265306122449,2.061224489795918,0.46938775510204084,1.9795918367346939,1.4285714285714286,30.428571428571427,31.959183673469386,31.306122448979593,4.142857142857143,0.6530612244897959,264.83673469387753,205.10204081632654,1379.1702127659576,0.9591836734693877,39.204081632653065,63.87755102040816,0.7744470987131078,4.995068197580334,4.146006389776358,3.2108626198083066,18:00:21,22:59,11.306122448979592,10.653061224489797,39.91836734693877,0.2668711656441718,0.6226993865030674,0.5456919060052219,Career,Career,0,0,81.78,68.19,44.54,79.37,69.08,81.76,70.38,70.38,70.38326289252117,1.0,11.306122448979592,39.91836734693877,0.2668711656441718,0.5456919060052219,1.2857142857142865,22:59,22:59,High Tempo,Above-Average Offense,Above-Average Defense,Above-Average Possession,High Tempo | Above-Average Offense | Above-Average Defense | Above-Average Possession,,
ATL,Atlas,49,5.0,25.0,24.0,0.0,12.0,2022-06-04,2026-07-25,634.0,593.0,552.0,41.0,344.0,2007.0,1291.0,256.0,142.0,1752.0,914.0,338.0,1359.0,819.0,535.0,658.0,211.0,447.0,622.0,576.0,142.0,99.0,40.0,110.0,35.0,102.0,131.0,1487.0,1551.0,1517.0,174.0,46.0,12712.0,9791.0,64880.0,48,2057.0,3095.0,0.5102040816326531,0.24489795918367346,0.29546586945690084,0.643248629795715,0.6026490066225165,0.9780786589297228,12.938775510204081,12.10204081632653,11.26530612244898,0.8367346938775511,7.020408163265306,40.95918367346939,26.346938775510203,5.224489795918367,2.8979591836734695,35.755102040816325,18.653061224489797,6.8979591836734695,27.73469387755102,16.714285714285715,10.918367346938776,13.428571428571429,4.3061224489795915,9.122448979591837,12.693877551020408,11.755102040816327,2.8979591836734695,2.020408163265306,0.8163265306122449,2.2448979591836733,0.7142857142857143,2.0816326530612246,2.673469387755102,30.346938775510203,31.653061224489797,30.959183673469386,3.5510204081632653,0.9387755102040817,259.42857142857144,199.81632653061226,1351.6666666666667,0.9795918367346939,41.97959183673469,63.16326530612245,0.7702171176840781,5.103838892385148,4.107269789983845,3.1634894991922455,18:01:20,22:32,12.693877551020408,11.755102040816327,42.55102040816327,0.2762589928057554,0.6369304556354916,0.5332252836304701,Career,Career,0,0,72.01,75.6,67.02,59.55,21.77,55.99,59.68,59.68,59.683001096787216,2.0,12.693877551020408,42.55102040816327,0.2762589928057554,0.5332252836304701,0.24489795918367285,22:32,22:32,Balanced Tempo,Above-Average Offense,Vulnerable Defense,Middle Tier,Balanced Tempo | Above-Average Offense | Vulnerable Defense | Middle Tier,,
ARC,Archers,50,5.0,30.0,20.0,0.0,75.0,2022-06-05,2026-07-25,617.0,580.0,543.0,37.0,308.0,2034.0,1263.0,264.0,142.0,1604.0,902.0,331.0,1278.0,637.0,628.0,667.0,211.0,456.0,542.0,503.0,151.0,119.5,51.0,131.0,52.0,125.0,139.0,1486.0,1564.0,1539.0,178.0,39.0,13044.0,10108.0,66049.0,50,1992.0,3114.0,0.6,1.5,0.28515240904621436,0.6209439528023599,0.4984350547730829,0.9840153452685422,12.34,11.6,10.86,0.74,6.16,40.68,25.26,5.28,2.84,32.08,18.04,6.62,25.56,12.74,12.56,13.34,4.22,9.12,10.84,10.06,3.02,2.39,1.02,2.62,1.04,2.5,2.78,29.72,31.28,30.78,3.56,0.78,260.88,202.16,1320.98,1.0,39.84,62.28,0.7749156700398651,5.063554124501686,4.1888246628131025,3.245985870263327,18:20:49,22:01,10.84,10.06,41.64,0.24159462055715658,0.6090297790585975,0.5700854700854701,Career,Career,0,0,58.17,64.48,45.24,40.04,84.52,46.82,58.16,58.16,58.16204816964931,3.0,10.84,41.64,0.24159462055715658,0.5700854700854701,1.5,22:01,22:01,Balanced Tempo,Middle Tier,Elite Defense,Below-Average Possession,Balanced Tempo | Middle Tier | Elite Defense | Below-Average Possession,,
CAN,Cannons,49,5.0,23.0,26.0,0.0,-4.0,2022-06-05,2026-07-25,624.0,571.0,518.0,53.0,309.0,2044.0,1289.0,297.0,161.0,1472.0,771.0,397.0,1355.0,546.0,804.0,632.0,220.0,412.0,628.0,600.0,159.0,118.5,35.0,113.0,56.0,100.0,151.0,1553.0,1432.0,1406.0,128.0,28.0,13159.0,10344.0,63498.0,48,1869.0,2943.0,0.46938775510204084,-0.08163265306122448,0.2793542074363992,0.6306262230919765,0.4029520295202952,0.9818435754189944,12.73469387755102,11.653061224489797,10.571428571428571,1.0816326530612246,6.3061224489795915,41.714285714285715,26.306122448979593,6.061224489795919,3.2857142857142856,30.040816326530614,15.73469387755102,8.10204081632653,27.653061224489797,11.142857142857142,16.408163265306122,12.89795918367347,4.489795918367347,8.408163265306122,12.816326530612244,12.244897959183673,3.2448979591836733,2.4183673469387754,0.7142857142857143,2.306122448979592,1.1428571428571428,2.0408163265306123,3.0816326530612246,31.693877551020407,29.224489795918366,28.693877551020407,2.6122448979591835,0.5714285714285714,268.55102040816325,211.10204081632654,1322.875,0.9795918367346939,38.142857142857146,60.06122448979592,0.7860779694505662,4.825442662816323,4.471287801563031,3.514780835881753,17:38:18,22:03,12.816326530612244,12.244897959183673,41.59183673469388,0.2944062806673209,0.6383709519136408,0.512987012987013,Career,Career,0,0,67.68,78.45,69.56,48.91,13.05,56.15,56.23,56.23,56.22866335868552,4.0,12.816326530612244,41.59183673469388,0.2944062806673209,0.512987012987013,-0.08163265306122369,22:03,22:03,Balanced Tempo,Above-Average Offense,Vulnerable Defense,Middle Tier,Balanced Tempo | Above-Average Offense | Vulnerable Defense | Middle Tier,,
WAT,Waterdogs,49,5.0,24.0,25.0,0.0,-10.0,2022-06-05,2026-07-26,603.0,561.0,519.0,42.0,323.0,2120.0,1346.0,264.0,139.0,1528.0,763.0,370.0,1318.0,527.0,779.0,619.0,189.0,430.0,613.0,568.0,109.0,80.5,43.0,146.0,41.0,132.0,99.0,1545.0,1491.0,1466.0,128.0,45.0,12777.0,9894.0,64964.0,48,1820.0,3011.0,0.4897959183673469,-0.20408163265306123,0.264622641509434,0.6349056603773585,0.3998482549317147,0.9832327297116029,12.306122448979592,11.448979591836734,10.591836734693878,0.8571428571428571,6.591836734693878,43.265306122448976,27.46938775510204,5.387755102040816,2.836734693877551,31.183673469387756,15.571428571428571,7.551020408163265,26.897959183673468,10.755102040816327,15.89795918367347,12.63265306122449,3.857142857142857,8.775510204081632,12.510204081632653,11.591836734693878,2.2244897959183674,1.6428571428571428,0.8775510204081632,2.979591836734694,0.8367346938775511,2.693877551020408,2.020408163265306,31.53061224489796,30.428571428571427,29.918367346938776,2.6122448979591835,0.9183673469387755,260.7551020408163,201.91836734693877,1353.4166666666667,0.9795918367346939,37.142857142857146,61.44897959183673,0.7743601784456445,5.084448618611567,4.243440717369644,3.2859515111258717,18:02:44,22:33,12.510204081632653,11.591836734693878,40.326530612244895,0.2874493927125506,0.6391700404858299,0.5214827295703454,Career,Career,0,0,66.91,60.28,58.04,43.29,29.92,67.02,53.26,53.26,53.263499908327105,5.0,12.510204081632653,40.326530612244895,0.2874493927125506,0.5214827295703454,-0.204081632653061,22:33,22:33,Above-Average Tempo,Middle Tier,Vulnerable Defense,Below-Average Possession,Above-Average Tempo | Middle Tier | Vulnerable Defense | Below-Average Possession,,
OUT,Outlaws,49,5.0,24.0,25.0,0.0,-11.0,2022-06-05,2026-07-26,548.0,511.0,474.0,37.0,279.0,1968.0,1220.0,254.0,141.0,1475.0,853.0,327.0,1223.0,607.0,610.0,576.0,229.0,347.0,559.0,520.0,132.0,101.5,40.0,106.0,37.0,130.0,110.0,1549.0,1477.0,1448.0,154.0,39.0,13339.0,10518.0,64667.0,48,1866.0,2975.0,0.4897959183673469,-0.22448979591836735,0.25965447154471544,0.6199186991869918,0.4963205233033524,0.980365605958023,11.183673469387756,10.428571428571429,9.673469387755102,0.7551020408163265,5.6938775510204085,40.16326530612245,24.897959183673468,5.183673469387755,2.877551020408163,30.102040816326532,17.408163265306122,6.673469387755102,24.959183673469386,12.387755102040817,12.448979591836734,11.755102040816327,4.673469387755102,7.081632653061225,11.408163265306122,10.612244897959183,2.693877551020408,2.0714285714285716,0.8163265306122449,2.163265306122449,0.7551020408163265,2.6530612244897958,2.2448979591836733,31.612244897959183,30.142857142857142,29.551020408163264,3.142857142857143,0.7959183673469388,272.2244897959184,214.6530612244898,1347.2291666666667,0.9795918367346939,38.08163265306123,60.714285714285715,0.7885148811755004,4.847964615038609,4.483697478991597,3.5354621848739494,17:57:47,22:27,11.408163265306122,10.612244897959183,38.53061224489796,0.2754237288135593,0.6234110169491526,0.5255474452554745,Career,Career,0,0,40.87,21.22,59.27,76.46,66.56,57.89,51.93,51.93,51.93377019924912,6.0,11.408163265306122,38.53061224489796,0.2754237288135593,0.5255474452554745,-0.22448979591836604,22:27,22:27,Balanced Tempo,Poor Offense,Above-Average Defense,Above-Average Possession,Balanced Tempo | Poor Offense | Above-Average Defense | Above-Average Possession,,
RED,Redwoods,48,5.0,22.0,26.0,0.0,-65.0,2022-06-04,2026-07-17,547.0,512.0,477.0,35.0,251.0,1988.0,1216.0,278.0,150.0,1579.0,873.0,353.0,1277.0,725.0,546.0,568.0,201.0,367.0,612.0,575.0,111.0,89.5,38.0,123.0,35.0,125.0,93.0,1428.0,1459.0,1427.0,205.0,37.0,12900.0,10039.0,65251.0,48,1813.0,3066.0,0.4583333333333333,-1.3541666666666667,0.2575452716297787,0.6116700201207244,0.5677368833202819,0.978067169294037,11.395833333333334,10.666666666666666,9.9375,0.7291666666666666,5.229166666666667,41.416666666666664,25.333333333333332,5.791666666666667,3.125,32.895833333333336,18.1875,7.354166666666667,26.604166666666668,15.104166666666666,11.375,11.833333333333334,4.1875,7.645833333333333,12.75,11.979166666666666,2.3125,1.8645833333333333,0.7916666666666666,2.5625,0.7291666666666666,2.6041666666666665,1.9375,29.75,30.395833333333332,29.729166666666668,4.270833333333333,0.7708333333333334,268.75,209.14583333333334,1359.3958333333333,1.0,37.770833333333336,63.875,0.7782170542635659,5.058217054263566,4.2074363992172215,3.2742987606001304,18:07:31,22:39,12.75,11.979166666666666,40.708333333333336,0.29426816786079835,0.6223132036847492,0.4969378827646544,Career,Career,0,0,61.58,15.31,34.05,80.54,15.55,78.03,44.04,44.04,44.03702743017837,7.0,12.75,40.708333333333336,0.29426816786079835,0.4969378827646544,-1.354166666666666,22:39,22:39,Above-Average Tempo,Poor Offense,Vulnerable Defense,Elite Possession,Above-Average Tempo | Poor Offense | Vulnerable Defense | Elite Possession,,
CHA,Chaos,49,5.0,20.0,29.0,0.0,-60.0,2022-06-04,2026-07-25,530.0,506.0,482.0,24.0,258.0,1880.0,1163.0,229.0,122.0,1398.0,884.0,300.0,1246.0,552.0,686.0,708.0,268.0,440.0,590.0,546.0,141.0,109.5,38.0,89.0,46.0,101.0,119.0,1509.0,1508.0,1479.0,150.0,44.0,12373.0,9609.0,63384.0,49,1718.0,2914.0,0.40816326530612246,-1.2244897959183674,0.2691489361702128,0.6186170212765958,0.44301765650080255,0.9807692307692307,10.816326530612244,10.326530612244898,9.83673469387755,0.4897959183673469,5.26530612244898,38.36734693877551,23.73469387755102,4.673469387755102,2.489795918367347,28.53061224489796,18.040816326530614,6.122448979591836,25.428571428571427,11.26530612244898,14.0,14.448979591836734,5.469387755102041,8.979591836734693,12.040816326530612,11.142857142857142,2.877551020408163,2.2346938775510203,0.7755102040816326,1.816326530612245,0.9387755102040817,2.061224489795918,2.4285714285714284,30.79591836734694,30.775510204081634,30.183673469387756,3.061224489795918,0.8979591836734694,252.51020408163265,196.10204081632654,1293.5510204081634,1.0,35.06122448979592,59.46938775510204,0.7766103612705084,5.122767315929847,4.246053534660261,3.297529169526424,17:36:24,21:34,12.040816326530612,11.142857142857142,43.55102040816327,0.25585754451733833,0.6232427366447985,0.5645933014354066,Career,Career,0,0,0.0,12.08,1.11,4.26,44.17,0.0,11.31,11.31,11.30972526242385,8.0,12.040816326530612,43.55102040816327,0.25585754451733833,0.5645933014354066,-1.2244897959183678,21:34,21:34,Very Slow Tempo,Poor Offense,Below-Average Defense,Poor Possession,Very Slow Tempo | Poor Offense | Below-Average Defense | Poor Possession,,
OUT,Outlaws,10,,7.0,3.0,0.0,18.0,2022-06-05,2022-08-20,120.0,117.0,114.0,3.0,70.0,371.0,245.0,19.0,12.0,330.0,168.0,71.0,252.0,139.0,112.0,112.0,37.0,75.0,102.0,96.0,25.0,22.5,9.0,17.0,4.0,29.0,19.0,278.0,292.0,288.0,23.0,6.0,2861.0,2322.0,14280.0,10,409.0,562.0,0.7,1.8,0.31536388140161725,0.660377358490566,0.5515873015873016,0.9863013698630136,12.0,11.7,11.4,0.3,7.0,37.1,24.5,1.9,1.2,33.0,16.8,7.1,25.2,13.9,11.2,11.2,3.7,7.5,10.2,9.6,2.5,2.25,0.9,1.7,0.4,2.9,1.9,27.8,29.2,28.8,2.3,0.6,286.1,232.2,1428.0,1.0,40.9,56.2,0.811604334148899,4.991261796574625,5.090747330960854,4.131672597864768,3:58:00,23:48,10.2,9.6,35.1,0.27350427350427353,0.6438746438746439,0.5384615384615384,Season,2022 Season,100,100,62.46,68.35,86.25,93.67,85.31,68.96,77.57,77.57,77.56542806530527,1.0,10.2,35.1,0.27350427350427353,0.5384615384615384,1.8000000000000007,23:48,23:48,Above-Average Tempo,Above-Average Offense,Elite Defense,Elite Possession,Above-Average Tempo | Above-Average Offense | Elite Defense | Elite Possession,,2022
ARC,Archers,10,,6.0,4.0,0.0,20.0,2022-06-05,2022-08-21,130.0,123.0,116.0,7.0,75.0,386.0,268.0,39.0,27.0,289.0,146.0,76.0,266.0,101.0,163.0,106.0,26.0,80.0,110.0,105.0,28.0,21.5,10.0,21.0,11.0,25.0,29.0,277.0,285.0,283.0,16.0,5.0,2791.0,2259.0,12942.0,10,401.0,548.0,0.6,2.0,0.31865284974093266,0.694300518134715,0.37969924812030076,0.9929824561403509,13.0,12.3,11.6,0.7,7.5,38.6,26.8,3.9,2.7,28.9,14.6,7.6,26.6,10.1,16.3,10.6,2.6,8.0,11.0,10.5,2.8,2.15,1.0,2.1,1.1,2.5,2.9,27.7,28.5,28.3,1.6,0.5,279.1,225.9,1294.2,1.0,40.1,54.8,0.8093873163740595,4.637047653170907,5.093065693430657,4.122262773722627,3:35:42,21:34,11.0,10.5,38.3,0.2741514360313316,0.6266318537859008,0.5023696682464455,Season,2022 Season,100,100,71.32,100.0,92.38,48.97,63.82,55.37,74.09,74.09,74.09431036882309,2.0,11.0,38.3,0.2741514360313316,0.5023696682464455,2.0,21:34,21:34,Balanced Tempo,Elite Offense,Middle Tier,Middle Tier,Balanced Tempo | Elite Offense | Middle Tier | Middle Tier,,2022
ATL,Atlas,10,,6.0,4.0,0.0,9.0,2022-06-04,2022-08-21,128.0,115.0,102.0,13.0,72.0,395.0,252.0,52.0,29.0,323.0,177.0,62.0,263.0,166.0,97.0,132.0,30.0,102.0,119.0,109.0,30.0,21.5,7.0,23.0,9.0,17.0,28.0,263.0,279.0,273.0,25.0,10.0,2583.0,2011.0,14059.0,10,431.0,597.0,0.6,0.9,0.2911392405063291,0.6379746835443038,0.6311787072243346,0.978494623655914,12.8,11.5,10.2,1.3,7.2,39.5,25.2,5.2,2.9,32.3,17.7,6.2,26.3,16.6,9.7,13.2,3.0,10.2,11.9,10.9,3.0,2.15,0.7,2.3,0.9,1.7,2.8,26.3,27.9,27.3,2.5,1.0,258.3,201.1,1405.9,1.0,43.1,59.7,0.778552071234998,5.4428958575300035,4.326633165829146,3.3685092127303182,3:54:19,23:26,11.9,10.9,39.1,0.27877237851662406,0.6572890025575447,0.5477178423236515,Season,2022 Season,100,100,68.82,61.85,57.66,63.49,56.4,58.72,61.84,61.84,61.8388393113335,3.0,11.9,39.1,0.27877237851662406,0.5477178423236515,0.9000000000000004,23:26,23:26,Balanced Tempo,Middle Tier,Middle Tier,Middle Tier,Balanced Tempo | Middle Tier | Middle Tier | Middle Tier,,2022
