team_id,team_name,games,seasons,wins,losses,ties,score_margin,first_game_date,last_game_date,scores,goals,one_point_goals,two_point_goals,assists,shots,shots_on_goal,two_point_shots,two_point_shots_on_goal,ground_balls,turnovers,caused_turnovers,faceoffs,faceoffs_won,faceoffs_lost,saves,clean_saves,messy_saves,scores_against,goals_against,num_penalties,pim,power_play_goals,power_play_shots,power_play_goals_against,times_man_up,times_short_handed,ride_attempts,clear_attempts,clears,shot_clock_expirations,two_point_goals_against,touches,total_passes,time_in_possession,time_in_possession_available_game,official_total_possessions,offensive_sequence_proxy,win_pct,score_margin_per_game,shot_pct_calc,shots_on_goal_rate_calc,faceoff_pct_calc,clear_pct_calc,scores_per_game,goals_per_game,one_point_goals_per_game,two_point_goals_per_game,assists_per_game,shots_per_game,shots_on_goal_per_game,two_point_shots_per_game,two_point_shots_on_goal_per_game,ground_balls_per_game,turnovers_per_game,caused_turnovers_per_game,faceoffs_per_game,faceoffs_won_per_game,faceoffs_lost_per_game,saves_per_game,clean_saves_per_game,messy_saves_per_game,scores_against_per_game,goals_against_per_game,num_penalties_per_game,pim_per_game,power_play_goals_per_game,power_play_shots_per_game,power_play_goals_against_per_game,times_man_up_per_game,times_short_handed_per_game,ride_attempts_per_game,clear_attempts_per_game,clears_per_game,shot_clock_expirations_per_game,two_point_goals_against_per_game,touches_per_game,total_passes_per_game,time_in_possession_per_game,time_in_possession_available_game_per_game,official_total_possessions_per_game,offensive_sequence_proxy_per_game,passes_per_touch,seconds_possession_per_touch,touches_per_offensive_sequence_proxy,passes_per_offensive_sequence_proxy,time_in_possession_total_display,time_in_possession_per_game_display,scores_allowed_per_game,goals_allowed_per_game,opponent_shots_per_game,opponent_goal_pct,opponent_sog_rate,save_pct_proxy,profile_context_type,profile_context,profile_sort_order,profile_context_sort,offensive_volume_score,offensive_efficiency_score,ball_movement_score,possession_control_score,defensive_suppression_score,pace_tempo_score,team_style_overall_score,overall_score,overall_style,profile_rank,def_scores_allowed_per_game,def_opponent_shots_per_game,def_opponent_goal_pct,def_save_pct_proxy,net_scores_per_game,time_in_possession_per_game_mmss,possession_pg,pace_label,offensive_profile_label,defensive_profile_label,possession_profile_label,style_summary,sample_size_note,season
WHP,Whipsnakes,59,5.0,30.0,29.0,0.0,48.0,2022-06-04,2026-08-30,723.0,679.0,635.0,44.0,336.0,2495.0,1577.0,272.0,145.0,1895.0,1020.0,370.0,1546.0,851.0,682.0,750.0,269.0,481.0,675.0,637.0,97.0,70.0,50.0,122.0,25.0,122.0,88.0,1801.0,1875.0,1832.0,231.0,38.0,15569.0,12054.0,78041.0,57,461.0,3746.0,0.5084745762711864,0.8135593220338984,0.27214428857715434,0.632064128256513,0.5504527813712807,0.9770666666666666,12.254237288135593,11.508474576271187,10.76271186440678,0.7457627118644068,5.694915254237288,42.28813559322034,26.728813559322035,4.610169491525424,2.457627118644068,32.11864406779661,17.28813559322034,6.271186440677966,26.203389830508474,14.423728813559322,11.559322033898304,12.711864406779661,4.559322033898305,8.152542372881356,11.440677966101696,10.796610169491526,1.6440677966101696,1.1864406779661016,0.847457627118644,2.0677966101694913,0.423728813559322,2.0677966101694913,1.4915254237288136,30.52542372881356,31.779661016949152,31.050847457627118,3.9152542372881354,0.6440677966101694,263.8813559322034,204.3050847457627,1369.140350877193,0.9661016949152542,7.813559322033898,63.49152542372882,0.7742308433425397,5.012589119403944,4.156166577682861,3.217832354511479,21:40:41,22:49,11.440677966101696,10.796610169491526,39.91525423728814,0.2704883227176221,0.6242038216560509,0.5407354001441961,Career,Career,0,0,80.75,62.38,44.44,78.89,59.3,84.89,67.32,67.32,67.31695039401883,1.0,11.440677966101696,39.91525423728814,0.2704883227176221,0.5407354001441961,0.8135593220338979,22:49,22:49,High Tempo,Middle Tier,Middle Tier,Above-Average Possession,High Tempo | Middle Tier | Middle Tier | Above-Average Possession,,
WAT,Waterdogs,60,5.0,33.0,27.0,0.0,28.0,2022-06-05,2026-08-16,757.0,705.0,653.0,52.0,399.0,2550.0,1637.0,311.0,174.0,1884.0,953.0,461.0,1613.0,667.0,931.0,777.0,245.0,532.0,729.0,676.0,137.0,103.0,53.0,174.0,48.0,157.0,125.0,1891.0,1836.0,1804.0,171.0,53.0,15589.0,12086.0,79793.0,59,373.0,3674.0,0.55,0.4666666666666667,0.27647058823529413,0.6419607843137255,0.4135151890886547,0.9825708061002179,12.616666666666667,11.75,10.883333333333333,0.8666666666666667,6.65,42.5,27.283333333333335,5.183333333333334,2.9,31.4,15.883333333333333,7.683333333333334,26.883333333333333,11.116666666666667,15.516666666666667,12.95,4.083333333333333,8.866666666666667,12.15,11.266666666666667,2.283333333333333,1.7166666666666666,0.8833333333333333,2.9,0.8,2.6166666666666667,2.0833333333333335,31.516666666666666,30.6,30.066666666666666,2.85,0.8833333333333333,259.81666666666666,201.43333333333334,1352.4237288135594,0.9833333333333333,6.216666666666667,61.233333333333334,0.7752902687792674,5.118545127974854,4.243059335873707,3.2896026129559064,22:09:53,22:32,12.15,11.266666666666667,40.483333333333334,0.2783038287361054,0.637710992177851,0.534755677907777,Career,Career,0,0,74.92,82.3,65.19,47.5,41.23,68.59,63.46,63.46,63.45893028956616,2.0,12.15,40.483333333333334,0.2783038287361054,0.534755677907777,0.4666666666666668,22:32,22:32,Above-Average Tempo,Elite Offense,Below-Average Defense,Middle Tier,Above-Average Tempo | Elite Offense | Below-Average Defense | Middle Tier,,
CAN,Cannons,56,5.0,28.0,28.0,0.0,1.0,2022-06-05,2026-08-30,700.0,642.0,584.0,58.0,339.0,2326.0,1460.0,341.0,182.0,1687.0,886.0,456.0,1523.0,623.0,894.0,720.0,243.0,477.0,699.0,670.0,188.0,142.5,38.0,122.0,66.0,115.0,178.0,1750.0,1631.0,1599.0,156.0,29.0,15038.0,11826.0,72954.0,55,447.0,3368.0,0.5,0.017857142857142856,0.2760103181427343,0.6276870163370594,0.4090610636900854,0.9803801348865726,12.5,11.464285714285714,10.428571428571429,1.0357142857142858,6.053571428571429,41.535714285714285,26.071428571428573,6.089285714285714,3.25,30.125,15.821428571428571,8.142857142857142,27.196428571428573,11.125,15.964285714285714,12.857142857142858,4.339285714285714,8.517857142857142,12.482142857142858,11.964285714285714,3.357142857142857,2.544642857142857,0.6785714285714286,2.1785714285714284,1.1785714285714286,2.0535714285714284,3.1785714285714284,31.25,29.125,28.553571428571427,2.7857142857142856,0.5178571428571429,268.5357142857143,211.17857142857142,1326.4363636363637,0.9821428571428571,7.982142857142857,60.142857142857146,0.7864077669902912,4.851310014629605,4.464964370546318,3.5112826603325415,20:15:54,22:06,12.482142857142858,11.964285714285714,41.375,0.2891670263271472,0.6344410876132931,0.5179856115107914,Career,Career,0,0,72.14,78.46,69.29,54.41,23.83,64.42,60.6,60.6,60.599677978739756,3.0,12.482142857142858,41.375,0.2891670263271472,0.5179856115107914,0.01785714285714235,22:06,22:06,Balanced Tempo,Above-Average Offense,Vulnerable Defense,Middle Tier,Balanced Tempo | Above-Average Offense | Vulnerable Defense | Middle Tier,,
ARC,Archers,58,5.0,36.0,22.0,0.0,97.0,2022-06-05,2026-08-08,708.0,665.0,622.0,43.0,352.0,2342.0,1444.0,311.0,162.0,1860.0,1044.0,385.0,1461.0,721.0,724.0,790.0,261.0,529.0,611.0,569.0,179.0,143.0,54.0,143.0,58.0,144.0,158.0,1724.0,1814.0,1788.0,206.0,42.0,15076.0,11690.0,76656.0,58,381.0,3592.0,0.6206896551724138,1.6724137931034482,0.2839453458582408,0.6165670367207515,0.4934976043805613,0.9856670341786108,12.206896551724139,11.46551724137931,10.724137931034482,0.7413793103448276,6.068965517241379,40.37931034482759,24.896551724137932,5.362068965517241,2.793103448275862,32.06896551724138,18.0,6.637931034482759,25.189655172413794,12.431034482758621,12.482758620689655,13.620689655172415,4.5,9.120689655172415,10.53448275862069,9.810344827586206,3.086206896551724,2.4655172413793105,0.9310344827586207,2.4655172413793105,1.0,2.4827586206896552,2.7241379310344827,29.724137931034484,31.275862068965516,30.82758620689655,3.5517241379310347,0.7241379310344828,259.9310344827586,201.55172413793105,1321.655172413793,1.0,6.568965517241379,61.93103448275862,0.7754046166091801,5.084637834969488,4.197104677060134,3.2544543429844097,21:17:36,22:02,10.53448275862069,9.810344827586206,41.6551724137931,0.23551324503311258,0.6059602649006622,0.5813097866077999,Career,Career,0,0,58.98,70.37,47.98,41.47,83.25,47.71,60.04,60.04,60.03808986074546,4.0,10.53448275862069,41.6551724137931,0.23551324503311258,0.5813097866077999,1.6724137931034484,22:02,22:02,Balanced Tempo,Above-Average Offense,Elite Defense,Below-Average Possession,Balanced Tempo | Above-Average Offense | Elite Defense | Below-Average Possession,,
ATL,Atlas,57,5.0,27.0,30.0,0.0,-21.0,2022-06-04,2026-08-15,729.0,679.0,629.0,50.0,393.0,2367.0,1511.0,320.0,173.0,2065.0,1062.0,396.0,1595.0,959.0,628.0,739.0,234.0,505.0,750.0,694.0,159.0,111.5,45.0,138.0,41.0,123.0,147.0,1753.0,1806.0,1767.0,204.0,56.0,14732.0,11303.0,75744.0,56,422.0,3633.0,0.47368421052631576,-0.3684210526315789,0.2868610054921842,0.6383607942543303,0.6012539184952979,0.978405315614618,12.789473684210526,11.912280701754385,11.035087719298245,0.8771929824561403,6.894736842105263,41.526315789473685,26.50877192982456,5.614035087719298,3.0350877192982457,36.228070175438596,18.63157894736842,6.947368421052632,27.982456140350877,16.82456140350877,11.017543859649123,12.964912280701755,4.105263157894737,8.859649122807017,13.157894736842104,12.175438596491228,2.789473684210526,1.956140350877193,0.7894736842105263,2.4210526315789473,0.7192982456140351,2.1578947368421053,2.5789473684210527,30.75438596491228,31.68421052631579,31.0,3.5789473684210527,0.9824561403508771,258.4561403508772,198.2982456140351,1352.5714285714287,0.9824561403508771,7.4035087719298245,63.73684210526316,0.7672413793103449,5.141460765680152,4.055050922102946,3.1112028626479495,21:02:24,22:33,13.157894736842104,12.175438596491228,42.35087719298246,0.2874896437448219,0.6391880695940348,0.5157013258897418,Career,Career,0,0,79.9,72.9,66.92,64.03,7.97,68.0,59.91,59.91,59.90661504467148,5.0,13.157894736842104,42.35087719298246,0.2874896437448219,0.5157013258897418,-0.36842105263157876,22:33,22:33,Above-Average Tempo,Above-Average Offense,Vulnerable Defense,Middle Tier,Above-Average Tempo | Above-Average Offense | Vulnerable Defense | Middle Tier,,
OUT,Outlaws,57,5.0,28.0,29.0,0.0,-16.0,2022-06-05,2026-08-29,640.0,595.0,550.0,45.0,324.0,2284.0,1417.0,306.0,172.0,1692.0,992.0,373.0,1429.0,705.0,714.0,679.0,276.0,403.0,656.0,611.0,148.0,112.0,44.0,121.0,51.0,147.0,129.0,1820.0,1726.0,1692.0,174.0,45.0,15440.0,12164.0,74940.0,56,483.0,3450.0,0.49122807017543857,-0.2807017543859649,0.260507880910683,0.6204028021015762,0.4933519944016795,0.9803012746234068,11.228070175438596,10.43859649122807,9.649122807017545,0.7894736842105263,5.684210526315789,40.07017543859649,24.859649122807017,5.368421052631579,3.017543859649123,29.68421052631579,17.403508771929825,6.543859649122807,25.07017543859649,12.368421052631579,12.526315789473685,11.912280701754385,4.842105263157895,7.0701754385964914,11.508771929824562,10.719298245614034,2.5964912280701755,1.9649122807017543,0.7719298245614035,2.1228070175438596,0.8947368421052632,2.5789473684210527,2.263157894736842,31.92982456140351,30.280701754385966,29.68421052631579,3.0526315789473686,0.7894736842105263,270.87719298245617,213.40350877192984,1338.2142857142858,0.9824561403508771,8.473684210526315,60.526315789473685,0.7878238341968912,4.853626943005182,4.475362318840579,3.5257971014492755,20:49:00,22:18,11.508771929824562,10.719298245614034,38.78947368421053,0.27634554500226144,0.6255088195386703,0.5263565891472868,Career,Career,0,0,47.97,26.81,63.56,74.08,59.95,59.76,53.8,53.8,53.79561908890859,6.0,11.508771929824562,38.78947368421053,0.27634554500226144,0.5263565891472868,-0.2807017543859658,22:18,22:18,Balanced Tempo,Poor Offense,Middle Tier,Above-Average Possession,Balanced Tempo | Poor Offense | Middle Tier | Above-Average Possession,,
RED,Redwoods,58,5.0,26.0,32.0,0.0,-66.0,2022-06-04,2026-08-29,669.0,628.0,587.0,41.0,315.0,2415.0,1476.0,331.0,186.0,1890.0,1056.0,425.0,1542.0,876.0,659.0,700.0,244.0,456.0,735.0,687.0,132.0,106.5,50.0,148.0,40.0,150.0,112.0,1728.0,1789.0,1750.0,255.0,48.0,15525.0,12054.0,79286.0,58,466.0,3726.0,0.4482758620689655,-1.1379310344827587,0.2600414078674948,0.6111801242236025,0.5680933852140078,0.9782001117942984,11.53448275862069,10.827586206896552,10.120689655172415,0.7068965517241379,5.431034482758621,41.63793103448276,25.448275862068964,5.706896551724138,3.206896551724138,32.58620689655172,18.20689655172414,7.327586206896552,26.586206896551722,15.10344827586207,11.362068965517242,12.068965517241379,4.206896551724138,7.862068965517241,12.672413793103448,11.844827586206897,2.2758620689655173,1.8362068965517242,0.8620689655172413,2.5517241379310347,0.6896551724137931,2.586206896551724,1.9310344827586208,29.79310344827586,30.844827586206897,30.17241379310345,4.396551724137931,0.8275862068965517,267.67241379310343,207.82758620689654,1367.0,1.0,8.03448275862069,64.24137931034483,0.7764251207729469,5.106988727858293,4.166666666666667,3.2351046698872787,22:01:26,22:47,12.672413793103448,11.844827586206897,40.55172413793103,0.29209183673469385,0.6241496598639455,0.5046863734679163,Career,Career,0,0,72.61,23.67,45.11,88.28,22.1,87.65,53.06,53.06,53.05522804612967,7.0,12.672413793103448,40.55172413793103,0.29209183673469385,0.5046863734679163,-1.137931034482758,22:47,22:47,High Tempo,Poor Offense,Vulnerable Defense,Elite Possession,High Tempo | Poor Offense | Vulnerable Defense | Elite Possession,,
CHA,Chaos,59,5.0,24.0,35.0,0.0,-71.0,2022-06-04,2026-08-08,619.0,592.0,565.0,27.0,299.0,2256.0,1397.0,273.0,150.0,1649.0,1043.0,361.0,1465.0,642.0,812.0,840.0,318.0,522.0,690.0,641.0,167.0,132.0,47.0,111.0,52.0,125.0,146.0,1825.0,1815.0,1778.0,178.0,49.0,14808.0,11509.0,76433.0,59,336.0,3477.0,0.4067796610169492,-1.2033898305084745,0.2624113475177305,0.6192375886524822,0.43822525597269624,0.9796143250688705,10.491525423728813,10.033898305084746,9.576271186440678,0.4576271186440678,5.067796610169491,38.23728813559322,23.677966101694917,4.627118644067797,2.542372881355932,27.949152542372882,17.677966101694917,6.11864406779661,24.83050847457627,10.88135593220339,13.76271186440678,14.23728813559322,5.389830508474576,8.847457627118644,11.694915254237289,10.864406779661017,2.830508474576271,2.23728813559322,0.7966101694915254,1.88135593220339,0.8813559322033898,2.1186440677966103,2.4745762711864407,30.93220338983051,30.76271186440678,30.135593220338983,3.016949152542373,0.8305084745762712,250.98305084745763,195.0677966101695,1295.4745762711864,1.0,5.694915254237288,58.932203389830505,0.777215018908698,5.161601836844949,4.258843830888697,3.3100373885533507,21:13:53,21:35,11.694915254237289,10.864406779661017,43.067796610169495,0.252262888626525,0.6186540731995277,0.5671843349088453,Career,Career,0,0,0.0,9.0,0.0,3.03,48.62,0.0,11.1,11.1,11.09717199830031,8.0,11.694915254237289,43.067796610169495,0.252262888626525,0.5671843349088453,-1.2033898305084758,21:35,21:35,Very Slow Tempo,Poor Offense,Middle Tier,Poor Possession,Very Slow Tempo | Poor Offense | Middle Tier | Poor Possession,,
ARC,Archers,12,,7.0,5.0,0.0,23.0,2022-06-05,2022-09-11,150.0,143.0,136.0,7.0,85.0,463.0,313.0,47.0,30.0,352.0,172.0,93.0,311.0,118.0,191.0,130.0,36.0,94.0,127.0,122.0,32.0,25.5,10.0,21.0,12.0,26.0,32.0,333.0,340.0,338.0,22.0,5.0,3323.0,2688.0,15581.0,12,0.0,657.0,0.5833333333333334,1.9166666666666667,0.30885529157667385,0.6760259179265659,0.37942122186495175,0.9941176470588236,12.5,11.916666666666666,11.333333333333334,0.5833333333333334,7.083333333333333,38.583333333333336,26.083333333333332,3.9166666666666665,2.5,29.333333333333332,14.333333333333334,7.75,25.916666666666668,9.833333333333334,15.916666666666666,10.833333333333334,3.0,7.833333333333333,10.583333333333334,10.166666666666666,2.6666666666666665,2.125,0.8333333333333334,1.75,1.0,2.1666666666666665,2.6666666666666665,27.75,28.333333333333332,28.166666666666668,1.8333333333333333,0.4166666666666667,276.9166666666667,224.0,1298.4166666666667,1.0,0.0,54.75,0.8089076136021667,4.688835389708095,5.057838660578387,4.091324200913242,4:19:41,21:38,10.583333333333334,10.166666666666666,38.333333333333336,0.26521739130434785,0.6130434782608696,0.5158730158730159,Season,2022 Season,100,100,62.12,90.67,87.65,47.2,74.95,53.47,71.02,71.02,71.01788114827096,1.0,10.583333333333334,38.333333333333336,0.26521739130434785,0.5158730158730159,1.916666666666666,21:38,21:38,Balanced Tempo,Elite Offense,Above-Average Defense,Middle Tier,Balanced Tempo | Elite Offense | Above-Average Defense | Middle Tier,,2022
OUT,Outlaws,11,,7.0,4.0,0.0,10.0,2022-06-05,2022-09-03,123.0,120.0,117.0,3.0,72.0,406.0,264.0,25.0,16.0,351.0,183.0,74.0,270.0,146.0,123.0,127.0,41.0,86.0,113.0,107.0,26.0,23.0,10.0,23.0,5.0,33.0,20.0,307.0,320.0,316.0,26.0,6.0,3150.0,2561.0,15671.0,11,0.0,615.0,0.6363636363636364,0.9090909090909091,0.2955665024630542,0.6502463054187192,0.5407407407407407,0.9875,11.181818181818182,10.909090909090908,10.636363636363637,0.2727272727272727,6.545454545454546,36.90909090909091,24.0,2.272727272727273,1.4545454545454546,31.90909090909091,16.636363636363637,6.7272727272727275,24.545454545454547,13.272727272727273,11.181818181818182,11.545454545454545,3.727272727272727,7.818181818181818,10.272727272727273,9.727272727272727,2.3636363636363638,2.090909090909091,0.9090909090909091,2.090909090909091,0.45454545454545453,3.0,1.8181818181818181,27.90909090909091,29.09090909090909,28.727272727272727,2.3636363636363638,0.5454545454545454,286.3636363636364,232.8181818181818,1424.6363636363637,1.0,0.0,55.90909090909091,0.813015873015873,4.974920634920635,5.121951219512195,4.164227642276423,4:21:11,23:45,10.272727272727273,9.727272727272727,35.36363636363637,0.2750642673521851,0.6503856041131105,0.5427350427350427,Season,2022 Season,100,100,49.71,48.36,81.67,93.39,88.24,65.78,70.31,70.31,70.31419652444262,2.0,10.272727272727273,35.36363636363637,0.2750642673521851,0.5427350427350427,0.9090909090909083,23:45,23:45,Above-Average Tempo,Middle Tier,Elite Defense,Elite Possession,Above-Average Tempo | Middle Tier | Elite Defense | Elite Possession,,2022
ATL,Atlas,11,,6.0,5.0,0.0,4.0,2022-06-04,2022-09-03,142.0,127.0,112.0,15.0,79.0,445.0,277.0,69.0,36.0,357.0,193.0,72.0,296.0,182.0,114.0,137.0,30.0,107.0,138.0,126.0,31.0,22.5,7.0,29.0,10.0,21.0,29.0,294.0,314.0,307.0,26.0,12.0,2868.0,2230.0,15253.0,11,0.0,664.0,0.5454545454545454,0.36363636363636365,0.2853932584269663,0.6224719101123596,0.6148648648648649,0.9777070063694268,12.909090909090908,11.545454545454545,10.181818181818182,1.3636363636363635,7.181818181818182,40.45454545454545,25.181818181818183,6.2727272727272725,3.272727272727273,32.45454545454545,17.545454545454547,6.545454545454546,26.90909090909091,16.545454545454547,10.363636363636363,12.454545454545455,2.727272727272727,9.727272727272727,12.545454545454545,11.454545454545455,2.8181818181818183,2.0454545454545454,0.6363636363636364,2.6363636363636362,0.9090909090909091,1.9090909090909092,2.6363636363636362,26.727272727272727,28.545454545454547,27.90909090909091,2.3636363636363638,1.0909090909090908,260.72727272727275,202.72727272727272,1386.6363636363637,1.0,0.0,60.36363636363637,0.7775453277545328,5.31834030683403,4.319277108433735,3.358433734939759,4:14:13,23:07,12.545454545454545,11.454545454545455,38.54545454545455,0.2971698113207547,0.660377358490566,0.5209125475285171,Season,2022 Season,100,100,76.85,60.79,70.62,65.67,47.92,68.86,64.94,64.94,64.94135759633782,3.0,12.545454545454545,38.54545454545455,0.2971698113207547,0.5209125475285171,0.3636363636363633,23:07,23:07,Above-Average Tempo,Middle Tier,Middle Tier,Above-Average Possession,Above-Average Tempo | Middle Tier | Middle Tier | Above-Average Possession,,2022
