team_id,team_name,games,seasons,wins,losses,ties,score_margin,first_game_date,last_game_date,scores,goals,one_point_goals,two_point_goals,assists,shots,shots_on_goal,two_point_shots,two_point_shots_on_goal,ground_balls,turnovers,caused_turnovers,faceoffs,faceoffs_won,faceoffs_lost,saves,clean_saves,messy_saves,scores_against,goals_against,num_penalties,pim,power_play_goals,power_play_shots,power_play_goals_against,times_man_up,times_short_handed,ride_attempts,clear_attempts,clears,shot_clock_expirations,two_point_goals_against,touches,total_passes,time_in_possession,time_in_possession_available_game,official_total_possessions,offensive_sequence_proxy,win_pct,score_margin_per_game,shot_pct_calc,shots_on_goal_rate_calc,faceoff_pct_calc,clear_pct_calc,scores_per_game,goals_per_game,one_point_goals_per_game,two_point_goals_per_game,assists_per_game,shots_per_game,shots_on_goal_per_game,two_point_shots_per_game,two_point_shots_on_goal_per_game,ground_balls_per_game,turnovers_per_game,caused_turnovers_per_game,faceoffs_per_game,faceoffs_won_per_game,faceoffs_lost_per_game,saves_per_game,clean_saves_per_game,messy_saves_per_game,scores_against_per_game,goals_against_per_game,num_penalties_per_game,pim_per_game,power_play_goals_per_game,power_play_shots_per_game,power_play_goals_against_per_game,times_man_up_per_game,times_short_handed_per_game,ride_attempts_per_game,clear_attempts_per_game,clears_per_game,shot_clock_expirations_per_game,two_point_goals_against_per_game,touches_per_game,total_passes_per_game,time_in_possession_per_game,time_in_possession_available_game_per_game,official_total_possessions_per_game,offensive_sequence_proxy_per_game,passes_per_touch,seconds_possession_per_touch,touches_per_offensive_sequence_proxy,passes_per_offensive_sequence_proxy,time_in_possession_total_display,time_in_possession_per_game_display,scores_allowed_per_game,goals_allowed_per_game,opponent_shots_per_game,opponent_goal_pct,opponent_sog_rate,save_pct_proxy,profile_context_type,profile_context,profile_sort_order,profile_context_sort,offensive_volume_score,offensive_efficiency_score,ball_movement_score,possession_control_score,defensive_suppression_score,pace_tempo_score,team_style_overall_score,overall_score,overall_style,profile_rank,def_scores_allowed_per_game,def_opponent_shots_per_game,def_opponent_goal_pct,def_save_pct_proxy,net_scores_per_game,time_in_possession_per_game_mmss,possession_pg,pace_label,offensive_profile_label,defensive_profile_label,possession_profile_label,style_summary,sample_size_note,season
WAT,Waterdogs,8,3.0,6.0,2.0,0.0,21.0,2022-09-03,2025-09-01,112.0,105.0,98.0,7.0,59.0,321.0,213.0,33.0,26.0,267.0,135.0,61.0,222.0,99.0,121.0,105.0,30.0,75.0,91.0,85.0,19.0,15.0,7.0,19.0,4.0,18.0,18.0,259.0,244.0,237.0,28.0,6.0,2010.0,1554.0,11076.0,8,0.0,484.0,0.75,2.625,0.32710280373831774,0.6635514018691588,0.44594594594594594,0.9713114754098361,14.0,13.125,12.25,0.875,7.375,40.125,26.625,4.125,3.25,33.375,16.875,7.625,27.75,12.375,15.125,13.125,3.75,9.375,11.375,10.625,2.375,1.875,0.875,2.375,0.5,2.25,2.25,32.375,30.5,29.625,3.5,0.75,251.25,194.25,1384.5,1.0,0.0,60.5,0.7731343283582089,5.51044776119403,4.152892561983471,3.2107438016528924,3:04:36,23:04,11.375,10.625,40.5,0.2623456790123457,0.6234567901234568,0.5526315789473685,Career,Career,0,0,56.16,90.59,73.12,62.38,48.25,44.08,64.73,64.73,64.72902125848411,1.0,11.375,40.5,0.2623456790123457,0.5526315789473685,2.625,23:04,23:04,Slower Tempo,Elite Offense,Middle Tier,Middle Tier,Slower Tempo | Elite Offense | Middle Tier | Middle Tier,,
ATL,Atlas,5,4.0,2.0,3.0,0.0,-12.0,2022-09-03,2025-09-14,63.0,59.0,55.0,4.0,36.0,228.0,133.0,39.0,14.0,186.0,95.0,32.0,148.0,98.0,49.0,55.0,17.0,38.0,75.0,69.0,9.0,5.5,2.0,17.0,2.0,13.0,9.0,158.0,161.0,158.0,24.0,6.0,1292.0,969.0,6793.0,5,0.0,347.0,0.4,-2.4,0.25877192982456143,0.5833333333333334,0.6621621621621622,0.9813664596273292,12.6,11.8,11.0,0.8,7.2,45.6,26.6,7.8,2.8,37.2,19.0,6.4,29.6,19.6,9.8,11.0,3.4,7.6,15.0,13.8,1.8,1.1,0.4,3.4,0.4,2.6,1.8,31.6,32.2,31.6,4.8,1.2,258.4,193.8,1358.6,1.0,0.0,69.4,0.75,5.257739938080495,3.723342939481268,2.792507204610951,1:53:13,22:39,15.0,13.8,42.2,0.32701421800947866,0.6492890995260664,0.4435483870967742,Career,Career,0,0,90.61,44.27,80.35,89.0,5.46,94.97,64.35,64.35,64.34577002587565,2.0,15.0,42.2,0.32701421800947866,0.4435483870967742,-2.4000000000000004,22:39,22:39,High Tempo,Low-Output Offense,Vulnerable Defense,Elite Possession,High Tempo | Low-Output Offense | Vulnerable Defense | Elite Possession,,
ARC,Archers,6,3.0,5.0,1.0,0.0,25.0,2022-09-03,2024-09-15,71.0,66.0,61.0,5.0,36.0,223.0,134.0,34.0,16.0,188.0,108.0,41.0,134.0,59.0,73.0,98.0,39.0,59.0,46.0,44.0,13.0,11.0,1.0,4.0,4.0,8.0,11.0,179.0,191.0,191.0,22.0,2.0,1511.0,1180.0,7905.0,6,0.0,353.0,0.8333333333333334,4.166666666666667,0.29596412556053814,0.600896860986547,0.44029850746268656,1.0,11.833333333333334,11.0,10.166666666666666,0.8333333333333334,6.0,37.166666666666664,22.333333333333332,5.666666666666667,2.6666666666666665,31.333333333333332,18.0,6.833333333333333,22.333333333333332,9.833333333333334,12.166666666666666,16.333333333333332,6.5,9.833333333333334,7.666666666666667,7.333333333333333,2.1666666666666665,1.8333333333333333,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.8333333333333333,29.833333333333332,31.833333333333332,31.833333333333332,3.6666666666666665,0.3333333333333333,251.83333333333334,196.66666666666666,1317.5,1.0,0.0,58.833333333333336,0.7809397749834547,5.231634679020516,4.280453257790368,3.3427762039660056,2:11:45,21:58,7.666666666666667,7.333333333333333,43.333333333333336,0.16923076923076924,0.5653846153846154,0.6901408450704225,Career,Career,0,0,31.56,62.02,59.12,38.98,75.0,19.3,50.48,50.48,50.48077590481171,3.0,7.666666666666667,43.333333333333336,0.16923076923076924,0.6901408450704225,4.166666666666667,21:58,21:58,Very Slow Tempo,Middle Tier,Above-Average Defense,Below-Average Possession,Very Slow Tempo | Middle Tier | Above-Average Defense | Below-Average Possession,,
OUT,Outlaws,5,4.0,2.0,3.0,0.0,-4.0,2022-09-03,2026-08-29,53.0,50.0,47.0,3.0,22.0,202.0,122.0,34.0,21.0,124.0,80.0,26.0,124.0,51.0,71.0,67.0,33.0,34.0,57.0,55.0,9.0,5.0,2.0,12.0,9.0,12.0,11.0,170.0,145.0,141.0,15.0,2.0,1294.0,1012.0,6526.0,5,49.0,297.0,0.4,-0.8,0.24752475247524752,0.6039603960396039,0.4112903225806452,0.9724137931034482,10.6,10.0,9.4,0.6,4.4,40.4,24.4,6.8,4.2,24.8,16.0,5.2,24.8,10.2,14.2,13.4,6.6,6.8,11.4,11.0,1.8,1.0,0.4,2.4,1.8,2.4,2.2,34.0,29.0,28.2,3.0,0.4,258.8,202.4,1305.2,1.0,9.8,59.4,0.7820710973724884,5.043276661514684,4.356902356902357,3.4074074074074074,1:48:46,21:45,11.4,11.0,40.6,0.270935960591133,0.6354679802955665,0.5491803278688525,Career,Career,0,0,44.76,46.44,57.77,55.91,46.34,47.26,49.62,49.62,49.61850742337311,4.0,11.4,40.6,0.270935960591133,0.5491803278688525,-0.8000000000000007,21:45,21:45,Balanced Tempo,Middle Tier,Middle Tier,Middle Tier,Balanced Tempo | Middle Tier | Middle Tier | Middle Tier,,
CAN,Cannons,4,3.0,2.0,2.0,0.0,-4.0,2023-09-04,2026-08-30,39.0,37.0,35.0,2.0,14.0,156.0,91.0,24.0,8.0,121.0,69.0,38.0,95.0,30.0,64.0,50.0,13.0,37.0,43.0,42.0,10.0,8.0,1.0,5.0,4.0,7.0,10.0,117.0,119.0,115.0,14.0,1.0,1034.0,809.0,5163.0,4,46.0,239.0,0.5,-1.0,0.23717948717948717,0.5833333333333334,0.3157894736842105,0.9663865546218487,9.75,9.25,8.75,0.5,3.5,39.0,22.75,6.0,2.0,30.25,17.25,9.5,23.75,7.5,16.0,12.5,3.25,9.25,10.75,10.5,2.5,2.0,0.25,1.25,1.0,1.75,2.5,29.25,29.75,28.75,3.5,0.25,258.5,202.25,1290.75,1.0,11.5,59.75,0.7823984526112185,4.993230174081238,4.326359832635983,3.3849372384937237,1:26:03,21:31,10.75,10.5,38.75,0.2709677419354839,0.6193548387096774,0.5434782608695652,Career,Career,0,0,35.47,29.48,44.27,44.0,58.44,39.12,41.57,41.57,41.56873283705864,5.0,10.75,38.75,0.2709677419354839,0.5434782608695652,-1.0,21:31,21:31,Slower Tempo,Poor Offense,Middle Tier,Below-Average Possession,Slower Tempo | Poor Offense | Middle Tier | Below-Average Possession,,
RED,Redwoods,6,4.0,2.0,4.0,0.0,-11.0,2022-09-03,2026-08-29,64.0,60.0,56.0,4.0,28.0,249.0,146.0,36.0,24.0,168.0,103.0,42.0,154.0,79.0,74.0,83.0,29.0,54.0,75.0,71.0,13.0,9.0,7.0,15.0,4.0,16.0,12.0,181.0,186.0,183.0,31.0,4.0,1504.0,1152.0,8082.0,6,48.0,383.0,0.3333333333333333,-1.8333333333333333,0.24096385542168675,0.5863453815261044,0.512987012987013,0.9838709677419355,10.666666666666666,10.0,9.333333333333334,0.6666666666666666,4.666666666666667,41.5,24.333333333333332,6.0,4.0,28.0,17.166666666666668,7.0,25.666666666666668,13.166666666666666,12.333333333333334,13.833333333333334,4.833333333333333,9.0,12.5,11.833333333333334,2.1666666666666665,1.5,1.1666666666666667,2.5,0.6666666666666666,2.6666666666666665,2.0,30.166666666666668,31.0,30.5,5.166666666666667,0.6666666666666666,250.66666666666666,192.0,1347.0,1.0,8.0,63.833333333333336,0.7659574468085106,5.3736702127659575,3.926892950391645,3.0078328981723237,2:14:42,22:27,12.5,11.833333333333334,42.0,0.28174603174603174,0.623015873015873,0.538961038961039,Career,Career,0,0,44.59,36.92,29.48,50.3,31.6,48.65,39.57,39.57,39.57182544894091,6.0,12.5,42.0,0.28174603174603174,0.538961038961039,-1.833333333333334,22:27,22:27,Balanced Tempo,Low-Output Offense,Below-Average Defense,Middle Tier,Balanced Tempo | Low-Output Offense | Below-Average Defense | Middle Tier,,
WHP,Whipsnakes,7,5.0,2.0,5.0,0.0,-10.0,2022-09-11,2026-08-30,72.0,70.0,68.0,2.0,29.0,296.0,183.0,44.0,26.0,234.0,127.0,60.0,176.0,99.0,73.0,77.0,30.0,47.0,82.0,78.0,18.0,10.5,4.0,10.0,1.0,12.0,14.0,217.0,223.0,216.0,22.0,4.0,1749.0,1326.0,9484.0,7,41.0,445.0,0.2857142857142857,-1.4285714285714286,0.23648648648648649,0.6182432432432432,0.5625,0.968609865470852,10.285714285714286,10.0,9.714285714285714,0.2857142857142857,4.142857142857143,42.285714285714285,26.142857142857142,6.285714285714286,3.7142857142857144,33.42857142857143,18.142857142857142,8.571428571428571,25.142857142857142,14.142857142857142,10.428571428571429,11.0,4.285714285714286,6.714285714285714,11.714285714285714,11.142857142857142,2.5714285714285716,1.5,0.5714285714285714,1.4285714285714286,0.14285714285714285,1.7142857142857142,2.0,31.0,31.857142857142858,30.857142857142858,3.142857142857143,0.5714285714285714,249.85714285714286,189.42857142857142,1354.857142857143,1.0,5.857142857142857,63.57142857142857,0.758147512864494,5.422527158376215,3.9303370786516854,2.979775280898876,2:38:04,22:35,11.714285714285714,11.142857142857142,38.142857142857146,0.29213483146067415,0.6104868913857678,0.4967741935483871,Career,Career,0,0,42.84,27.57,15.89,53.4,50.58,50.89,39.25,39.25,39.252259072039344,7.0,11.714285714285714,38.142857142857146,0.29213483146067415,0.4967741935483871,-1.428571428571427,22:35,22:35,Balanced Tempo,Poor Offense,Middle Tier,Middle Tier,Balanced Tempo | Poor Offense | Middle Tier | Middle Tier,,
CHA,Chaos,7,4.0,3.0,4.0,0.0,-5.0,2022-09-03,2025-08-24,59.0,58.0,57.0,1.0,29.0,278.0,172.0,30.0,18.0,191.0,110.0,32.0,147.0,78.0,68.0,95.0,38.0,57.0,64.0,61.0,18.0,15.5,7.0,18.0,3.0,17.0,18.0,206.0,218.0,211.0,22.0,3.0,1717.0,1329.0,9291.0,7,0.0,410.0,0.42857142857142855,-0.7142857142857143,0.20863309352517986,0.6187050359712231,0.5306122448979592,0.9678899082568807,8.428571428571429,8.285714285714286,8.142857142857142,0.14285714285714285,4.142857142857143,39.714285714285715,24.571428571428573,4.285714285714286,2.5714285714285716,27.285714285714285,15.714285714285714,4.571428571428571,21.0,11.142857142857142,9.714285714285714,13.571428571428571,5.428571428571429,8.142857142857142,9.142857142857142,8.714285714285714,2.5714285714285716,2.2142857142857144,1.0,2.5714285714285716,0.42857142857142855,2.4285714285714284,2.5714285714285716,29.428571428571427,31.142857142857142,30.142857142857142,3.142857142857143,0.42857142857142855,245.28571428571428,189.85714285714286,1327.2857142857142,1.0,0.0,58.57142857142857,0.7740244612696564,5.411182294700058,4.18780487804878,3.2414634146341466,2:34:51,22:07,9.142857142857142,8.714285714285714,40.142857142857146,0.21708185053380782,0.5800711743772242,0.6089743589743589,Career,Career,0,0,7.55,22.57,9.95,26.04,71.31,16.42,26.28,26.28,26.276266988225675,8.0,9.142857142857142,40.142857142857146,0.21708185053380782,0.6089743589743589,-0.7142857142857135,22:07,22:07,Very Slow Tempo,Poor Offense,Above-Average Defense,Poor Possession,Very Slow Tempo | Poor Offense | Above-Average Defense | Poor Possession,,
ATL,Atlas,1,,0.0,1.0,0.0,-5.0,2022-09-03,2022-09-03,14.0,12.0,10.0,2.0,7.0,50.0,25.0,17.0,7.0,34.0,16.0,10.0,33.0,16.0,17.0,5.0,0.0,5.0,19.0,17.0,1.0,1.0,0.0,6.0,1.0,4.0,1.0,31.0,35.0,34.0,1.0,2.0,285.0,219.0,1194.0,1,0.0,67.0,0.0,-5.0,0.24,0.5,0.48484848484848486,0.9714285714285714,14.0,12.0,10.0,2.0,7.0,50.0,25.0,17.0,7.0,34.0,16.0,10.0,33.0,16.0,17.0,5.0,0.0,5.0,19.0,17.0,1.0,1.0,0.0,6.0,1.0,4.0,1.0,31.0,35.0,34.0,1.0,2.0,285.0,219.0,1194.0,1.0,0.0,67.0,0.7684210526315789,4.189473684210526,4.253731343283582,3.2686567164179103,19:54,19:54,19.0,17.0,33.0,0.5151515151515151,0.696969696969697,0.22727272727272727,Season,2022 Season,100,100,99.12,72.31,93.8,54.94,21.05,84.66,70.04,70.04,70.03519005697936,1.0,19.0,33.0,0.5151515151515151,0.22727272727272727,-5.0,19:54,19:54,High Tempo,Above-Average Offense,Vulnerable Defense,Middle Tier,High Tempo | Above-Average Offense | Vulnerable Defense | Middle Tier,Early-season sample.,2022
WHP,Whipsnakes,1,,0.0,1.0,0.0,-1.0,2022-09-11,2022-09-11,10.0,10.0,10.0,0.0,4.0,43.0,28.0,6.0,3.0,37.0,15.0,15.0,25.0,14.0,11.0,8.0,4.0,4.0,11.0,11.0,1.0,0.5,0.0,2.0,0.0,2.0,1.0,26.0,32.0,31.0,1.0,0.0,264.0,206.0,1394.0,1,0.0,59.0,0.0,-1.0,0.23255813953488372,0.6511627906976745,0.56,0.96875,10.0,10.0,10.0,0.0,4.0,43.0,28.0,6.0,3.0,37.0,15.0,15.0,25.0,14.0,11.0,8.0,4.0,4.0,11.0,11.0,1.0,0.5,0.0,2.0,0.0,2.0,1.0,26.0,32.0,31.0,1.0,0.0,264.0,206.0,1394.0,1.0,0.0,59.0,0.7803030303030303,5.28030303030303,4.47457627118644,3.4915254237288136,23:14,23:14,11.0,11.0,31.0,0.3548387096774194,0.6774193548387096,0.42105263157894735,Season,2022 Season,100,100,58.68,62.05,52.73,78.14,67.66,61.47,63.69,63.69,63.68750261226058,2.0,11.0,31.0,0.3548387096774194,0.42105263157894735,-1.0,23:14,23:14,Balanced Tempo,Middle Tier,Above-Average Defense,Above-Average Possession,Balanced Tempo | Middle Tier | Above-Average Defense | Above-Average Possession,Early-season sample.,2022
WAT,Waterdogs,3,,3.0,0.0,0.0,8.0,2022-09-03,2022-09-18,41.0,39.0,37.0,2.0,20.0,105.0,72.0,9.0,6.0,109.0,59.0,25.0,81.0,41.0,40.0,43.0,7.0,36.0,33.0,30.0,8.0,6.5,1.0,4.0,0.0,5.0,7.0,99.0,87.0,83.0,9.0,3.0,698.0,534.0,4314.0,3,0.0,173.0,1.0,2.6666666666666665,0.37142857142857144,0.6857142857142857,0.5061728395061729,0.9540229885057471,13.666666666666666,13.0,12.333333333333334,0.6666666666666666,6.666666666666667,35.0,24.0,3.0,2.0,36.333333333333336,19.666666666666668,8.333333333333334,27.0,13.666666666666666,13.333333333333334,14.333333333333334,2.3333333333333335,12.0,11.0,10.0,2.6666666666666665,2.1666666666666665,0.3333333333333333,1.3333333333333333,0.0,1.6666666666666667,2.3333333333333335,33.0,29.0,27.666666666666668,3.0,1.0,232.66666666666666,178.0,1438.0,1.0,0.0,57.666666666666664,0.7650429799426934,6.180515759312321,4.034682080924855,3.086705202312139,1:11:54,23:58,11.0,10.0,43.666666666666664,0.22900763358778625,0.5648854961832062,0.589041095890411,Season,2022 Season,100,100,48.23,78.64,67.73,63.7,55.73,33.1,60.66,60.66,60.65687073019895,3.0,11.0,43.666666666666664,0.22900763358778625,0.589041095890411,2.666666666666666,23:58,23:58,Slower Tempo,Above-Average Offense,Middle Tier,Middle Tier,Slower Tempo | Above-Average Offense | Middle Tier | Middle Tier,,2022
