team_id,team_name,opponent_team_id,opponent_team_name,games,wins,losses,ties,score_margin,first_game_date,last_game_date,scores,goals,one_point_goals,two_point_goals,assists,shots,shots_on_goal,two_point_shots,two_point_shots_on_goal,ground_balls,turnovers,caused_turnovers,faceoffs,faceoffs_won,faceoffs_lost,saves,clean_saves,messy_saves,scores_against,goals_against,num_penalties,pim,power_play_goals,power_play_shots,power_play_goals_against,times_man_up,times_short_handed,ride_attempts,clear_attempts,clears,shot_clock_expirations,two_point_goals_against,touches,total_passes,time_in_possession,time_in_possession_available_game,official_total_possessions,offensive_sequence_proxy,win_pct,score_margin_per_game,shot_pct_calc,shots_on_goal_rate_calc,faceoff_pct_calc,clear_pct_calc,scores_per_game,goals_per_game,one_point_goals_per_game,two_point_goals_per_game,assists_per_game,shots_per_game,shots_on_goal_per_game,two_point_shots_per_game,two_point_shots_on_goal_per_game,ground_balls_per_game,turnovers_per_game,caused_turnovers_per_game,faceoffs_per_game,faceoffs_won_per_game,faceoffs_lost_per_game,saves_per_game,clean_saves_per_game,messy_saves_per_game,scores_against_per_game,goals_against_per_game,num_penalties_per_game,pim_per_game,power_play_goals_per_game,power_play_shots_per_game,power_play_goals_against_per_game,times_man_up_per_game,times_short_handed_per_game,ride_attempts_per_game,clear_attempts_per_game,clears_per_game,shot_clock_expirations_per_game,two_point_goals_against_per_game,touches_per_game,total_passes_per_game,time_in_possession_per_game,time_in_possession_available_game_per_game,official_total_possessions_per_game,offensive_sequence_proxy_per_game,passes_per_touch,seconds_possession_per_touch,touches_per_offensive_sequence_proxy,passes_per_offensive_sequence_proxy,time_in_possession_total_display,time_in_possession_per_game_display
ARC,Archers,ATL,Atlas,5,1.0,4.0,0.0,-11.0,2022-06-26,2025-06-28,51,48,45,3,21,184,117,26,13,140,96,44,127,41,85,54,21,33,62,59,6,4.5,2,7,1,12,5,165,160,156,13,3,1218,938,6176.0,5,206.0,293,0.2,-2.2,0.2608695652173913,0.6358695652173914,0.3228346456692913,0.975,10.2,9.6,9.0,0.6,4.2,36.8,23.4,5.2,2.6,28.0,19.2,8.8,25.4,8.2,17.0,10.8,4.2,6.6,12.4,11.8,1.2,0.9,0.4,1.4,0.2,2.4,1.0,33.0,32.0,31.2,2.6,0.6,243.6,187.6,1235.2,1.0,41.2,58.6,0.7701149425287356,5.070607553366174,4.156996587030717,3.2013651877133107,1:42:56,20:35
ARC,Archers,CAN,Cannons,5,3.0,2.0,0.0,13.0,2022-06-18,2025-06-07,70,69,68,1,38,201,144,18,13,180,91,36,138,79,58,66,14,52,57,49,15,12.5,11,24,6,22,14,134,157,154,17,8,1394,1102,6922.0,5,233.0,309,0.6,2.6,0.34328358208955223,0.7164179104477612,0.572463768115942,0.9808917197452229,14.0,13.8,13.6,0.2,7.6,40.2,28.8,3.6,2.6,36.0,18.2,7.2,27.6,15.8,11.6,13.2,2.8,10.4,11.4,9.8,3.0,2.5,2.2,4.8,1.2,4.4,2.8,26.8,31.4,30.8,3.4,1.6,278.8,220.4,1384.4,1.0,46.6,61.8,0.7905308464849354,4.9655667144906745,4.511326860841424,3.5663430420711975,1:55:22,23:04
ARC,Archers,CHA,Chaos,8,6.0,2.0,0.0,14.0,2022-06-11,2026-06-05,99,93,87,6,50,352,216,42,24,226,125,39,206,100,102,107,38,69,85,82,18,11.5,6,15,7,16,16,242,240,236,20,3,2112,1635,10708.0,8,288.0,497,0.75,1.75,0.26420454545454547,0.6136363636363636,0.4854368932038835,0.9833333333333333,12.375,11.625,10.875,0.75,6.25,44.0,27.0,5.25,3.0,28.25,15.625,4.875,25.75,12.5,12.75,13.375,4.75,8.625,10.625,10.25,2.25,1.4375,0.75,1.875,0.875,2.0,2.0,30.25,30.0,29.5,2.5,0.375,264.0,204.375,1338.5,1.0,36.0,62.125,0.7741477272727273,5.070075757575758,4.249496981891348,3.289738430583501,2:58:28,22:18
ARC,Archers,OUT,Outlaws,8,4.0,4.0,0.0,10.0,2022-06-05,2026-05-09,95,89,83,6,58,316,191,36,20,268,143,52,196,86,109,110,33,77,85,76,31,25.0,10,31,12,22,29,236,256,252,30,9,2124,1665,10653.0,8,299.0,489,0.5,1.25,0.28164556962025317,0.6044303797468354,0.4387755102040816,0.984375,11.875,11.125,10.375,0.75,7.25,39.5,23.875,4.5,2.5,33.5,17.875,6.5,24.5,10.75,13.625,13.75,4.125,9.625,10.625,9.5,3.875,3.125,1.25,3.875,1.5,2.75,3.625,29.5,32.0,31.5,3.75,1.125,265.5,208.125,1331.625,1.0,37.375,61.125,0.7838983050847458,5.015536723163842,4.343558282208589,3.4049079754601226,2:57:33,22:12
ARC,Archers,RED,Redwoods,7,5.0,2.0,0.0,12.0,2022-07-01,2026-05-09,73,69,65,4,40,288,169,41,21,203,126,47,152,76,75,82,24,58,61,57,23,14.5,7,18,5,17,21,207,210,205,22,4,1716,1302,9175.0,7,210.0,436,0.7142857142857143,1.7142857142857142,0.23958333333333334,0.5868055555555556,0.5,0.9761904761904762,10.428571428571429,9.857142857142858,9.285714285714286,0.5714285714285714,5.714285714285714,41.142857142857146,24.142857142857142,5.857142857142857,3.0,29.0,18.0,6.714285714285714,21.714285714285715,10.857142857142858,10.714285714285714,11.714285714285714,3.4285714285714284,8.285714285714286,8.714285714285714,8.142857142857142,3.2857142857142856,2.0714285714285716,1.0,2.5714285714285716,0.7142857142857143,2.4285714285714284,3.0,29.571428571428573,30.0,29.285714285714285,3.142857142857143,0.5714285714285714,245.14285714285714,186.0,1310.7142857142858,1.0,30.0,62.285714285714285,0.7587412587412588,5.346736596736597,3.9357798165137616,2.9862385321100917,2:32:55,21:51
ARC,Archers,WAT,Waterdogs,5,3.0,2.0,0.0,0.0,2022-08-21,2025-07-12,71,66,61,5,31,213,133,31,20,200,99,34,153,95,56,88,20,68,71,67,19,14.0,3,8,8,10,18,145,163,163,18,4,1376,1064,6770.0,5,243.0,330,0.6,0.0,0.30985915492957744,0.6244131455399061,0.6209150326797386,1.0,14.2,13.2,12.2,1.0,6.2,42.6,26.6,6.2,4.0,40.0,19.8,6.8,30.6,19.0,11.2,17.6,4.0,13.6,14.2,13.4,3.8,2.8,0.6,1.6,1.6,2.0,3.6,29.0,32.6,32.6,3.6,0.8,275.2,212.8,1354.0,1.0,48.6,66.0,0.7732558139534884,4.920058139534884,4.16969696969697,3.224242424242424,1:52:50,22:34
ARC,Archers,WHP,Whipsnakes,6,4.0,2.0,0.0,9.0,2022-08-06,2026-05-30,71,66,61,5,31,226,141,33,14,187,117,42,148,69,77,81,31,50,62,58,19,17.5,4,12,7,10,16,188,184,181,34,4,1572,1229,7798.0,6,252.0,377,0.6666666666666666,1.5,0.2920353982300885,0.6238938053097345,0.46621621621621623,0.9836956521739131,11.833333333333334,11.0,10.166666666666666,0.8333333333333334,5.166666666666667,37.666666666666664,23.5,5.5,2.3333333333333335,31.166666666666668,19.5,7.0,24.666666666666668,11.5,12.833333333333334,13.5,5.166666666666667,8.333333333333334,10.333333333333334,9.666666666666666,3.1666666666666665,2.9166666666666665,0.6666666666666666,2.0,1.1666666666666667,1.6666666666666667,2.6666666666666665,31.333333333333332,30.666666666666668,30.166666666666668,5.666666666666667,0.6666666666666666,262.0,204.83333333333334,1299.6666666666667,1.0,42.0,62.833333333333336,0.7818066157760815,4.960559796437659,4.1697612732095495,3.259946949602122,2:09:58,21:40
ATL,Atlas,ARC,Archers,5,4.0,1.0,0.0,11.0,2022-06-26,2025-06-28,62,59,56,3,35,200,125,22,11,175,102,35,127,85,41,62,19,43,51,48,12,7.0,1,5,2,5,12,160,165,162,20,3,1366,1064,7154.0,5,240.0,322,0.8,2.2,0.295,0.625,0.6692913385826772,0.9818181818181818,12.4,11.8,11.2,0.6,7.0,40.0,25.0,4.4,2.2,35.0,20.4,7.0,25.4,17.0,8.2,12.4,3.8,8.6,10.2,9.6,2.4,1.4,0.2,1.0,0.4,1.0,2.4,32.0,33.0,32.4,4.0,0.6,273.2,212.8,1430.8,1.0,48.0,64.4,0.7789165446559297,5.2371888726207905,4.24223602484472,3.3043478260869565,1:59:14,23:51
ATL,Atlas,CAN,Cannons,7,3.0,4.0,0.0,4.0,2022-06-11,2025-07-11,101,95,89,6,59,306,198,33,18,296,142,42,207,157,49,84,34,50,97,86,17,10.0,10,28,5,23,15,205,231,227,22,11,1942,1494,9789.0,7,292.0,470,0.42857142857142855,0.5714285714285714,0.3104575163398693,0.6470588235294118,0.7584541062801933,0.9826839826839827,14.428571428571429,13.571428571428571,12.714285714285714,0.8571428571428571,8.428571428571429,43.714285714285715,28.285714285714285,4.714285714285714,2.5714285714285716,42.285714285714285,20.285714285714285,6.0,29.571428571428573,22.428571428571427,7.0,12.0,4.857142857142857,7.142857142857143,13.857142857142858,12.285714285714286,2.4285714285714284,1.4285714285714286,1.4285714285714286,4.0,0.7142857142857143,3.2857142857142856,2.142857142857143,29.285714285714285,33.0,32.42857142857143,3.142857142857143,1.5714285714285714,277.42857142857144,213.42857142857142,1398.4285714285713,1.0,41.714285714285715,67.14285714285714,0.7693099897013388,5.0406797116374875,4.131914893617021,3.178723404255319,2:43:09,23:18
ATL,Atlas,CHA,Chaos,5,4.0,1.0,0.0,6.0,2022-08-21,2026-05-09,62,56,50,6,25,212,125,27,16,192,96,30,130,87,42,65,18,47,56,54,21,16.0,6,16,7,15,18,152,167,161,25,2,1392,1084,7433.0,5,233.0,333,0.8,1.2,0.2641509433962264,0.589622641509434,0.6692307692307692,0.9640718562874252,12.4,11.2,10.0,1.2,5.0,42.4,25.0,5.4,3.2,38.4,19.2,6.0,26.0,17.4,8.4,13.0,3.6,9.4,11.2,10.8,4.2,3.2,1.2,3.2,1.4,3.0,3.6,30.4,33.4,32.2,5.0,0.4,278.4,216.8,1486.6,1.0,46.6,66.6,0.7787356321839081,5.339798850574713,4.18018018018018,3.255255255255255,2:03:53,24:47
