team_id,team_name,opponent_team_id,opponent_team_name,games,wins,losses,ties,score_margin,first_game_date,last_game_date,scores,goals,one_point_goals,two_point_goals,assists,shots,shots_on_goal,two_point_shots,two_point_shots_on_goal,ground_balls,turnovers,caused_turnovers,faceoffs,faceoffs_won,faceoffs_lost,saves,clean_saves,messy_saves,scores_against,goals_against,num_penalties,pim,power_play_goals,power_play_shots,power_play_goals_against,times_man_up,times_short_handed,ride_attempts,clear_attempts,clears,shot_clock_expirations,two_point_goals_against,touches,total_passes,time_in_possession,time_in_possession_available_game,official_total_possessions,offensive_sequence_proxy,win_pct,score_margin_per_game,shot_pct_calc,shots_on_goal_rate_calc,faceoff_pct_calc,clear_pct_calc,scores_per_game,goals_per_game,one_point_goals_per_game,two_point_goals_per_game,assists_per_game,shots_per_game,shots_on_goal_per_game,two_point_shots_per_game,two_point_shots_on_goal_per_game,ground_balls_per_game,turnovers_per_game,caused_turnovers_per_game,faceoffs_per_game,faceoffs_won_per_game,faceoffs_lost_per_game,saves_per_game,clean_saves_per_game,messy_saves_per_game,scores_against_per_game,goals_against_per_game,num_penalties_per_game,pim_per_game,power_play_goals_per_game,power_play_shots_per_game,power_play_goals_against_per_game,times_man_up_per_game,times_short_handed_per_game,ride_attempts_per_game,clear_attempts_per_game,clears_per_game,shot_clock_expirations_per_game,two_point_goals_against_per_game,touches_per_game,total_passes_per_game,time_in_possession_per_game,time_in_possession_available_game_per_game,official_total_possessions_per_game,offensive_sequence_proxy_per_game,passes_per_touch,seconds_possession_per_touch,touches_per_offensive_sequence_proxy,passes_per_offensive_sequence_proxy,time_in_possession_total_display,time_in_possession_per_game_display
ARC,Archers,ATL,Atlas,6,2.0,4.0,0.0,0.0,2022-06-26,2026-07-11,67.0,64.0,61.0,3.0,26.0,230.0,144.0,30.0,15.0,183.0,124.0,53.0,152.0,60.0,91.0,63.0,26.0,37.0,67.0,64.0,9.0,7.0,4.0,10.0,2.0,17.0,8.0,190.0,198.0,194.0,16.0,3.0,1489.0,1135.0,7582.0,6,49.0,370.0,0.3333333333333333,0.0,0.2782608695652174,0.6260869565217392,0.39473684210526316,0.9797979797979798,11.166666666666666,10.666666666666666,10.166666666666666,0.5,4.333333333333333,38.333333333333336,24.0,5.0,2.5,30.5,20.666666666666668,8.833333333333334,25.333333333333332,10.0,15.166666666666666,10.5,4.333333333333333,6.166666666666667,11.166666666666666,10.666666666666666,1.5,1.1666666666666667,0.6666666666666666,1.6666666666666667,0.3333333333333333,2.8333333333333335,1.3333333333333333,31.666666666666668,33.0,32.333333333333336,2.6666666666666665,0.5,248.16666666666666,189.16666666666666,1263.6666666666667,1.0,8.166666666666666,61.666666666666664,0.7622565480188046,5.092008059100067,4.024324324324325,3.0675675675675675,2:06:22,21:04
ARC,Archers,CAN,Cannons,6,3.0,3.0,0.0,9.0,2022-06-18,2026-08-01,77.0,76.0,75.0,1.0,40.0,243.0,164.0,26.0,16.0,206.0,104.0,42.0,159.0,85.0,73.0,78.0,20.0,58.0,68.0,59.0,26.0,22.0,12.0,29.0,7.0,29.0,18.0,165.0,180.0,177.0,21.0,9.0,1637.0,1290.0,8172.0,6,35.0,368.0,0.5,1.5,0.31275720164609055,0.6748971193415638,0.5345911949685535,0.9833333333333333,12.833333333333334,12.666666666666666,12.5,0.16666666666666666,6.666666666666667,40.5,27.333333333333332,4.333333333333333,2.6666666666666665,34.333333333333336,17.333333333333332,7.0,26.5,14.166666666666666,12.166666666666666,13.0,3.3333333333333335,9.666666666666666,11.333333333333334,9.833333333333334,4.333333333333333,3.6666666666666665,2.0,4.833333333333333,1.1666666666666667,4.833333333333333,3.0,27.5,30.0,29.5,3.5,1.5,272.8333333333333,215.0,1362.0,1.0,5.833333333333333,61.333333333333336,0.7880268784361637,4.99205864386072,4.448369565217392,3.505434782608696,2:16:12,22:42
ARC,Archers,CHA,Chaos,11,8.0,3.0,0.0,22.0,2022-06-11,2026-08-08,129.0,121.0,113.0,8.0,64.0,470.0,285.0,56.0,30.0,321.0,176.0,61.0,268.0,132.0,130.0,148.0,55.0,93.0,107.0,104.0,27.0,19.0,8.0,21.0,9.0,24.0,24.0,331.0,332.0,327.0,30.0,3.0,2895.0,2249.0,14702.0,11,46.0,676.0,0.7272727272727273,2.0,0.2574468085106383,0.6063829787234043,0.4925373134328358,0.9849397590361446,11.727272727272727,11.0,10.272727272727273,0.7272727272727273,5.818181818181818,42.72727272727273,25.90909090909091,5.090909090909091,2.727272727272727,29.181818181818183,16.0,5.545454545454546,24.363636363636363,12.0,11.818181818181818,13.454545454545455,5.0,8.454545454545455,9.727272727272727,9.454545454545455,2.4545454545454546,1.7272727272727273,0.7272727272727273,1.9090909090909092,0.8181818181818182,2.1818181818181817,2.1818181818181817,30.09090909090909,30.181818181818183,29.727272727272727,2.727272727272727,0.2727272727272727,263.1818181818182,204.45454545454547,1336.5454545454545,1.0,4.181818181818182,61.45454545454545,0.7768566493955095,5.078411053540587,4.2825443786982245,3.326923076923077,4:05:02,22:17
ARC,Archers,OUT,Outlaws,9,5.0,4.0,0.0,15.0,2022-06-05,2026-07-25,111.0,102.0,93.0,9.0,68.0,356.0,212.0,44.0,24.0,305.0,160.0,62.0,221.0,98.0,122.0,121.0,37.0,84.0,96.0,85.0,34.0,28.5,11.0,32.0,13.0,24.0,31.0,267.0,293.0,289.0,37.0,11.0,2395.0,1879.0,12057.0,9,43.0,553.0,0.5555555555555556,1.6666666666666667,0.28651685393258425,0.5955056179775281,0.4434389140271493,0.9863481228668942,12.333333333333334,11.333333333333334,10.333333333333334,1.0,7.555555555555555,39.55555555555556,23.555555555555557,4.888888888888889,2.6666666666666665,33.888888888888886,17.77777777777778,6.888888888888889,24.555555555555557,10.88888888888889,13.555555555555555,13.444444444444445,4.111111111111111,9.333333333333334,10.666666666666666,9.444444444444445,3.7777777777777777,3.1666666666666665,1.2222222222222223,3.5555555555555554,1.4444444444444444,2.6666666666666665,3.4444444444444446,29.666666666666668,32.55555555555556,32.111111111111114,4.111111111111111,1.2222222222222223,266.1111111111111,208.77777777777777,1339.6666666666667,1.0,4.777777777777778,61.44444444444444,0.7845511482254697,5.034237995824634,4.330922242314648,3.397830018083183,3:20:57,22:20
ARC,Archers,RED,Redwoods,10,7.0,3.0,0.0,23.0,2022-07-01,2026-06-20,114.0,107.0,100.0,7.0,61.0,417.0,242.0,64.0,31.0,306.0,177.0,66.0,230.0,107.0,121.0,132.0,44.0,88.0,91.0,85.0,28.0,19.0,7.0,18.0,5.0,18.0,25.0,288.0,306.0,300.0,29.0,6.0,2464.0,1870.0,13086.0,10,41.0,623.0,0.7,2.3,0.2565947242206235,0.580335731414868,0.4652173913043478,0.9803921568627451,11.4,10.7,10.0,0.7,6.1,41.7,24.2,6.4,3.1,30.6,17.7,6.6,23.0,10.7,12.1,13.2,4.4,8.8,9.1,8.5,2.8,1.9,0.7,1.8,0.5,1.8,2.5,28.8,30.6,30.0,2.9,0.6,246.4,187.0,1308.6,1.0,4.1,62.3,0.7589285714285714,5.310876623376624,3.955056179775281,3.001605136436597,3:38:06,21:49
ARC,Archers,WAT,Waterdogs,8,5.0,3.0,0.0,10.0,2022-08-21,2026-07-18,114.0,106.0,98.0,8.0,54.0,324.0,208.0,52.0,29.0,295.0,152.0,43.0,236.0,145.0,89.0,129.0,34.0,95.0,104.0,98.0,32.0,26.5,7.0,19.0,15.0,18.0,32.0,232.0,255.0,254.0,31.0,6.0,2127.0,1651.0,10651.0,8,79.0,507.0,0.625,1.25,0.3271604938271605,0.6419753086419753,0.614406779661017,0.996078431372549,14.25,13.25,12.25,1.0,6.75,40.5,26.0,6.5,3.625,36.875,19.0,5.375,29.5,18.125,11.125,16.125,4.25,11.875,13.0,12.25,4.0,3.3125,0.875,2.375,1.875,2.25,4.0,29.0,31.875,31.75,3.875,0.75,265.875,206.375,1331.375,1.0,9.875,63.375,0.7762106252938411,5.007522331922896,4.195266272189349,3.2564102564102564,2:57:31,22:11
ARC,Archers,WHP,Whipsnakes,8,6.0,2.0,0.0,18.0,2022-08-06,2026-07-25,96.0,89.0,82.0,7.0,39.0,302.0,189.0,39.0,17.0,244.0,151.0,58.0,195.0,94.0,98.0,119.0,45.0,74.0,78.0,74.0,23.0,21.0,5.0,14.0,7.0,14.0,20.0,251.0,250.0,247.0,42.0,4.0,2069.0,1616.0,10406.0,8,88.0,495.0,0.75,2.25,0.2947019867549669,0.6258278145695364,0.48205128205128206,0.988,12.0,11.125,10.25,0.875,4.875,37.75,23.625,4.875,2.125,30.5,18.875,7.25,24.375,11.75,12.25,14.875,5.625,9.25,9.75,9.25,2.875,2.625,0.625,1.75,0.875,1.75,2.5,31.375,31.25,30.875,5.25,0.5,258.625,202.0,1300.75,1.0,11.0,61.875,0.7810536491058483,5.0294828419526345,4.179797979797979,3.264646464646465,2:53:26,21:41
ATL,Atlas,ARC,Archers,6,4.0,2.0,0.0,0.0,2022-06-26,2026-07-11,67.0,64.0,61.0,3.0,37.0,231.0,139.0,28.0,12.0,202.0,121.0,48.0,152.0,91.0,60.0,71.0,20.0,51.0,67.0,64.0,17.0,11.5,2.0,6.0,4.0,8.0,17.0,198.0,190.0,187.0,24.0,3.0,1597.0,1245.0,8480.0,6,39.0,376.0,0.6666666666666666,0.0,0.27705627705627706,0.6017316017316018,0.5986842105263158,0.9842105263157894,11.166666666666666,10.666666666666666,10.166666666666666,0.5,6.166666666666667,38.5,23.166666666666668,4.666666666666667,2.0,33.666666666666664,20.166666666666668,8.0,25.333333333333332,15.166666666666666,10.0,11.833333333333334,3.3333333333333335,8.5,11.166666666666666,10.666666666666666,2.8333333333333335,1.9166666666666667,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.8333333333333335,33.0,31.666666666666668,31.166666666666668,4.0,0.5,266.1666666666667,207.5,1413.3333333333333,1.0,6.5,62.666666666666664,0.7795867251095805,5.3099561678146525,4.247340425531915,3.3111702127659575,2:21:20,23:33
ATL,Atlas,CAN,Cannons,10,4.0,6.0,0.0,-6.0,2022-06-11,2026-07-19,137.0,129.0,121.0,8.0,78.0,420.0,267.0,49.0,23.0,398.0,206.0,64.0,295.0,215.0,79.0,119.0,46.0,73.0,143.0,130.0,24.0,15.0,11.0,31.0,6.0,27.0,22.0,292.0,325.0,317.0,33.0,13.0,2637.0,2011.0,13572.0,10,85.0,659.0,0.4,-0.6,0.30714285714285716,0.6357142857142857,0.7288135593220338,0.9753846153846154,13.7,12.9,12.1,0.8,7.8,42.0,26.7,4.9,2.3,39.8,20.6,6.4,29.5,21.5,7.9,11.9,4.6,7.3,14.3,13.0,2.4,1.5,1.1,3.1,0.6,2.7,2.2,29.2,32.5,31.7,3.3,1.3,263.7,201.1,1357.2,1.0,8.5,65.9,0.7626090254076602,5.146757679180888,4.001517450682853,3.0515933232169954,3:46:12,22:37
ATL,Atlas,CHA,Chaos,5,4.0,1.0,0.0,6.0,2022-08-21,2026-05-09,62.0,56.0,50.0,6.0,25.0,212.0,125.0,27.0,16.0,192.0,96.0,30.0,130.0,87.0,42.0,65.0,18.0,47.0,56.0,54.0,21.0,16.0,6.0,16.0,7.0,15.0,18.0,152.0,167.0,161.0,25.0,2.0,1392.0,1084.0,7433.0,5,0.0,333.0,0.8,1.2,0.2641509433962264,0.589622641509434,0.6692307692307692,0.9640718562874252,12.4,11.2,10.0,1.2,5.0,42.4,25.0,5.4,3.2,38.4,19.2,6.0,26.0,17.4,8.4,13.0,3.6,9.4,11.2,10.8,4.2,3.2,1.2,3.2,1.4,3.0,3.6,30.4,33.4,32.2,5.0,0.4,278.4,216.8,1486.6,1.0,0.0,66.6,0.7787356321839081,5.339798850574713,4.18018018018018,3.255255255255255,2:03:53,24:47
