team_id,team_name,opponent_team_id,opponent_team_name,games,wins,losses,ties,score_margin,first_game_date,last_game_date,scores,goals,one_point_goals,two_point_goals,assists,shots,shots_on_goal,two_point_shots,two_point_shots_on_goal,ground_balls,turnovers,caused_turnovers,faceoffs,faceoffs_won,faceoffs_lost,saves,clean_saves,messy_saves,scores_against,goals_against,num_penalties,pim,power_play_goals,power_play_shots,power_play_goals_against,times_man_up,times_short_handed,ride_attempts,clear_attempts,clears,shot_clock_expirations,two_point_goals_against,touches,total_passes,time_in_possession,time_in_possession_available_game,official_total_possessions,offensive_sequence_proxy,win_pct,score_margin_per_game,shot_pct_calc,shots_on_goal_rate_calc,faceoff_pct_calc,clear_pct_calc,scores_per_game,goals_per_game,one_point_goals_per_game,two_point_goals_per_game,assists_per_game,shots_per_game,shots_on_goal_per_game,two_point_shots_per_game,two_point_shots_on_goal_per_game,ground_balls_per_game,turnovers_per_game,caused_turnovers_per_game,faceoffs_per_game,faceoffs_won_per_game,faceoffs_lost_per_game,saves_per_game,clean_saves_per_game,messy_saves_per_game,scores_against_per_game,goals_against_per_game,num_penalties_per_game,pim_per_game,power_play_goals_per_game,power_play_shots_per_game,power_play_goals_against_per_game,times_man_up_per_game,times_short_handed_per_game,ride_attempts_per_game,clear_attempts_per_game,clears_per_game,shot_clock_expirations_per_game,two_point_goals_against_per_game,touches_per_game,total_passes_per_game,time_in_possession_per_game,time_in_possession_available_game_per_game,official_total_possessions_per_game,offensive_sequence_proxy_per_game,passes_per_touch,seconds_possession_per_touch,touches_per_offensive_sequence_proxy,passes_per_offensive_sequence_proxy,time_in_possession_total_display,time_in_possession_per_game_display
ARC,Archers,CHA,Chaos,2,1.0,1.0,0.0,7.0,2022-09-11,2024-09-07,17.0,16.0,15.0,1.0,8.0,75.0,42.0,9.0,5.0,53.0,30.0,15.0,34.0,13.0,20.0,29.0,12.0,17.0,10.0,10.0,5.0,4.5,1.0,3.0,1.0,4.0,4.0,61.0,56.0,56.0,8.0,0.0,505.0,400.0,2542.0,2,0.0,113.0,0.5,3.5,0.21333333333333335,0.56,0.38235294117647056,1.0,8.5,8.0,7.5,0.5,4.0,37.5,21.0,4.5,2.5,26.5,15.0,7.5,17.0,6.5,10.0,14.5,6.0,8.5,5.0,5.0,2.5,2.25,0.5,1.5,0.5,2.0,2.0,30.5,28.0,28.0,4.0,0.0,252.5,200.0,1271.0,1.0,0.0,56.5,0.7920792079207921,5.033663366336634,4.469026548672566,3.5398230088495577,42:22,21:11
ARC,Archers,RED,Redwoods,2,2.0,0.0,0.0,13.0,2022-09-03,2023-09-10,27.0,25.0,23.0,2.0,16.0,79.0,44.0,14.0,6.0,70.0,36.0,15.0,46.0,19.0,27.0,31.0,14.0,17.0,14.0,13.0,4.0,3.5,0.0,0.0,0.0,1.0,3.0,50.0,63.0,63.0,6.0,1.0,535.0,420.0,2802.0,2,0.0,121.0,1.0,6.5,0.31645569620253167,0.5569620253164557,0.41304347826086957,1.0,13.5,12.5,11.5,1.0,8.0,39.5,22.0,7.0,3.0,35.0,18.0,7.5,23.0,9.5,13.5,15.5,7.0,8.5,7.0,6.5,2.0,1.75,0.0,0.0,0.0,0.5,1.5,25.0,31.5,31.5,3.0,0.5,267.5,210.0,1401.0,1.0,0.0,60.5,0.7850467289719626,5.237383177570093,4.421487603305785,3.4710743801652892,46:42,23:21
ARC,Archers,WAT,Waterdogs,1,1.0,0.0,0.0,1.0,2023-09-24,2023-09-24,15.0,14.0,13.0,1.0,8.0,37.0,25.0,6.0,3.0,39.0,25.0,2.0,31.0,20.0,11.0,18.0,7.0,11.0,14.0,13.0,3.0,2.0,0.0,1.0,3.0,1.0,3.0,37.0,40.0,40.0,6.0,1.0,238.0,176.0,1263.0,1,0.0,68.0,1.0,1.0,0.3783783783783784,0.6756756756756757,0.6451612903225806,1.0,15.0,14.0,13.0,1.0,8.0,37.0,25.0,6.0,3.0,39.0,25.0,2.0,31.0,20.0,11.0,18.0,7.0,11.0,14.0,13.0,3.0,2.0,0.0,1.0,3.0,1.0,3.0,37.0,40.0,40.0,6.0,1.0,238.0,176.0,1263.0,1.0,0.0,68.0,0.7394957983193278,5.30672268907563,3.5,2.588235294117647,21:03,21:03
ARC,Archers,WHP,Whipsnakes,1,1.0,0.0,0.0,4.0,2024-09-15,2024-09-15,12.0,11.0,10.0,1.0,4.0,32.0,23.0,5.0,2.0,26.0,17.0,9.0,23.0,7.0,15.0,20.0,6.0,14.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,31.0,32.0,32.0,2.0,0.0,233.0,184.0,1298.0,1,0.0,51.0,1.0,4.0,0.34375,0.71875,0.30434782608695654,1.0,12.0,11.0,10.0,1.0,4.0,32.0,23.0,5.0,2.0,26.0,17.0,9.0,23.0,7.0,15.0,20.0,6.0,14.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,31.0,32.0,32.0,2.0,0.0,233.0,184.0,1298.0,1.0,0.0,51.0,0.7896995708154506,5.570815450643777,4.568627450980392,3.607843137254902,21:38,21:38
ATL,Atlas,CAN,Cannons,1,0.0,1.0,0.0,-9.0,2023-09-04,2023-09-04,11.0,11.0,11.0,0.0,7.0,44.0,26.0,5.0,0.0,49.0,27.0,5.0,34.0,33.0,1.0,8.0,2.0,6.0,20.0,19.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,31.0,30.0,29.0,3.0,1.0,217.0,146.0,1281.0,1,0.0,74.0,0.0,-9.0,0.25,0.5909090909090909,0.9705882352941176,0.9666666666666667,11.0,11.0,11.0,0.0,7.0,44.0,26.0,5.0,0.0,49.0,27.0,5.0,34.0,33.0,1.0,8.0,2.0,6.0,20.0,19.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,31.0,30.0,29.0,3.0,1.0,217.0,146.0,1281.0,1.0,0.0,74.0,0.6728110599078341,5.903225806451613,2.9324324324324325,1.972972972972973,21:21,21:21
ATL,Atlas,OUT,Outlaws,1,1.0,0.0,0.0,1.0,2025-09-14,2025-09-14,14.0,14.0,14.0,0.0,9.0,46.0,28.0,3.0,0.0,37.0,14.0,4.0,31.0,22.0,9.0,15.0,6.0,9.0,13.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,32.0,33.0,33.0,5.0,0.0,216.0,156.0,1340.0,1,0.0,65.0,1.0,1.0,0.30434782608695654,0.6086956521739131,0.7096774193548387,1.0,14.0,14.0,14.0,0.0,9.0,46.0,28.0,3.0,0.0,37.0,14.0,4.0,31.0,22.0,9.0,15.0,6.0,9.0,13.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,32.0,33.0,33.0,5.0,0.0,216.0,156.0,1340.0,1.0,0.0,65.0,0.7222222222222222,6.203703703703703,3.3230769230769233,2.4,22:20,22:20
ATL,Atlas,WAT,Waterdogs,2,1.0,1.0,0.0,-3.0,2022-09-03,2025-09-01,27.0,25.0,23.0,2.0,16.0,90.0,52.0,24.0,11.0,65.0,35.0,13.0,58.0,31.0,27.0,23.0,6.0,17.0,30.0,25.0,5.0,3.5,2.0,11.0,2.0,9.0,5.0,60.0,64.0,63.0,11.0,5.0,563.0,438.0,2479.0,2,0.0,136.0,0.5,-1.5,0.2777777777777778,0.5777777777777777,0.5344827586206896,0.984375,13.5,12.5,11.5,1.0,8.0,45.0,26.0,12.0,5.5,32.5,17.5,6.5,29.0,15.5,13.5,11.5,3.0,8.5,15.0,12.5,2.5,1.75,1.0,5.5,1.0,4.5,2.5,30.0,32.0,31.5,5.5,2.5,281.5,219.0,1239.5,1.0,0.0,68.0,0.7779751332149201,4.4031971580817055,4.139705882352941,3.2205882352941178,41:19,20:40
ATL,Atlas,WHP,Whipsnakes,1,0.0,1.0,0.0,-1.0,2024-09-07,2024-09-07,11.0,9.0,7.0,2.0,4.0,48.0,27.0,7.0,3.0,35.0,19.0,10.0,25.0,12.0,12.0,9.0,3.0,6.0,12.0,12.0,1.0,0.5,0.0,6.0,0.0,4.0,1.0,35.0,34.0,33.0,5.0,0.0,296.0,229.0,1693.0,1,0.0,72.0,0.0,-1.0,0.1875,0.5625,0.48,0.9705882352941176,11.0,9.0,7.0,2.0,4.0,48.0,27.0,7.0,3.0,35.0,19.0,10.0,25.0,12.0,12.0,9.0,3.0,6.0,12.0,12.0,1.0,0.5,0.0,6.0,0.0,4.0,1.0,35.0,34.0,33.0,5.0,0.0,296.0,229.0,1693.0,1.0,0.0,72.0,0.7736486486486487,5.719594594594595,4.111111111111111,3.1805555555555554,28:13,28:13
CAN,Cannons,ATL,Atlas,1,1.0,0.0,0.0,9.0,2023-09-04,2023-09-04,20.0,19.0,18.0,1.0,8.0,44.0,30.0,5.0,1.0,31.0,12.0,9.0,34.0,1.0,33.0,13.0,1.0,12.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,31.0,30.0,2.0,0.0,256.0,200.0,1404.0,1,0.0,58.0,1.0,9.0,0.4318181818181818,0.6818181818181818,0.029411764705882353,0.967741935483871,20.0,19.0,18.0,1.0,8.0,44.0,30.0,5.0,1.0,31.0,12.0,9.0,34.0,1.0,33.0,13.0,1.0,12.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,31.0,30.0,2.0,0.0,256.0,200.0,1404.0,1.0,0.0,58.0,0.78125,5.484375,4.413793103448276,3.4482758620689653,23:24,23:24
CAN,Cannons,CHA,Chaos,1,0.0,1.0,0.0,-4.0,2024-09-02,2024-09-02,4.0,4.0,4.0,0.0,1.0,41.0,21.0,7.0,2.0,23.0,14.0,6.0,16.0,9.0,7.0,12.0,4.0,8.0,8.0,8.0,4.0,2.5,0.0,2.0,2.0,2.0,4.0,31.0,26.0,26.0,2.0,0.0,260.0,205.0,1260.0,1,0.0,57.0,0.0,-4.0,0.0975609756097561,0.5121951219512195,0.5625,1.0,4.0,4.0,4.0,0.0,1.0,41.0,21.0,7.0,2.0,23.0,14.0,6.0,16.0,9.0,7.0,12.0,4.0,8.0,8.0,8.0,4.0,2.5,0.0,2.0,2.0,2.0,4.0,31.0,26.0,26.0,2.0,0.0,260.0,205.0,1260.0,1.0,0.0,57.0,0.7884615384615384,4.846153846153846,4.56140350877193,3.5964912280701755,21:00,21:00
CAN,Cannons,WAT,Waterdogs,1,0.0,1.0,0.0,-11.0,2023-09-10,2023-09-10,6.0,5.0,4.0,1.0,3.0,36.0,21.0,8.0,3.0,33.0,23.0,10.0,25.0,10.0,14.0,13.0,2.0,11.0,17.0,16.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,30.0,30.0,29.0,4.0,1.0,238.0,179.0,1245.0,1,0.0,63.0,0.0,-11.0,0.1388888888888889,0.5833333333333334,0.4,0.9666666666666667,6.0,5.0,4.0,1.0,3.0,36.0,21.0,8.0,3.0,33.0,23.0,10.0,25.0,10.0,14.0,13.0,2.0,11.0,17.0,16.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,30.0,30.0,29.0,4.0,1.0,238.0,179.0,1245.0,1.0,0.0,63.0,0.7521008403361344,5.23109243697479,3.7777777777777777,2.8412698412698414,20:45,20:45
CAN,Cannons,WHP,Whipsnakes,1,1.0,0.0,0.0,2.0,2026-08-30,2026-08-30,9.0,9.0,9.0,0.0,2.0,35.0,19.0,4.0,2.0,34.0,20.0,13.0,20.0,10.0,10.0,12.0,6.0,6.0,7.0,7.0,3.0,2.5,0.0,1.0,1.0,2.0,3.0,26.0,32.0,30.0,6.0,0.0,280.0,225.0,1254.0,1,46.0,61.0,1.0,2.0,0.2571428571428571,0.5428571428571428,0.5,0.9375,9.0,9.0,9.0,0.0,2.0,35.0,19.0,4.0,2.0,34.0,20.0,13.0,20.0,10.0,10.0,12.0,6.0,6.0,7.0,7.0,3.0,2.5,0.0,1.0,1.0,2.0,3.0,26.0,32.0,30.0,6.0,0.0,280.0,225.0,1254.0,1.0,46.0,61.0,0.8035714285714286,4.478571428571429,4.590163934426229,3.6885245901639343,20:54,20:54
CHA,Chaos,ARC,Archers,2,1.0,1.0,0.0,-7.0,2022-09-11,2024-09-07,10.0,10.0,10.0,0.0,3.0,80.0,42.0,8.0,5.0,45.0,36.0,5.0,34.0,20.0,13.0,22.0,9.0,13.0,17.0,16.0,4.0,3.5,1.0,6.0,1.0,4.0,4.0,56.0,61.0,57.0,7.0,1.0,474.0,358.0,2885.0,2,0.0,123.0,0.5,-3.5,0.125,0.525,0.5882352941176471,0.9344262295081968,5.0,5.0,5.0,0.0,1.5,40.0,21.0,4.0,2.5,22.5,18.0,2.5,17.0,10.0,6.5,11.0,4.5,6.5,8.5,8.0,2.0,1.75,0.5,3.0,0.5,2.0,2.0,28.0,30.5,28.5,3.5,0.5,237.0,179.0,1442.5,1.0,0.0,61.5,0.7552742616033755,6.086497890295359,3.8536585365853657,2.910569105691057,48:05,24:02
CHA,Chaos,CAN,Cannons,1,1.0,0.0,0.0,4.0,2024-09-02,2024-09-02,8.0,8.0,8.0,0.0,6.0,33.0,21.0,2.0,0.0,33.0,18.0,8.0,16.0,7.0,9.0,15.0,4.0,11.0,4.0,4.0,2.0,1.5,2.0,3.0,0.0,4.0,2.0,26.0,31.0,30.0,6.0,0.0,273.0,222.0,1409.0,1,0.0,57.0,1.0,4.0,0.24242424242424243,0.6363636363636364,0.4375,0.967741935483871,8.0,8.0,8.0,0.0,6.0,33.0,21.0,2.0,0.0,33.0,18.0,8.0,16.0,7.0,9.0,15.0,4.0,11.0,4.0,4.0,2.0,1.5,2.0,3.0,0.0,4.0,2.0,26.0,31.0,30.0,6.0,0.0,273.0,222.0,1409.0,1.0,0.0,57.0,0.8131868131868132,5.1611721611721615,4.7894736842105265,3.8947368421052633,23:29,23:29
CHA,Chaos,OUT,Outlaws,1,1.0,0.0,0.0,8.0,2022-09-03,2022-09-03,11.0,11.0,11.0,0.0,7.0,38.0,27.0,3.0,2.0,23.0,14.0,5.0,18.0,11.0,7.0,15.0,8.0,7.0,3.0,3.0,4.0,2.5,1.0,1.0,1.0,1.0,4.0,28.0,29.0,29.0,1.0,0.0,264.0,212.0,1311.0,1,0.0,53.0,1.0,8.0,0.2894736842105263,0.7105263157894737,0.6111111111111112,1.0,11.0,11.0,11.0,0.0,7.0,38.0,27.0,3.0,2.0,23.0,14.0,5.0,18.0,11.0,7.0,15.0,8.0,7.0,3.0,3.0,4.0,2.5,1.0,1.0,1.0,1.0,4.0,28.0,29.0,29.0,1.0,0.0,264.0,212.0,1311.0,1.0,0.0,53.0,0.803030303030303,4.965909090909091,4.981132075471698,4.0,21:51,21:51
