season,competition_type,game_id,schedule_slug,game_slug,game_number,week,game_date_utc,team_id_raw,team_name_raw,opponent_team_id_raw,opponent_team_name_raw,team_id,team_name,opponent_team_id,opponent_team_name,is_home,scores,goals,one_point_goals,two_point_goals,assists,shots,shot_pct,shots_on_goal,shots_on_goal_pct,two_point_shots,two_point_shot_pct,two_point_shots_on_goal,ground_balls,turnovers,caused_turnovers,faceoff_pct,faceoffs,faceoffs_won,faceoffs_lost,saves,clean_saves,messy_saves,save_pct,clean_save_pct,scores_against,goals_against,num_penalties,pim,power_play_pct,power_play_goals,power_play_shots,power_play_goals_against,power_play_goals_against_pct,times_man_up,times_short_handed,man_down_pct,ride_attempts,clear_attempts,clears,clear_pct,shot_clock_expirations,two_point_goals_against,touches,total_passes,time_in_possession,time_in_possession_pct,total_possessions,source_path,total_possessions_raw,time_in_possession_raw,time_in_possession_pct_raw,official_total_possessions,offensive_sequence_proxy,implied_game_clock_seconds,possession_data_status,possession_time_available,median_implied_game_clock,median_implied_game_clock_display,implied_clock_range,possession_data_note,time_in_possession_available_game,time_in_possession_display,time_in_possession_pct_display,implied_game_clock_display,passes_per_touch,seconds_possession_per_touch,touches_per_offensive_sequence_proxy,passes_per_offensive_sequence_proxy,win_flag,loss_flag,tie_flag,score_margin,result,home_team_id,away_team_id,home_score,away_score,manifest_score,manifest_score_diff
2026,regular,2026_game_9,2026-ev-9,2026-ev-9,9,3,2026-05-29,CAN,Cannons,WHP,Whipsnakes,CAN,Cannons,WHP,Whipsnakes,0,10.0,9.0,8.0,1.0,4.0,36.0,0.25,21.0,0.58333,9.0,0.11111,6.0,34.0,17.0,5.0,0.46667,30.0,14.0,16.0,15.0,8.0,7.0,0.46875,0.5333333333333333,17.0,17.0,2.0,1.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,29.0,26.0,26.0,1.0,2.0,0.0,256.0,203.0,1239.0,0.43021,41.0,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2026/game_2026-ev-9/team_game_stats.json.gz,41.0,1239.0,0.43021,41.0,55.0,2879.988842658237,normal,True,2879.9829750042063,48:00,0.011735308061361138,Normal possession clock.,1,20:39,43.02%,48:00,0.79296875,4.83984375,4.654545454545454,3.690909090909091,0.0,1.0,0.0,-7.0,L,WHP,CAN,0.0,0.0,0.0,10.0
2026,regular,2026_game_9,2026-ev-9,2026-ev-9,9,3,2026-05-29,WHP,Whipsnakes,CAN,Cannons,WHP,Whipsnakes,CAN,Cannons,1,17.0,17.0,17.0,0.0,11.0,49.0,0.34694,34.0,0.69388,2.0,0.0,1.0,33.0,12.0,7.0,0.53333,30.0,16.0,14.0,10.0,7.0,3.0,0.52632,0.7,10.0,9.0,1.0,0.5,1.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,26.0,29.0,27.0,0.93103,5.0,1.0,293.0,232.0,1409.0,0.48924,47.0,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2026/game_2026-ev-9/team_game_stats.json.gz,47.0,1409.0,0.48924,47.0,66.0,2879.9771073501756,normal,True,2879.9829750042063,48:00,0.011735308061361138,Normal possession clock.,1,23:29,48.92%,48:00,0.7918088737201365,4.808873720136519,4.4393939393939394,3.515151515151515,1.0,0.0,0.0,7.0,W,WHP,CAN,0.0,0.0,0.0,17.0
2026,regular,2026_game_10,2026-ev-10,2026-ev-10,10,3,2026-05-30,ATL,Atlas,OUT,Outlaws,ATL,Atlas,OUT,Outlaws,0,9.0,8.0,7.0,1.0,3.0,33.0,0.24242,21.0,0.63636,5.0,0.2,4.0,32.0,20.0,5.0,0.62963,27.0,17.0,10.0,20.0,9.0,11.0,0.57143,0.45,16.0,15.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,33.0,31.0,31.0,1.0,1.0,1.0,216.0,163.0,1258.0,0.43469,47.0,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2026/game_2026-ev-10/team_game_stats.json.gz,47.0,1258.0,0.43469,47.0,54.0,2894.016425498631,normal,True,2894.014253971775,48:14,0.004343053712545952,Normal possession clock.,1,20:58,43.47%,48:14,0.7546296296296297,5.824074074074074,4.0,3.0185185185185186,0.0,1.0,0.0,-7.0,L,OUT,ATL,0.0,0.0,0.0,9.0
2026,regular,2026_game_10,2026-ev-10,2026-ev-10,10,3,2026-05-30,OUT,Outlaws,ATL,Atlas,OUT,Outlaws,ATL,Atlas,1,16.0,15.0,14.0,1.0,9.0,59.0,0.25424,38.0,0.64407,7.0,0.14286,4.0,22.0,10.0,7.0,0.37037,27.0,10.0,17.0,11.0,9.0,2.0,0.57895,0.8181818181818182,9.0,8.0,2.0,2.5,0.0,0.0,4.0,0.0,0.0,3.0,2.0,1.0,31.0,33.0,33.0,1.0,2.0,1.0,269.0,200.0,1303.0,0.45024,44.0,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2026/game_2026-ev-10/team_game_stats.json.gz,44.0,1303.0,0.45024,44.0,71.0,2894.0120824449186,normal,True,2894.014253971775,48:14,0.004343053712545952,Normal possession clock.,1,21:43,45.02%,48:14,0.7434944237918215,4.843866171003717,3.788732394366197,2.816901408450704,1.0,0.0,0.0,7.0,W,OUT,ATL,0.0,0.0,0.0,16.0
2026,regular,2026_game_11,2026-ev-11,2026-ev-11,11,3,2026-05-30,ARC,Archers,WHP,Whipsnakes,ARC,Archers,WHP,Whipsnakes,0,5.0,5.0,5.0,0.0,3.0,31.0,0.16129,20.0,0.64516,6.0,0.0,3.0,35.0,22.0,6.0,0.64706,17.0,11.0,6.0,12.0,5.0,7.0,0.6,0.4166666666666667,8.0,8.0,8.0,7.0,0.33333,1.0,4.0,1.0,0.33333,3.0,3.0,0.66667,30.0,28.0,27.0,0.96429,7.0,0.0,240.0,187.0,1236.0,0.42917,39.0,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2026/game_2026-ev-11/team_game_stats.json.gz,39.0,1236.0,0.42917,39.0,60.0,2879.9776312416993,normal,True,2879.9981436164962,48:00,0.04102474959427127,Normal possession clock.,1,20:36,42.92%,48:00,0.7791666666666667,5.15,4.0,3.1166666666666667,0.0,1.0,0.0,-3.0,L,WHP,ARC,0.0,0.0,0.0,5.0
2026,regular,2026_game_11,2026-ev-11,2026-ev-11,11,3,2026-05-30,WHP,Whipsnakes,ARC,Archers,WHP,Whipsnakes,ARC,Archers,1,8.0,8.0,8.0,0.0,4.0,40.0,0.2,21.0,0.525,3.0,0.0,2.0,20.0,16.0,3.0,0.35294,17.0,6.0,11.0,13.0,3.0,10.0,0.72222,0.23076923076923078,5.0,5.0,5.0,5.0,0.33333,1.0,3.0,1.0,0.33333,3.0,3.0,0.66667,28.0,30.0,29.0,0.96667,4.0,0.0,312.0,256.0,1482.0,0.51458,38.0,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2026/game_2026-ev-11/team_game_stats.json.gz,38.0,1482.0,0.51458,38.0,60.0,2880.0186559912936,normal,True,2879.9981436164962,48:00,0.04102474959427127,Normal possession clock.,1,24:42,51.46%,48:00,0.8205128205128205,4.75,5.2,4.266666666666667,1.0,0.0,0.0,3.0,W,WHP,ARC,0.0,0.0,0.0,8.0
2026,regular,2026_game_12,2026-ev-12,2026-ev-12,12,3,2026-05-31,CHA,Chaos,WAT,Waterdogs,CHA,Chaos,WAT,Waterdogs,0,10.0,10.0,10.0,0.0,3.0,38.0,0.26316,25.0,0.65789,5.0,0.0,3.0,25.0,12.0,2.0,0.54545,22.0,12.0,10.0,14.0,4.0,10.0,0.63636,0.2857142857142857,8.0,8.0,5.0,5.5,0.0,0.0,0.0,1.0,0.33333,1.0,3.0,0.66667,27.0,32.0,31.0,0.96875,3.0,0.0,242.0,192.0,1345.0,0.46701,41.0,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2026/game_2026-ev-12/team_game_stats.json.gz,41.0,1345.0,0.46701,41.0,53.0,2880.023982355838,normal,True,2880.0171687246248,48:00,0.013627262426780362,Normal possession clock.,1,22:25,46.70%,48:00,0.7933884297520661,5.5578512396694215,4.566037735849057,3.6226415094339623,1.0,0.0,0.0,2.0,W,WAT,CHA,0.0,0.0,0.0,10.0
2026,regular,2026_game_12,2026-ev-12,2026-ev-12,12,3,2026-05-31,WAT,Waterdogs,CHA,Chaos,WAT,Waterdogs,CHA,Chaos,1,8.0,8.0,8.0,0.0,6.0,45.0,0.17778,27.0,0.6,6.0,0.0,2.0,30.0,14.0,5.0,0.45455,22.0,10.0,12.0,14.0,5.0,9.0,0.58333,0.35714285714285715,10.0,10.0,1.0,1.0,0.33333,1.0,4.0,0.0,0.0,3.0,1.0,1.0,32.0,27.0,27.0,1.0,2.0,0.0,287.0,228.0,1335.0,0.46354,37.0,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2026/game_2026-ev-12/team_game_stats.json.gz,37.0,1335.0,0.46354,37.0,61.0,2880.0103550934114,normal,True,2880.0171687246248,48:00,0.013627262426780362,Normal possession clock.,1,22:15,46.35%,48:00,0.794425087108014,4.651567944250871,4.704918032786885,3.737704918032787,0.0,1.0,0.0,-2.0,L,WAT,CHA,0.0,0.0,0.0,8.0
2026,regular,2026_game_13,2026-ev-13,2026-ev-13,13,4,2026-06-05,ARC,Archers,CHA,Chaos,ARC,Archers,CHA,Chaos,0,15.0,15.0,15.0,0.0,9.0,53.0,0.28302,32.0,0.60377,1.0,0.0,0.0,31.0,19.0,3.0,0.65385,26.0,17.0,8.0,15.0,8.0,7.0,0.68182,0.5333333333333333,7.0,7.0,3.0,2.0,0.5,1.0,1.0,1.0,0.33333,2.0,3.0,0.66667,29.0,31.0,31.0,1.0,7.0,0.0,299.0,227.0,1449.0,0.50312,46.0,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2026/game_2026-ev-13/team_game_stats.json.gz,46.0,1449.0,0.50312,46.0,79.0,2880.0286214024486,normal,True,2880.021889688482,48:00,0.013463427932947525,Normal possession clock.,1,24:09,50.31%,48:00,0.7591973244147158,4.846153846153846,3.7848101265822787,2.8734177215189876,1.0,0.0,0.0,8.0,W,CHA,ARC,0.0,0.0,0.0,15.0
2026,regular,2026_game_13,2026-ev-13,2026-ev-13,13,4,2026-06-05,CHA,Chaos,ARC,Archers,CHA,Chaos,ARC,Archers,1,7.0,7.0,7.0,0.0,3.0,38.0,0.18421,24.0,0.63158,7.0,0.0,3.0,21.0,11.0,9.0,0.30769,26.0,8.0,17.0,17.0,3.0,14.0,0.53125,0.17647058823529413,15.0,15.0,2.0,1.5,0.33333,1.0,1.0,1.0,0.5,3.0,2.0,0.5,31.0,29.0,29.0,1.0,1.0,0.0,245.0,196.0,1216.0,0.42222,38.0,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2026/game_2026-ev-13/team_game_stats.json.gz,38.0,1216.0,0.42222,38.0,50.0,2880.0151579745157,normal,True,2880.021889688482,48:00,0.013463427932947525,Normal possession clock.,1,20:16,42.22%,48:00,0.8,4.963265306122449,4.9,3.92,0.0,1.0,0.0,-8.0,L,CHA,ARC,0.0,0.0,0.0,7.0
